_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.2,GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",M1,1,0
1,-2.6,GO:0150146,cell junction disassembly,M1,1,0
1,-2.4,GO:0033013,tetrapyrrole metabolic process,M1,1,0
1,-2.2,GO:0002286,T cell activation involved in immune response,M1,1,0
1,-2.2,GO:0043032,positive regulation of macrophage activation,M1,1,0
1,-2.3,GO:0048843,negative regulation of axon extension involved in axon guidance,M1,1,0
1,-2.2,GO:0043030,regulation of macrophage activation,M1,1,0
1,-2.8,GO:2000403,positive regulation of lymphocyte migration,M1,1,0
1,-2.7,GO:0031344,regulation of cell projection organization,M1,1,0
1,-2.4,GO:0042267,natural killer cell mediated cytotoxicity,M1,1,0
1,-2.1,GO:0050730,regulation of peptidyl-tyrosine phosphorylation,M1,1,0
1,-4.3,GO:0051249,regulation of lymphocyte activation,M1,1,0
1,-3,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.6,GO:0071674,mononuclear cell migration,M1,1,0
1,-2.9,GO:0050670,regulation of lymphocyte proliferation,M1,1,0
1,-2.7,GO:0034329,cell junction assembly,M1,1,0
1,-2.4,GO:0002449,lymphocyte mediated immunity,M1,1,0
1,-2,GO:0045927,positive regulation of growth,M1,1,0
1,-3,WP3625,Tyrobp causal network in microglia,M1,1,0
1,-2.1,GO:0098727,maintenance of cell number,M1,1,0
1,-3.8,GO:0071675,regulation of mononuclear cell migration,M1,1,0
1,-2.8,GO:0002697,regulation of immune effector process,M1,1,0
1,-2,GO:0002718,regulation of cytokine production involved in immune response,M1,1,0
1,-3.8,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.1,GO:0006897,endocytosis,M1,1,0
1,-2.4,GO:0043369,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment",M1,1,0
1,-2.8,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",M1,1,0
1,-4.1,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.7,GO:0071677,positive regulation of mononuclear cell migration,M1,1,0
1,-2.5,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.6,GO:0042098,T cell proliferation,M1,1,0
1,-3.1,GO:0050921,positive regulation of chemotaxis,M1,1,0
1,-2.1,ko04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-2.8,GO:0032943,mononuclear cell proliferation,M1,1,0
1,-2.2,GO:0050767,regulation of neurogenesis,M1,1,0
