_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.626052310908488,GO:2000404,M1,1,0,GO Biological Processes,19,regulation of T cell migration,19_GO:0040011 locomotion,-5.626052310908488,11.437405370945893,8.228331463057604,20504,47,267,7,2.6217228464419478,0.9778422587506885,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.3442465412818851,0,1,1,1,-5.626052310908488,11.437405370945893,
1,-4.758729058664789,GO:0072678,M1,1,0,GO Biological Processes,19,T cell migration,19_GO:0040011 locomotion,-4.758729058664789,8.532667498959635,6.877954110148134,20504,63,267,7,2.6217228464419478,0.9778422587506885,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.1758932933742052,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-4.758729058664789,GO:2000401,M1,1,0,GO Biological Processes,19,regulation of lymphocyte migration,19_GO:0040011 locomotion,-4.758729058664789,8.532667498959635,6.877954110148134,20504,63,267,7,2.6217228464419478,0.9778422587506885,11629|12458|17470|20737|22164|55985|70045,Aif1|Ccr6|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-1.1758932933742052,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-4.417985096461836,GO:0002685,M1,1,0,GO Biological Processes,19,regulation of leukocyte migration,19_GO:0040011 locomotion,-4.417985096461836,4.132412959137402,5.402291715345356,20504,223,267,12,4.49438202247191,1.267925747898725,11629|12458|12520|12977|16803|17387|17470|20737|22164|54371|55985|70045,Aif1|Ccr6|Cd81|Csf1|Lbp|Mmp14|Cd200|Spn|Tnfsf4|Chst2|Cxcl13|2610528A11Rik,-0.9812773668494897,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-4.287697126398407,GO:0050920,M1,1,0,GO Biological Processes,19,regulation of chemotaxis,19_GO:0040011 locomotion,-4.287697126398407,4.006643869076698,5.267050198044621,20504,230,267,12,4.49438202247191,1.267925747898725,11629|12458|12977|13043|13642|14173|16803|18846|20361|20583|22415|55985,Aif1|Ccr6|Csf1|Cttn|Efnb2|Fgf2|Lbp|Plxna3|Sema7a|Snai2|Wnt3|Cxcl13,-0.9775987840183457,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-3.8001896285681864,GO:0071675,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell migration,19_GO:0040011 locomotion,-3.8001896285681864,5.20637338919571,5.263493436277154,20504,118,267,8,2.9962546816479403,1.043345106574927,11629|12458|12977|17470|20737|22164|55985|70045,Aif1|Ccr6|Csf1|Cd200|Spn|Tnfsf4|Cxcl13|2610528A11Rik,-0.7084416448155524,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-3.7597984930638813,GO:0040017,M1,1,0,GO Biological Processes,19,positive regulation of locomotion,19_GO:0040011 locomotion,-3.7597984930638813,2.4973660972564784,4.3306227245279905,20504,615,267,20,7.49063670411985,1.6110038652509415,11629|12162|12458|12977|13043|14173|16800|16803|17387|18508|18805|20361|20583|20737|22051|22164|55985|67179|71653|232415,Aif1|Bmp7|Ccr6|Csf1|Cttn|Fgf2|Arhgef2|Lbp|Mmp14|Pax6|Pld1|Sema7a|Snai2|Spn|Trip6|Tnfsf4|Cxcl13|Ccdc25|Shtn1|Klrh1,-0.7084416448155524,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-3.68610428161164,GO:0006935,M1,1,0,GO Biological Processes,19,chemotaxis,19_GO:0040011 locomotion,-3.68610428161164,2.4652971907106487,4.266206748258105,20504,623,267,20,7.49063670411985,1.6110038652509415,11629|12162|12458|12977|13043|13642|13848|14173|16803|18508|18846|20361|20583|20750|22415|55985|65254|70045|277360|545428,Aif1|Bmp7|Ccr6|Csf1|Cttn|Efnb2|Ephb6|Fgf2|Lbp|Pax6|Plxna3|Sema7a|Snai2|Spp1|Wnt3|Cxcl13|Dpysl5|2610528A11Rik|Prex1|Ccdc141,-0.6830521129378662,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-3.640796579719328,GO:0042330,M1,1,0,GO Biological Processes,19,taxis,19_GO:0040011 locomotion,-3.640796579719328,2.445669028364226,4.226447468797985,20504,628,267,20,7.49063670411985,1.6110038652509415,11629|12162|12458|12977|13043|13642|13848|14173|16803|18508|18846|20361|20583|20750|22415|55985|65254|70045|277360|545428,Aif1|Bmp7|Ccr6|Csf1|Cttn|Efnb2|Ephb6|Fgf2|Lbp|Pax6|Plxna3|Sema7a|Snai2|Spp1|Wnt3|Cxcl13|Dpysl5|2610528A11Rik|Prex1|Ccdc141,-0.6600208057567064,0,1,0,0,-5.626052310908488,11.437405370945893,
1,-3.481107152083663,GO:2000147,M1,1,0,GO Biological Processes,19,positive regulation of cell motility,19_GO:0040011 locomotion,-3.481107152083663,2.4440303891492414,4.112935140941468,20504,597,267,19,7.116104868913857,1.5733876931342736,11629|12162|12458|12977|14173|16800|16803|17387|18508|18805|20361|20583|20737|22051|22164|55985|67179|71653|232415,Aif1|Bmp7|Ccr6|Csf1|Fgf2|Arhgef2|Lbp|Mmp14|Pax6|Pld1|Sema7a|Snai2|Spn|Trip6|Tnfsf4|Cxcl13|Ccdc25|Shtn1|Klrh1,-0.5972413911290979,0,1,0,0,-5.626052310908488,11.437405370945893,
