Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-5.7,3.9,6.2,20504,623,144,17,12,2.7,11629|12162|12458|12977|13043|13642|13848|14173|18508|18846|20361|20750|22415|55985|65254|277360|545428,Aif1|Bmp7|Ccr6|Csf1|Cttn|Efnb2|Ephb6|Fgf2|Pax6|Plxna3|Sema7a|Spp1|Wnt3|Cxcl13|Dpysl5|Prex1|Ccdc141,-3.2
Geneid,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-5.7,3.9,6.1,20504,628,144,17,12,2.7,11629|12162|12458|12977|13043|13642|13848|14173|18508|18846|20361|20750|22415|55985|65254|277360|545428,Aif1|Bmp7|Ccr6|Csf1|Cttn|Efnb2|Ephb6|Fgf2|Pax6|Plxna3|Sema7a|Spp1|Wnt3|Cxcl13|Dpysl5|Prex1|Ccdc141,-3.2
Geneid,GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-5.5,5.3,6.5,20504,323,144,12,8.3,2.3,12458|12977|16153|16878|17387|22164|26379|59009|60505|74256|93694|234396,Ccr6|Csf1|Il10|Lif|Mmp14|Tnfsf4|Esrra|Sh3rf1|Il21|Cyld|Clec2d|Ankle1,-3
Geneid,KEGG Pathway,24,ko04360,Axon guidance,,-5.4,7.3,7.1,20504,175,144,9,6.2,2,12162|13642|13848|18710|18846|20361|58220|65254|218397,Bmp7|Efnb2|Ephb6|Pik3r3|Plxna3|Sema7a|Pard6b|Dpysl5|Rasa1,-2.9
Geneid,KEGG Pathway,24,mmu04360,Axon guidance,,-5.3,7.2,7,20504,178,144,9,6.2,2,12162|13642|13848|18710|18846|20361|58220|65254|218397,Bmp7|Efnb2|Ephb6|Pik3r3|Plxna3|Sema7a|Pard6b|Dpysl5|Rasa1,-2.8
Geneid,GO Biological Processes,19,GO:0045577,regulation of B cell differentiation,19_GO:0002376 immune system process,-5.3,20,9.5,20504,36,144,5,3.5,1.5,16153|17387|60505|74256|234396,Il10|Mmp14|Il21|Cyld|Ankle1,-2.8
Geneid,GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-5.3,6.2,6.7,20504,230,144,10,6.9,2.1,11629|12458|12977|13043|13642|14173|18846|20361|22415|55985,Aif1|Ccr6|Csf1|Cttn|Efnb2|Fgf2|Plxna3|Sema7a|Wnt3|Cxcl13,-2.8
Geneid,GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-5.2,3.7,5.7,20504,615,144,16,11,2.6,11629|12162|12458|12977|13043|14173|16800|17387|18508|18805|20361|22051|22164|55985|71653|232415,Aif1|Bmp7|Ccr6|Csf1|Cttn|Fgf2|Arhgef2|Mmp14|Pax6|Pld1|Sema7a|Trip6|Tnfsf4|Cxcl13|Shtn1|Klrh1,-2.7
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-5.1,3.3,5.5,20504,772,144,18,12,2.8,11629|12162|12520|12977|13642|13848|16153|16878|17387|18846|20750|22164|55985|60505|74256|218397|277360|100043314,Aif1|Bmp7|Cd81|Csf1|Efnb2|Ephb6|Il10|Lif|Mmp14|Plxna3|Spp1|Tnfsf4|Cxcl13|Il21|Cyld|Rasa1|Prex1|Tigit,-2.7
Geneid,GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-4.9,3.7,5.6,20504,571,144,15,10,2.5,11629|12162|12458|12977|14173|16800|17387|18508|18805|20361|22051|22164|55985|71653|232415,Aif1|Bmp7|Ccr6|Csf1|Fgf2|Arhgef2|Mmp14|Pax6|Pld1|Sema7a|Trip6|Tnfsf4|Cxcl13|Shtn1|Klrh1,-2.5
