Cluster,Score,Type,Gene,Symbol,Network
2,1.5,Clustered,67923,Eloc,Geneid_SUB1
2,1.5,Clustered,52206,Anapc4,Geneid_SUB1
2,1.5,Seed,218215,Rnf144b,Geneid_SUB1
2,1.5,Clustered,59009,Sh3rf1,Geneid_SUB1
3,1.0,Clustered,55985,Cxcl13,Geneid_SUB1
3,1.0,Clustered,66066,Gng11,Geneid_SUB1
3,1.0,Seed,12458,Ccr6,Geneid_SUB1
4,1.0,Clustered,22393,Wfs1,Geneid_SUB1
4,1.0,Seed,20750,Spp1,Geneid_SUB1
4,1.0,Clustered,12977,Csf1,Geneid_SUB1
5,1.0,Clustered,12316,Aspm,Geneid_SUB1
5,1.0,Clustered,66213,Med7,Geneid_SUB1
5,1.0,Clustered,12315,Calm3,Geneid_SUB1
1,2.0,Clustered,246190,Otoa,Geneid_SUB2
1,2.0,Clustered,17068,Ly6d,Geneid_SUB2
1,2.0,Clustered,11647,Alpl,Geneid_SUB2
1,2.0,Clustered,64931,Izumo1r,Geneid_SUB2
1,2.0,Seed,109979,Art3,Geneid_SUB2
6,1.0,Seed,17716,ND1,Geneid_SUB3
6,1.0,Clustered,17717,ND2,Geneid_SUB3
6,1.0,Clustered,17722,ND6,Geneid_SUB3
7,1.0,Clustered,14866,Gstm5,Geneid_SUB4
7,1.0,Clustered,14871,Gstt1,Geneid_SUB4
7,1.0,Seed,14865,Gstm4,Geneid_SUB4
