Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
234396,3.0,1,1,1
14865,3.0,1,1,1
69727,3.0,1,1,1
17722,3.0,1,1,1
277360,3.0,1,1,1
17068,3.0,1,1,1
18710,3.0,1,1,1
74256,3.0,1,1,1
14866,3.0,1,1,1
12615,3.0,1,1,1
18226,3.0,1,1,1
13848,3.0,1,1,1
11629,3.0,1,1,1
16800,3.0,1,1,1
18846,3.0,1,1,1
18508,3.0,1,1,1
12458,3.0,1,1,1
232415,3.0,1,1,1
20741,3.0,1,1,1
11981,3.0,1,1,1
12977,3.0,1,1,1
94190,3.0,1,1,1
55985,3.0,1,1,1
246190,3.0,1,1,1
12520,3.0,1,1,1
17717,3.0,1,1,1
11798,3.0,1,1,1
64931,3.0,1,1,1
67296,3.0,1,1,1
77057,3.0,1,1,1
16153,3.0,1,1,1
17132,3.0,1,1,1
17387,3.0,1,1,1
20750,3.0,1,1,1
11979,3.0,1,1,1
60505,3.0,1,1,1
93694,3.0,1,1,1
14871,3.0,1,1,1
22164,3.0,1,1,1
12316,3.0,1,1,1
71653,3.0,1,1,1
12315,3.0,1,1,1
22415,3.0,1,1,1
12162,3.0,1,1,1
59009,3.0,1,1,1
11839,3.0,1,1,1
109979,3.0,1,1,1
11647,3.0,1,1,1
20361,3.0,1,1,1
17470,3.0,1,1,1
13642,3.0,1,1,1
17716,3.0,1,1,1
13043,3.0,1,1,1
14173,3.0,1,1,1
16878,3.0,1,1,1
243655,3.0,1,1,1
26909,3.0,1,1,1
66042,3.0,1,1,1
17952,3.0,1,1,1
236915,3.0,1,1,1
226922,2.0,1,0,1
107065,2.0,1,0,1
107575,2.0,1,0,1
66197,2.0,1,0,1
269823,2.0,1,1,0
52206,2.0,1,0,1
107746,2.0,1,0,1
22234,2.0,1,0,1
70045,2.0,1,1,0
233490,2.0,1,0,1
12180,2.0,1,0,1
214137,2.0,1,0,1
12262,2.0,1,1,0
14069,2.0,1,0,1
320407,2.0,1,0,1
18619,2.0,1,0,1
74315,2.0,1,0,1
14570,2.0,1,0,1
252838,2.0,1,1,0
208266,2.0,1,0,1
93679,2.0,1,0,1
17385,2.0,1,0,1
16016,2.0,1,1,0
66938,2.0,1,0,1
20737,2.0,1,1,0
20540,2.0,1,1,0
12442,2.0,1,0,1
22393,2.0,1,0,1
218232,2.0,1,0,1
217721,2.0,1,1,0
106042,2.0,1,0,1
215351,2.0,1,0,1
20401,2.0,1,0,1
110902,2.0,1,0,1
22051,2.0,1,0,1
64602,2.0,1,1,0
330836,2.0,1,1,0
77577,2.0,1,0,1
52466,2.0,1,1,0
320817,2.0,1,0,1
66213,2.0,1,0,1
15199,2.0,1,1,0
12810,2.0,1,0,1
21781,2.0,1,0,1
432964,2.0,1,0,1
13401,2.0,1,0,1
16803,2.0,1,1,0
11768,2.0,1,0,1
108800,2.0,1,0,1
319481,2.0,1,0,1
14230,2.0,1,0,1
65254,2.0,1,0,1
18575,2.0,1,0,1
13476,2.0,1,0,1
67923,2.0,1,0,1
73737,2.0,1,0,1
56370,2.0,1,0,1
59049,2.0,1,1,0
57780,2.0,1,1,0
58220,2.0,1,0,1
54120,2.0,1,0,1
381845,2.0,1,0,1
52163,2.0,1,0,1
93690,2.0,1,0,1
83675,2.0,1,0,1
23947,2.0,1,0,1
22129,2.0,1,1,0
20257,2.0,1,0,1
330938,2.0,1,1,0
210789,2.0,1,0,1
218215,2.0,1,0,1
171285,2.0,1,1,0
18805,2.0,1,0,1
208084,2.0,1,0,1
74498,2.0,1,0,1
50997,2.0,1,0,1
26379,2.0,1,0,1
17760,2.0,1,0,1
17765,2.0,1,0,1
15560,2.0,1,0,1
243659,2.0,1,0,1
66066,2.0,1,0,1
