,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000029759,Pon3,Down,-23.7316935861495,1.77386818671848e-27,-634.84840174009
2,2,ENSMUSG00000014599,Csf1,Down,-23.5074620554203,6.63843770454911e-25,-568.361868806366
3,3,ENSMUSG00000076762,Trav6-1,Down,-24.1981086081984,8.70260354192706e-23,-533.818764614155
4,4,ENSMUSG00000102984,ENSMUSG00000102984,Down,-23.4240777152764,2.43275994633029e-22,-506.285690737961
5,5,ENSMUSG00000086894,Gm15708,Down,-25.2246280042622,9.0943225872599e-21,-505.532562540005
6,6,ENSMUSG00000020656,Grhl1,Down,-23.1205111225353,1.04141526826651e-20,-462.00274793581
7,7,ENSMUSG00000022199,Slc22a17,Down,-22.8396456452897,1.2943105558577e-20,-454.233993424467
8,8,ENSMUSG00000104213,Ighd,Down,-24.8852380092532,1.02576526350897e-18,-447.659352354647
9,9,ENSMUSG00000037706,Cd81,Down,-23.54738083125,1.02576526350897e-18,-423.592703780692
10,10,ENSMUSG00000034958,Atcay,Down,-22.8142578633633,8.77356700242201e-19,-411.953034433274
11,11,ENSMUSG00000109108,ENSMUSG00000109108,Down,-23.8491536890612,7.59095454923999e-18,-408.290442479834
12,12,ENSMUSG00000092251,Trav9n-1,Down,-22.7407660415652,2.79602631734662e-18,-399.179098543707
13,13,ENSMUSG00000040883,Tmem205,Down,-22.1310677504115,2.68264320908051e-18,-388.874664590309
14,14,ENSMUSG00000030641,Ddias,Down,-22.6974957689198,1.77727940683201e-17,-380.188598928154
15,15,ENSMUSG00000046380,Jrk,Down,-24.1419760163664,5.22828847605475e-16,-368.928997422875
16,16,ENSMUSG00000087060,ENSMUSG00000087060,Down,-23.7795487541574,1.04402803885584e-15,-356.248264533845
17,17,ENSMUSG00000051339,2900026A02Rik,Down,-22.7968104315604,3.52557855233284e-16,-352.2738593163
18,18,ENSMUSG00000104378,ENSMUSG00000104378,Down,-24.1198954248979,8.10310092603585e-15,-339.881858289636
19,19,ENSMUSG00000087354,4930404I05Rik,Down,-23.630269760635,4.43880488259095e-14,-315.528705160496
20,20,ENSMUSG00000107801,ENSMUSG00000107801,Down,-22.5733833731623,2.14711022104904e-14,-308.536291998237
21,21,ENSMUSG00000089842,Pitpnm2os2,Down,-22.0360110427467,8.76184703224466e-14,-287.733106075447
22,22,ENSMUSG00000069727,Zfp975,Down,-23.4139898500078,6.86778684919715e-13,-284.78864780602
23,23,ENSMUSG00000103163,ENSMUSG00000103163,Down,-23.8650196147642,6.33649310027143e-12,-267.244094068157
24,24,ENSMUSG00000061769,Klra6,Down,-24.1136103451863,9.44468471721833e-12,-265.848033600926
25,25,ENSMUSG00000052151,Plpp2,Down,-22.3932927992789,2.87806645034699e-12,-258.438734573198
26,26,ENSMUSG00000053080,Zfta,Down,-22.8331589197576,1.80142823013792e-11,-245.328205349358
27,27,ENSMUSG00000085984,1700001G11Rik,Down,-22.0390902222638,1.23027102718257e-11,-240.446456770419
28,28,ENSMUSG00000089171,Gm22430,Down,-20.3785611265142,1.66454368102282e-12,-240.033055831011
29,29,ENSMUSG00000016024,Lbp,Down,-24.447022826613,2.29184983970982e-10,-235.664749001114
30,30,ENSMUSG00000030545,Pex11a,Down,-19.6692930772298,2.26782801501568e-12,-229.036917335217
31,31,ENSMUSG00000039748,Exo1,Down,-22.8663377044009,1.35712962932362e-10,-225.630812873599
32,32,ENSMUSG00000109555,ENSMUSG00000109555,Down,-23.5973202952695,4.32230992277752e-10,-220.972011151571
33,33,ENSMUSG00000027546,Atp9a,Down,-23.3088650085779,5.83426717266773e-10,-215.234378513184
34,34,ENSMUSG00000117440,ENSMUSG00000117440,Down,-23.5925401641992,8.12649195987025e-10,-214.45847597344
35,35,ENSMUSG00000102172,ENSMUSG00000102172,Down,-21.3039664371294,1.02866839086712e-10,-212.778149769279
36,36,ENSMUSG00000054967,Zfp647,Down,-23.3928213676635,9.42681768724458e-10,-211.135064758428
37,37,ENSMUSG00000021061,Sptb,Down,-19.9657697258513,4.41776847962277e-11,-206.741493413907
38,38,ENSMUSG00000032513,Gorasp1,Down,-24.1055725889733,3.49198709344152e-09,-203.859076600526
39,39,ENSMUSG00000020808,Pimreg,Down,-23.680827728617,3.9252790878766e-09,-199.064103593079
40,40,ENSMUSG00000027200,Sema6d,Down,-19.6633135621889,7.55864311084513e-11,-199.023332508194
41,41,ENSMUSG00000110301,ENSMUSG00000110301,Down,-23.0694055957624,2.93530646527809e-09,-196.836163219074
42,42,ENSMUSG00000046295,Ankle1,Down,-21.2364196850738,9.59318680218787e-10,-191.51082056356
43,43,ENSMUSG00000073758,Sh3d21,Down,-22.0769698961016,2.22457193462113e-09,-191.02657955727
44,44,ENSMUSG00000033855,Ston1,Down,-24.2199581387611,1.48991905164409e-08,-189.565672406073
45,45,ENSMUSG00000043230,Fam124b,Down,-22.1718209305735,3.9325844057361e-09,-186.361293078632
46,46,ENSMUSG00000106757,ENSMUSG00000106757,Down,-22.5605893757518,5.73374586970343e-09,-185.934486163448
47,47,ENSMUSG00000035246,Pcyt1b,Down,-23.2249822408784,1.18291055442105e-08,-184.105551187935
48,48,ENSMUSG00000110697,ENSMUSG00000110697,Down,-17.2238805746869,2.1230823507825e-11,-183.831048516773
49,49,ENSMUSG00000085903,ENSMUSG00000085903,Down,-22.036010586353,1.29460596695635e-08,-173.817019253376
50,50,ENSMUSG00000028698,Pik3r3,Down,-22.2748777184409,2.12975958856054e-08,-170.885498177963
51,51,ENSMUSG00000108465,ENSMUSG00000108465,Down,-23.1479026084334,4.48110732660578e-08,-170.105016322643
52,52,ENSMUSG00000103948,4930594C11Rik,Down,-23.2056393243042,4.87510493627374e-08,-169.68000676535
53,53,ENSMUSG00000030272,Camk1,Down,-23.1909676728398,7.74379922809634e-08,-164.912035944543
54,54,ENSMUSG00000040658,Dnph1,Down,-21.7234141252214,2.81609034635331e-08,-164.019454051613
55,55,ENSMUSG00000000125,Wnt3,Down,-16.4114139233963,1.1275052922354e-10,-163.258799496331
56,56,ENSMUSG00000094249,ENSMUSG00000094249,Down,-19.1341833248886,3.9252790878766e-09,-160.844422129371
57,57,ENSMUSG00000112642,Gm17849,Down,-22.9222870262675,9.99178657411039e-08,-160.464189027733
58,58,ENSMUSG00000105776,ENSMUSG00000105776,Down,-19.6872887821819,9.33923505806714e-09,-158.082800144984
59,59,ENSMUSG00000075511,ENSMUSG00000075511,Down,-24.0299818030187,3.04748288139322e-07,-156.580772595458
60,60,ENSMUSG00000027848,Olfml3,Down,-23.5507672020621,2.34025421127629e-07,-156.15894263078
61,61,ENSMUSG00000112381,ENSMUSG00000112381,Down,-23.1281172611924,2.02594949148807e-07,-154.805078291432
62,62,ENSMUSG00000084884,ENSMUSG00000084884,Down,-21.7625024436824,8.33126418379552e-08,-154.063046204761
63,63,ENSMUSG00000114535,ENSMUSG00000114535,Down,-23.153737277293,2.85164723986969e-07,-151.538992339257
64,64,ENSMUSG00000081894,ENSMUSG00000081894,Down,-19.6235324899465,2.73233325800334e-08,-148.421927294896
65,65,ENSMUSG00000027624,Epb41l1,Down,-21.492945315705,1.56682766625251e-07,-146.259036545981
66,66,ENSMUSG00000033488,Cryzl2,Down,-22.3791179310297,2.9374666509184e-07,-146.181003797911
67,67,ENSMUSG00000040209,Zfp704,Down,-22.1136156463064,2.60765030925192e-07,-145.590531357175
68,68,ENSMUSG00000027718,Il21,Down,-15.7576484308999,6.04091757678411e-10,-145.268139261894
69,69,ENSMUSG00000056596,Trnp1,Down,-20.8731888577597,1.13816484170481e-07,-144.939140960104
70,70,ENSMUSG00000031398,Plxna3,Down,-22.5070942521725,4.0087031349939e-07,-143.97779425004
71,71,ENSMUSG00000036158,Prickle1,Down,-23.5522404264969,9.0085150043307e-07,-142.381461148394
72,72,ENSMUSG00000106798,ENSMUSG00000106798,Down,-21.4931071953812,3.48927181095663e-07,-138.786693091915
73,73,ENSMUSG00000103360,ENSMUSG00000103360,Down,-23.3571637121374,2.16913148660615e-06,-132.288297954308
74,74,ENSMUSG00000117335,ENSMUSG00000117335,Down,-22.1517349930984,1.24388653940695e-06,-130.810851499626
75,75,ENSMUSG00000109314,ENSMUSG00000109314,Down,-23.4003177339492,2.67838265120014e-06,-130.389551070022
76,76,ENSMUSG00000043099,Hic1,Down,-20.1124118482498,3.51773504477416e-07,-129.800213982911
77,77,ENSMUSG00000026450,Chit1,Down,-20.7242542474904,5.82848016866339e-07,-129.204216575424
78,78,ENSMUSG00000029378,Areg,Down,-20.630948036095,5.82848016866339e-07,-128.622504162471
79,79,ENSMUSG00000041064,Pif1,Down,-23.1441258485268,3.00710779757005e-06,-127.798414535095
80,80,ENSMUSG00000024397,Aif1,Down,-23.8700975188845,4.64998004955726e-06,-127.288462515918
81,81,ENSMUSG00000031312,Itgb1bp2,Down,-23.29785427684,4.05884095890665e-06,-125.612663723894
82,82,ENSMUSG00000052117,D630039A03Rik,Down,-15.7922745467501,1.12487804366259e-08,-125.531125235841
83,83,ENSMUSG00000110618,Gm39822,Down,-25.0671656806711,1.225539071673e-05,-123.121716808322
84,84,ENSMUSG00000099825,1810012K16Rik,Down,-23.2028735358767,5.83916979836601e-06,-121.435693456496
85,85,ENSMUSG00000102133,ENSMUSG00000102133,Down,-22.4466457520669,4.65696667530882e-06,-119.683200223292
86,86,ENSMUSG00000028264,Spaca1,Down,-22.1936811931529,4.246669778917e-06,-119.223379163383
87,87,ENSMUSG00000112980,D430020J02Rik,Down,-22.6630039313105,5.58289443541799e-06,-119.051945706058
88,88,ENSMUSG00000029279,Brdt,Down,-23.5263235505694,9.73027722216426e-06,-117.910987815377
89,89,ENSMUSG00000112348,ENSMUSG00000112348,Down,-27.1340152032061,5.36932969624093e-05,-115.864413684385
90,90,ENSMUSG00000014329,Bicc1,Down,-23.4298549025124,1.23803791796283e-05,-114.976531607931
91,91,ENSMUSG00000069743,Zfp820,Down,-23.3107380230234,1.24235431602358e-05,-114.356758581961
92,92,ENSMUSG00000110433,ENSMUSG00000110433,Down,-17.069756299189,3.5034918311079e-07,-110.193792855451
93,93,ENSMUSG00000034959,Rubcnl,Down,-21.6473026985226,1.02403072057158e-05,-108.013265173309
94,94,ENSMUSG00000060224,Pyroxd2,Down,-22.0161618413837,1.24980021622359e-05,-107.948750984297
95,95,ENSMUSG00000113136,Gm19951,Down,-22.0962951142338,1.32927728388132e-05,-107.750029165745
96,96,ENSMUSG00000000901,Mmp11,Down,-23.4517839825022,2.85885840226856e-05,-106.560388535448
97,97,ENSMUSG00000111968,ENSMUSG00000111968,Down,-23.8849302515888,4.11614170685147e-05,-104.74759287581
98,98,ENSMUSG00000038042,Ptpdc1,Down,-20.966893625064,1.41520063943323e-05,-101.67228282438
99,99,ENSMUSG00000102875,ENSMUSG00000102875,Down,-22.0582920818538,2.517698273893e-05,-101.446004062463
100,100,ENSMUSG00000063177,Klk1b27,Down,-17.8598295968616,2.25731142770984e-06,-100.843893997637
101,101,ENSMUSG00000112105,ENSMUSG00000112105,Down,-19.7302576541135,8.92469746459031e-06,-99.6260911856378
102,102,ENSMUSG00000001300,Efnb2,Down,-18.8419263463572,6.29165215915564e-06,-98.001292354077
103,103,ENSMUSG00000071714,Csf2rb2,Down,-21.5290128388311,3.33875677543591e-05,-96.3728006925813
104,104,ENSMUSG00000039096,Rsad1,Down,-20.2416324350041,2.22564854241164e-05,-94.1750736961027
105,105,ENSMUSG00000025656,Arhgef9,Down,-16.0539236756505,1.43128173304021e-06,-93.8235427255903
106,106,ENSMUSG00000020961,Ston2,Down,-20.8090698080092,3.19655551939309e-05,-93.543380829778
107,107,ENSMUSG00000032323,Cyp11a1,Down,-25.3154093436316,0.000227865323269766,-92.2068663429249
108,108,ENSMUSG00000022449,Adamts20,Down,-19.0560850022885,1.72635659989361e-05,-90.7616458669521
109,109,ENSMUSG00000052549,Arl13a,Down,-20.7392514188905,5.24041130157997e-05,-88.7771577290251
110,110,ENSMUSG00000048905,Bnip5,Down,-24.9219145063184,0.000311342034142583,-87.39522877575
111,111,ENSMUSG00000035547,Capn5,Down,-19.3986235788098,3.57519316698541e-05,-86.2598689418578
112,112,ENSMUSG00000090628,ENSMUSG00000090628,Down,-23.0553533448162,0.000212088328432793,-84.6934538914448
113,113,ENSMUSG00000105890,ENSMUSG00000105890,Down,-24.2222138214589,0.000394349103682009,-82.4553017299582
114,114,ENSMUSG00000082487,ENSMUSG00000082487,Down,-19.2055879948522,5.75764237829733e-05,-81.426993754807
115,115,ENSMUSG00000073433,Arhgdig,Down,-22.9365771299875,0.000289313395909302,-81.1640933481392
116,116,ENSMUSG00000105929,ENSMUSG00000105929,Down,-21.4041451543652,0.000204276183491006,-78.9766351816575
117,117,ENSMUSG00000037568,Vash2,Down,-23.0565681700374,0.000375917797575953,-78.9666043135236
118,118,ENSMUSG00000032783,Troap,Down,-19.5682530661229,9.30763156502049e-05,-78.8827750023597
119,119,ENSMUSG00000000958,Slc7a7,Down,-20.6910659811809,0.000160888014478748,-78.4910685851885
120,120,ENSMUSG00000105985,ENSMUSG00000105985,Down,-23.6023381561591,0.00048922433498265,-78.1353504302038
121,121,ENSMUSG00000055069,Rab39,Down,-24.3646959158568,0.000680493634165645,-77.1672785232039
122,122,ENSMUSG00000031214,Ophn1,Down,-20.3254439553391,0.000194355091948371,-75.4359355568811
123,123,ENSMUSG00000029151,Slc30a3,Down,-16.251725828833,2.32757464413514e-05,-75.295812147275
124,124,ENSMUSG00000046733,Gprc5a,Down,-19.341275868209,0.000162565055659381,-73.2835682386474
125,125,ENSMUSG00000084910,ENSMUSG00000084910,Down,-24.5572342945935,0.00105231260709964,-73.1278884940062
126,126,ENSMUSG00000044788,Fads6,Down,-20.4400757348752,0.000361232289271284,-70.3591033393463
127,127,ENSMUSG00000104597,ENSMUSG00000104597,Down,-21.8309350038343,0.000659841284255945,-69.434609888767
128,128,ENSMUSG00000020150,Gamt,Down,-24.0591349200062,0.00145734765052767,-68.2422165017113
129,129,ENSMUSG00000034990,Otoa,Down,-23.4092785849813,0.00126758511160938,-67.8172154413615
130,130,ENSMUSG00000076481,Trbv30,Down,-23.9335719361909,0.0015573038820382,-67.1965340098584
131,131,ENSMUSG00000110425,ENSMUSG00000110425,Down,-23.8880627377783,0.00159722636458707,-66.8061572131183
132,132,ENSMUSG00000032766,Gng11,Down,-22.757942862824,0.00118401704271564,-66.6043524706067
133,133,ENSMUSG00000112955,ENSMUSG00000112955,Down,-23.7862915479262,0.00170510349013149,-65.8463838961125
134,134,ENSMUSG00000041592,Sdk2,Down,-18.8739353521318,0.000326534252006609,-65.7958835265725
135,135,ENSMUSG00000076752,Trgc2,Down,-8.53009184961403,2.21475114236521e-08,-65.2950813888146
136,136,ENSMUSG00000113841,ENSMUSG00000113841,Down,-22.7620736390282,0.00138109519948823,-65.0944406502142
137,137,ENSMUSG00000116659,ENSMUSG00000116659,Down,-22.911498461919,0.00150975292030092,-64.6354936295042
138,138,ENSMUSG00000058246,Gm10037,Down,-22.8265068468602,0.00151127318356399,-64.3857468668877
139,139,ENSMUSG00000090698,Apold1,Down,-20.0424287489736,0.000623761374417308,-64.2356137933935
140,140,ENSMUSG00000113735,ENSMUSG00000113735,Down,-22.7235509023023,0.00149870944005963,-64.1777284499258
141,141,ENSMUSG00000022157,Mcpt8,Down,-23.5843131604483,0.0019245736791563,-64.0471046004142
142,142,ENSMUSG00000108830,ENSMUSG00000108830,Down,-23.4656524864264,0.00206030548052002,-63.0303472119295
143,143,ENSMUSG00000113086,ENSMUSG00000113086,Down,-16.8243926490545,0.000182738601320613,-62.8924348804339
144,144,ENSMUSG00000031790,Mmp15,Down,-22.996270164897,0.00190566350362163,-62.548792038006
145,145,ENSMUSG00000071862,Lrrtm2,Down,-18.750236589135,0.000462712857967003,-62.5261970522053
146,146,ENSMUSG00000049904,Tmem17,Down,-22.4108379974032,0.00172203956381874,-61.942589754345
147,147,ENSMUSG00000028655,Mfsd2a,Down,-19.0588422940459,0.00057011959735843,-61.827532979042
148,148,ENSMUSG00000028766,Alpl,Down,-19.3114213729568,0.000681518563895456,-61.1500466136102
149,149,ENSMUSG00000009092,Derl3,Down,-22.3419819467898,0.00204308019557605,-60.0935547219843
150,150,ENSMUSG00000114612,ENSMUSG00000114612,Down,-22.5244054005573,0.00216780874773184,-60.0045437751256
151,151,ENSMUSG00000106049,ENSMUSG00000106049,Down,-22.2725480472428,0.002494465075162,-57.9759453076071
152,152,ENSMUSG00000094792,Trav10d,Down,-17.8873009864406,0.000593129884506845,-57.7196406535571
153,153,ENSMUSG00000104764,ENSMUSG00000104764,Down,-22.8773652120178,0.00302245581787551,-57.642725373154
154,154,ENSMUSG00000031196,F8,Down,-20.1846768170952,0.00139935931386143,-57.6084958488173
155,155,ENSMUSG00000025787,Tgm4,Down,-22.8093910396593,0.00314145865202855,-57.0889098068183
156,156,ENSMUSG00000041362,Shtn1,Down,-17.0848112663567,0.000475469348081359,-56.7707345273586
157,157,ENSMUSG00000021253,Tgfb3,Down,-19.5614877654776,0.00146248834781504,-55.4550100483861
158,158,ENSMUSG00000114501,ENSMUSG00000114501,Down,-22.5852757254793,0.0036114715793144,-55.1603757177245
159,159,ENSMUSG00000035105,Egln3,Down,-20.2502437040062,0.0019759397640529,-54.7612415832473
160,160,ENSMUSG00000098161,ENSMUSG00000098161,Down,-22.3892595008673,0.0040814477641607,-53.4920999178974
161,161,ENSMUSG00000085354,ENSMUSG00000085354,Down,-20.0436797013615,0.00229172008605539,-52.9120759304116
162,162,ENSMUSG00000039474,Wfs1,Down,-19.5709045536637,0.00202752920406095,-52.7050894855668
163,163,ENSMUSG00000118239,ENSMUSG00000118239,Down,-18.4540600364491,0.0014845560477568,-52.1955261777461
164,164,ENSMUSG00000104383,ENSMUSG00000104383,Down,-19.1545900764135,0.001956478571249,-51.8806842563181
165,165,ENSMUSG00000029765,Plxna4,Down,-19.5296694980648,0.00240550749969635,-51.1441673349416
166,166,ENSMUSG00000000957,Mmp14,Down,-22.0156313237186,0.00517125618679003,-50.3366263435622
167,167,ENSMUSG00000114638,ENSMUSG00000114638,Down,-18.0185334300633,0.00163998313994018,-50.1845096810097
168,168,ENSMUSG00000017009,Sdc4,Down,-21.940987941261,0.00538033141027817,-49.7882917625836
169,169,ENSMUSG00000031283,Chrdl1,Down,-19.5306282371867,0.00307818775172974,-49.0551745308023
170,170,ENSMUSG00000026480,Ncf2,Down,-21.466443015564,0.00523037933575738,-48.9749773240617
171,171,ENSMUSG00000032899,Styk1,Down,-17.6644972284325,0.00189440416025964,-48.0920770264522
172,172,ENSMUSG00000027977,Ndst3,Down,-21.6477112667382,0.00647803253574398,-47.3772473227404
173,173,ENSMUSG00000045591,Olig3,Down,-21.5901770945514,0.0066204626280081,-47.047406683875
174,174,ENSMUSG00000051736,Fam229b,Down,-16.7624826812344,0.00204308019557605,-45.0862941649546
175,175,ENSMUSG00000027695,Pld1,Down,-17.0101183740971,0.00254696375130952,-44.1238598427638
176,176,ENSMUSG00000062037,Olfr285,Down,-21.1942506223661,0.00844375573510211,-43.945522850007
177,177,ENSMUSG00000105228,ENSMUSG00000105228,Down,-21.1417955422909,0.00864253127875514,-43.6231149539943
