Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-6.2,6.2,7.3,20504,230,173,12,6.9,1.9,11629|12775|12977|13642|14173|16803|18846|20343|22415|214968|228994|243743,Aif1|Ccr7|Csf1|Efnb2|Fgf2|Lbp|Plxna3|Sell|Wnt3|Sema6d|Ythdf1|Plxna4,-1.9,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-5.2,4.5,6,20504,342,173,13,7.5,2,11629|12520|12775|13642|15519|16195|16842|20971|21414|60505|63953|74734|234396,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Il6st|Lef1|Sdc4|Tcf7|Il21|Dusp10|Rhoh|Ankle1,-1.2,Geneid
GO Biological Processes,19,GO:0050870,positive regulation of T cell activation,19_GO:0022610 biological adhesion,-4.8,5.5,6.1,20504,216,173,10,5.8,1.8,11629|12520|12775|13642|15519|16195|16842|60505|63953|74734,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Il6st|Lef1|Il21|Dusp10|Rhoh,-1,Geneid
GO Biological Processes,19,GO:0032946,positive regulation of mononuclear cell proliferation,19_GO:0048518 positive regulation of biological process,-4.5,6.5,6.2,20504,145,173,8,4.6,1.6,11629|12520|12775|12977|16019|16195|60505|380797,Aif1|Cd81|Ccr7|Csf1|Ighm|Il6st|Il21|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:1903039,positive regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-4.4,4.9,5.7,20504,240,173,10,5.8,1.8,11629|12520|12775|13642|15519|16195|16842|60505|63953|74734,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Il6st|Lef1|Il21|Dusp10|Rhoh,-0.95,Geneid
GO Biological Processes,19,GO:0030010,establishment of cell polarity,19_GO:0009987 cellular process,-4.4,6.3,6,20504,151,173,8,4.6,1.6,12615|12775|15519|16001|18508|71653|76260|94190,Cenpa|Ccr7|Hsp90aa1|Igf1r|Pax6|Shtn1|Ttc8|Ophn1,-0.95,Geneid
GO Biological Processes,19,GO:0045619,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.2,5.3,5.6,20504,202,173,9,5.2,1.7,12775|15519|16842|17387|21414|60505|63953|74734|234396,Ccr7|Hsp90aa1|Lef1|Mmp14|Tcf7|Il21|Dusp10|Rhoh|Ankle1,-0.95,Geneid
GO Biological Processes,19,GO:0070665,positive regulation of leukocyte proliferation,19_GO:0048518 positive regulation of biological process,-4.2,6,5.8,20504,157,173,8,4.6,1.6,11629|12520|12775|12977|16019|16195|60505|380797,Aif1|Cd81|Ccr7|Csf1|Ighm|Il6st|Il21|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-4.2,3.1,4.9,20504,611,173,16,9.2,2.2,11629|12520|12775|13642|15519|16019|16195|16842|17387|20971|21414|60505|63953|74734|234396|380797,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Ighm|Il6st|Lef1|Mmp14|Sdc4|Tcf7|Il21|Dusp10|Rhoh|Ankle1|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:0045621,positive regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-4.1,6.9,6,20504,120,173,7,4,1.5,12775|15519|16842|17387|60505|63953|74734,Ccr7|Hsp90aa1|Lef1|Mmp14|Il21|Dusp10|Rhoh,-0.95,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-4.1,3,4.8,20504,623,173,16,9.2,2.2,11629|12775|12977|13642|14173|16803|16842|18508|18846|20343|22415|74734|76260|214968|228994|243743,Aif1|Ccr7|Csf1|Efnb2|Fgf2|Lbp|Lef1|Pax6|Plxna3|Sell|Wnt3|Rhoh|Ttc8|Sema6d|Ythdf1|Plxna4,-0.95,Geneid
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-4.1,3.8,5.1,20504,373,173,12,6.9,1.9,11629|12520|12775|13642|15519|16195|16842|20343|20971|60505|63953|74734,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Il6st|Lef1|Sell|Sdc4|Il21|Dusp10|Rhoh,-0.95,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-4.1,3,4.7,20504,628,173,16,9.2,2.2,11629|12775|12977|13642|14173|16803|16842|18508|18846|20343|22415|74734|76260|214968|228994|243743,Aif1|Ccr7|Csf1|Efnb2|Fgf2|Lbp|Lef1|Pax6|Plxna3|Sell|Wnt3|Rhoh|Ttc8|Sema6d|Ythdf1|Plxna4,-0.95,Geneid
GO Biological Processes,19,GO:0051251,positive regulation of lymphocyte activation,19_GO:0002376 immune system process,-4.1,3.5,4.9,20504,436,173,13,7.5,2,11629|12520|12775|13642|15519|16019|16195|16842|17387|60505|63953|74734|380797,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Ighm|Il6st|Lef1|Mmp14|Il21|Dusp10|Rhoh|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:0002696,positive regulation of leukocyte activation,19_GO:0002376 immune system process,-4,3.3,4.8,20504,500,173,14,8.1,2.1,11629|12520|12775|13642|15519|16019|16195|16803|16842|17387|60505|63953|74734|380797,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Ighm|Il6st|Lbp|Lef1|Mmp14|Il21|Dusp10|Rhoh|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:1902105,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-4,4,5.1,20504,323,173,11,6.4,1.9,12775|12977|15519|16842|17387|21414|60505|63953|74734|234396|234515,Ccr7|Csf1|Hsp90aa1|Lef1|Mmp14|Tcf7|Il21|Dusp10|Rhoh|Ankle1|Inpp4b,-0.95,Geneid
WikiPathways,27,WP441,Matrix metalloproteinases,,-4,16,7.6,20504,29,173,4,2.3,1.1,17385|17387|17388|21858,Mmp11|Mmp14|Mmp15|Timp2,-0.95,Geneid
GO Biological Processes,19,GO:0030335,positive regulation of cell migration,19_GO:0040011 locomotion,-4,3.1,4.7,20504,571,173,15,8.7,2.1,11629|12775|12977|14173|16001|16195|16803|16842|17387|18508|18805|20343|22051|71653|214968,Aif1|Ccr7|Csf1|Fgf2|Igf1r|Il6st|Lbp|Lef1|Mmp14|Pax6|Pld1|Sell|Trip6|Shtn1|Sema6d,-0.95,Geneid
KEGG Pathway,24,mmu05215,Prostate cancer,,-3.9,7.8,6,20504,91,173,6,3.5,1.4,11839|15519|16001|16842|18710|21414,Areg|Hsp90aa1|Igf1r|Lef1|Pik3r3|Tcf7,-0.95,Geneid
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-3.9,3.2,4.7,20504,515,173,14,8.1,2.1,11629|12520|12775|13642|15519|16019|16195|16803|16842|17387|60505|63953|74734|380797,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Ighm|Il6st|Lbp|Lef1|Mmp14|Il21|Dusp10|Rhoh|Ighd,-0.95,Geneid
GO Biological Processes,19,GO:1903037,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-3.9,3.9,4.9,20504,333,173,11,6.4,1.9,11629|12520|12775|13642|15519|16195|16842|20971|60505|63953|74734,Aif1|Cd81|Ccr7|Efnb2|Hsp90aa1|Il6st|Lef1|Sdc4|Il21|Dusp10|Rhoh,-0.95,Geneid
