_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-6.208947663565911,GO:0040011,locomotion,M1,1,GO:0050920 regulation of chemotaxis
1,-5.150934623138382,GO:0002376,immune system process,M1,1,GO:0050863 regulation of T cell activation
1,-4.806926533761184,GO:0022610,biological adhesion,M1,1,GO:0050870 positive regulation of T cell activation
1,-4.486778226106584,GO:0048518,positive regulation of biological process,M1,1,GO:0032946 positive regulation of mononuclear cell proliferation
1,-4.361026195811805,GO:0009987,cellular process,M1,1,GO:0030010 establishment of cell polarity
1,-3.7995630830679854,GO:0032502,developmental process,M1,1,GO:0021604 cranial nerve structural organization
1,-3.7813286706857823,GO:0040007,growth,M1,1,GO:0048841 regulation of axon extension involved in axon guidance
1,-3.638679798432046,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-3.6146799489129746,GO:0050789,regulation of biological process,M1,1,GO:0032944 regulation of mononuclear cell proliferation
1,-3.014827289265978,GO:0008152,metabolic process,M1,1,GO:0043550 regulation of lipid kinase activity
1,-2.359014770924505,GO:0023052,signaling,M1,1,GO:0060070 canonical Wnt signaling pathway
1,-2.0978314475495417,GO:0048519,negative regulation of biological process,M1,1,GO:0010721 negative regulation of cell development
1,-2.0205746806331186,GO:0065007,biological regulation,M1,1,GO:0008361 regulation of cell size
