Cluster,Score,Type,Gene,Symbol,Network
1,2.0,Clustered,16490,Kcna2,Geneid_SUB1
1,2.0,Clustered,20068,Rps17,Geneid_SUB1
1,2.0,Clustered,114641,Rpl31,Geneid_SUB1
1,2.0,Seed,19943,Rpl28,Geneid_SUB1
1,2.0,Clustered,67427,Rps20,Geneid_SUB1
3,1.5,Seed,18846,Plxna3,Geneid_SUB1
3,1.5,Clustered,26563,Ror1,Geneid_SUB1
3,1.5,Clustered,243743,Plxna4,Geneid_SUB1
3,1.5,Clustered,15519,Hsp90aa1,Geneid_SUB1
4,1.0,Seed,14069,F8,Geneid_SUB1
4,1.0,Clustered,11839,Areg,Geneid_SUB1
4,1.0,Clustered,74498,Gorasp1,Geneid_SUB1
2,2.0,Clustered,246190,Otoa,Geneid_SUB2
2,2.0,Clustered,64931,Izumo1r,Geneid_SUB2
2,2.0,Clustered,11647,Alpl,Geneid_SUB2
2,2.0,Clustered,70574,Cpm,Geneid_SUB2
2,2.0,Seed,109979,Art3,Geneid_SUB2
