Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
234396,3.0,1,1,1
16195,3.0,1,1,1
114641,3.0,1,1,1
21858,3.0,1,1,1
94190,3.0,1,1,1
60505,3.0,1,1,1
17970,3.0,1,1,1
12775,3.0,1,1,1
13642,3.0,1,1,1
12977,3.0,1,1,1
67427,3.0,1,1,1
11647,3.0,1,1,1
18846,3.0,1,1,1
18805,3.0,1,1,1
19943,3.0,1,1,1
64931,3.0,1,1,1
16467,3.0,1,1,1
16842,3.0,1,1,1
243743,3.0,1,1,1
21809,3.0,1,1,1
70574,3.0,1,1,1
17385,3.0,1,1,1
50784,3.0,1,1,1
11629,3.0,1,1,1
218865,3.0,1,1,1
12615,3.0,1,1,1
11839,3.0,1,1,1
109979,3.0,1,1,1
21414,3.0,1,1,1
16490,3.0,1,1,1
77057,3.0,1,1,1
74734,3.0,1,1,1
18710,3.0,1,1,1
17387,3.0,1,1,1
12984,3.0,1,1,1
18508,3.0,1,1,1
16001,3.0,1,1,1
20343,3.0,1,1,1
114606,3.0,1,1,1
66066,3.0,1,1,1
20068,3.0,1,1,1
214968,3.0,1,1,1
20971,3.0,1,1,1
246190,3.0,1,1,1
12520,3.0,1,1,1
15519,3.0,1,1,1
236915,3.0,1,1,1
22415,3.0,1,1,1
107065,3.0,1,1,1
216505,3.0,1,1,1
14173,3.0,1,1,1
16619,3.0,1,1,1
76260,3.0,1,1,1
17388,3.0,1,1,1
270160,2.0,1,0,1
71653,2.0,1,0,1
76574,2.0,1,1,0
21781,2.0,1,0,1
58802,2.0,1,1,0
17691,2.0,1,1,0
236899,2.0,1,1,0
52163,2.0,1,0,1
66938,2.0,1,0,1
110902,2.0,1,0,1
71884,2.0,1,0,1
243659,2.0,1,0,1
234515,2.0,1,0,1
22393,2.0,1,0,1
330192,2.0,1,0,1
380797,2.0,1,1,0
26563,2.0,1,0,1
14069,2.0,1,0,1
16517,2.0,1,1,0
99543,2.0,1,0,1
70099,2.0,1,0,1
14570,2.0,1,0,1
83453,2.0,1,0,1
53602,2.0,1,0,1
106042,2.0,1,0,1
12337,2.0,1,0,1
237979,2.0,1,1,0
15248,2.0,1,0,1
16019,2.0,1,1,0
26549,2.0,1,0,1
76044,2.0,1,0,1
20741,2.0,1,0,1
235431,2.0,1,1,0
63953,2.0,1,1,0
192786,2.0,1,0,1
114642,2.0,1,0,1
16803,2.0,1,1,0
268903,2.0,1,0,1
83398,2.0,1,0,1
66968,2.0,1,1,0
194401,2.0,1,0,1
108800,2.0,1,0,1
22051,2.0,1,0,1
26909,2.0,1,1,0
218232,2.0,1,0,1
83675,2.0,1,0,1
74498,2.0,1,0,1
208084,2.0,1,0,1
20230,2.0,1,1,0
16637,2.0,1,0,1
381845,2.0,1,0,1
232431,1.0,1,0,0
223838,1.0,1,0,0
69539,1.0,1,0,0
77633,1.0,1,0,0
170753,1.0,1,0,0
102637366,1.0,1,0,0
70638,1.0,1,0,0
241041,1.0,1,0,0
270198,1.0,1,0,0
100415978,1.0,1,0,0
226841,1.0,1,0,0
230582,1.0,1,0,0
100047482,1.0,1,0,0
57780,1.0,1,0,0
103765,1.0,1,0,0
13070,1.0,1,0,0
207819,1.0,1,0,0
105245440,1.0,1,0,0
100416761,1.0,1,0,0
56857,1.0,1,0,0
217733,1.0,1,0,0
100042846,1.0,1,0,0
83965,1.0,1,0,0
78733,1.0,1,0,0
100040298,1.0,1,0,0
100504231,1.0,1,0,0
74580,1.0,1,0,0
16469,1.0,1,0,0
100101486,1.0,1,0,0
94222,1.0,1,0,0
271221,1.0,1,0,0
75424,1.0,1,0,0
70377,1.0,1,0,0
234673,1.0,1,0,0
75323,1.0,1,0,0
71799,1.0,1,0,0
52670,1.0,1,0,0
243219,1.0,1,0,0
22129,1.0,1,0,0
228994,1.0,1,0,0
235633,1.0,1,0,0
674098,1.0,1,0,0
216363,1.0,1,0,0
257943,1.0,1,0,0
235043,1.0,1,0,0
237926,1.0,1,0,0
100418123,1.0,1,0,0
94214,1.0,1,0,0
11981,1.0,1,0,0
94219,1.0,1,0,0
331046,1.0,1,0,0
76747,1.0,1,0,0
74041,1.0,1,0,0
279872,1.0,1,0,0
381101,1.0,1,0,0
434179,1.0,1,0,0
59049,1.0,1,0,0
20540,1.0,1,0,0
319545,1.0,1,0,0
17231,1.0,1,0,0
69108,1.0,1,0,0
194388,1.0,1,0,0
328035,1.0,1,0,0
226527,1.0,1,0,0
13821,1.0,1,0,0
100042926,1.0,1,0,0
75538,1.0,1,0,0
74685,1.0,1,0,0
14865,1.0,1,0,0
107574,1.0,1,0,0
100124699,1.0,1,0,0
69303,1.0,1,0,0
329727,1.0,1,0,0
67088,1.0,1,0,0
67652,1.0,1,0,0
241128,1.0,1,0,0
74448,1.0,1,0,0
11768,1.0,1,0,0
14431,1.0,1,0,0
115486112,1.0,1,0,0
112407,1.0,1,0,0
217666,1.0,1,0,0
108899,1.0,1,0,0
109212,1.0,1,0,0
105244162,1.0,1,0,0
195733,1.0,1,0,0
331524,1.0,1,0,0
234258,1.0,1,0,0
239546,1.0,1,0,0
240427,1.0,1,0,0
54367,1.0,1,0,0
100124674,1.0,1,0,0
269823,1.0,1,0,0
67394,1.0,1,0,0
279561,1.0,1,0,0
242484,1.0,1,0,0
381823,1.0,1,0,0
100042568,1.0,1,0,0
331623,1.0,1,0,0
667449,1.0,1,0,0
18631,1.0,1,0,0
68306,1.0,1,0,0
66337,1.0,1,0,0
22784,1.0,1,0,0
