,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000022793,B4galt4,Down,-48.3488578675173,9.04007774478194e-111,-5320.4933911712
2,2,ENSMUSG00000045573,Penk,Down,-45.6786259355322,1.66207807577619e-96,-4375.06903609725
3,3,ENSMUSG00000055407,Map6,Down,-43.3581603323181,9.62461785256958e-99,-4249.82017366505
4,4,ENSMUSG00000016529,Il10,Down,-47.104296576225,1.38815886265677e-89,-4185.57289836813
5,5,ENSMUSG00000017314,Mpp2,Down,-48.5009958944221,6.63073634072994e-61,-2918.71418604402
6,6,ENSMUSG00000117250,ENSMUSG00000117250,Down,-46.0682931965719,3.7799832305553e-54,-2461.08385982075
7,7,ENSMUSG00000085457,1110046J04Rik,Down,-47.8883751885014,4.65914301855056e-49,-2314.52629376152
8,8,ENSMUSG00000014846,Tppp3,Down,-42.1350706035469,5.59433409189198e-54,-2243.78738101687
9,9,ENSMUSG00000020953,Coch,Down,-36.5741320376457,1.26162498267122e-59,-2154.18235282295
10,10,ENSMUSG00000031078,Cttn,Down,-48.432587381381,1.00515156843293e-36,-1743.46506576351
11,11,ENSMUSG00000109759,ENSMUSG00000109759,Down,-43.2900244763917,1.71475842569208e-40,-1721.46232781257
12,12,ENSMUSG00000076750,Trgv3,Down,-47.4853529042606,8.48872819091433e-37,-1712.85163748903
13,13,ENSMUSG00000025930,Msc,Down,-46.7064801779735,4.02538295738272e-37,-1699.89135092079
14,14,ENSMUSG00000004347,Pde1c,Down,-43.8976707107127,5.64809624144141e-33,-1415.61638317367
15,15,ENSMUSG00000040899,Ccr6,Down,-38.767393080146,5.99070059449156e-36,-1365.48537058136
16,16,ENSMUSG00000007021,Syngr3,Down,-44.8493121427742,4.42699443835476e-30,-1316.50182112359
17,17,ENSMUSG00000113581,Dio3os,Down,-48.0239331441893,8.63734681297486e-28,-1299.70146032464
18,18,ENSMUSG00000081284,Gm13673,Down,-45.9263626009541,4.38158116665415e-28,-1256.47038123941
19,19,ENSMUSG00000031286,Glt28d2,Down,-39.0313100136749,2.42140683668959e-32,-1234.01125246369
20,20,ENSMUSG00000001555,Fkbp10,Down,-32.6832793373649,1.8328489292871e-38,-1233.36477235806
21,21,ENSMUSG00000018919,Tm4sf5,Down,-44.4080661270466,9.0514033357592e-28,-1200.93994781757
22,22,ENSMUSG00000113649,ENSMUSG00000113649,Down,-46.6284550545824,1.48777018670744e-24,-1111.037841105
23,23,ENSMUSG00000028601,Echdc2,Down,-40.4737139484635,6.83944078644974e-26,-1018.52017800027
24,24,ENSMUSG00000005089,Slc1a2,Down,-37.187537405819,2.95754618822933e-27,-986.550725855321
25,25,ENSMUSG00000034394,Lif,Down,-37.7099160462502,7.11488759027503e-27,-986.032547891536
26,26,ENSMUSG00000111828,D830035M03Rik,Down,-50.2235506522593,2.87836473714321e-20,-981.411079421876
27,27,ENSMUSG00000039013,Siglecf,Down,-42.1504209099372,6.68944128676047e-23,-934.66915149279
28,28,ENSMUSG00000028716,Pdzk1ip1,Down,-32.7032087467907,3.41682660242545e-28,-898.238662520289
29,29,ENSMUSG00000038180,Spag4,Down,-43.750385026544,4.26132321850512e-21,-891.215272323823
30,30,ENSMUSG00000000125,Wnt3,Down,-26.6476303562059,3.54043309791836e-33,-864.740749972888
31,31,ENSMUSG00000108214,ENSMUSG00000108214,Down,-39.809059500454,2.38109674214333e-22,-860.800169373711
32,32,ENSMUSG00000027718,Il21,Down,-26.3054861197471,1.21957015613329e-32,-839.507844359205
33,33,ENSMUSG00000092622,Khdc3,Down,-39.1738621983843,8.47431476353189e-22,-825.467527008191
34,34,ENSMUSG00000029752,Asns,Down,-30.3160121139438,2.70322803775251e-26,-775.123354304665
35,35,ENSMUSG00000034634,Ly6d,Down,-42.9570625869189,9.47072494424386e-19,-774.241633902357
36,36,ENSMUSG00000085546,ENSMUSG00000085546,Down,-44.6309693100156,9.63762116931023e-18,-759.441919346044
37,37,ENSMUSG00000052117,D630039A03Rik,Down,-26.4664528092047,4.8569361693661e-28,-722.895100695498
38,38,ENSMUSG00000014599,Csf1,Down,-24.992423700139,6.3432039526128e-29,-704.728648948553
39,39,ENSMUSG00000097223,ENSMUSG00000097223,Down,-47.256625960339,1.57586077067948e-15,-699.515362513014
40,40,ENSMUSG00000110697,ENSMUSG00000110697,Down,-25.0133019961295,3.97730749719891e-28,-685.374750937517
41,41,ENSMUSG00000112317,ENSMUSG00000112317,Down,-47.6933780937382,7.98299044214499e-15,-672.373345898544
