Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-10,3.5,8.1,20504,772,277,36,13,2,11487|11492|12367|12477|12520|12522|12977|13642|13848|14758|16153|16196|16410|16412|16768|16878|16963|18186|18846|19122|19247|20371|20583|20750|21923|22164|22329|54371|54446|60505|75697|94214|218397|277360|320404|100043314,Adam10|Adam19|Casp3|Ctla4|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Il10|Il7|Itgav|Itgb1|Lag3|Lif|Xcl1|Nrp1|Plxna3|Prnp|Ptpn11|Foxp3|Snai2|Spp1|Tnc|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|C2cd4b|Spock2|Rasa1|Prex1|Itpkb|Tigit,-5.7,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-8.1,3.6,7.3,20504,550,277,27,9.7,1.8,12192|12367|12458|12477|12520|12522|13642|13848|16196|16364|16410|16768|16963|17886|19122|20371|21949|22164|22329|30925|58206|59009|60505|252838|277360|320404|100043314,Zfp36l1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Irf4|Itgav|Lag3|Xcl1|Myh9|Prnp|Foxp3|Tnfsf8|Tnfsf4|Vcam1|Slamf6|Zbtb32|Sh3rf1|Il21|Tox|Prex1|Itpkb|Tigit,-4.1,Geneid
GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-7.8,3.2,7,20504,723,277,31,11,1.9,11839|12192|12316|12477|16410|16412|16768|17385|18018|18186|18508|18846|19247|19280|20361|20371|20481|20583|22129|22164|22402|22415|24063|66042|74498|106042|214968|234515|320404|330938|434246,Areg|Zfp36l1|Aspm|Ctla4|Itgav|Itgb1|Lag3|Mmp11|Nfatc1|Nrp1|Pax6|Plxna3|Ptpn11|Ptprs|Sema7a|Foxp3|Ski|Snai2|Ttc3|Tnfsf4|Ccn4|Wnt3|Spry1|Sostdc1|Gorasp1|Prickle1|Sema6d|Inpp4b|Itpkb|Dixdc1|Trim72,-4,Geneid
GO Biological Processes,19,GO:0001817,regulation of cytokine production,19_GO:0032501 multicellular organismal process,-7.7,3.1,6.8,20504,776,277,32,12,1.9,12520|12522|15251|15442|16153|16178|16196|16364|16410|16768|16803|16963|17470|18987|19122|19247|19280|20290|20361|20371|20583|21809|22164|22402|30925|56490|58206|60505|66889|74039|380797|100043314,Cd81|Cd83|Hif1a|Hpse|Il10|Il1r2|Il7|Irf4|Itgav|Lag3|Lbp|Xcl1|Cd200|Pou2f2|Prnp|Ptpn11|Ptprs|Ccl1|Sema7a|Foxp3|Snai2|Tgfb3|Tnfsf4|Ccn4|Slamf6|Zbtb20|Zbtb32|Il21|Rnf128|Nfam1|Ighd|Tigit,-4,Geneid
GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-7,5.1,7.4,20504,230,277,16,5.8,1.4,11487|12458|12977|13043|13616|13642|14173|16803|16963|18186|18846|20290|20361|20583|22415|214968,Adam10|Ccr6|Csf1|Cttn|Edn3|Efnb2|Fgf2|Lbp|Xcl1|Nrp1|Plxna3|Ccl1|Sema7a|Snai2|Wnt3|Sema6d,-3.5,Geneid
GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-7,3.2,6.5,20504,623,277,27,9.7,1.8,11487|12458|12776|12977|13043|13616|13642|13848|14173|16410|16803|16963|18186|18508|18846|20290|20361|20583|20750|22329|22415|57349|70045|76260|214968|277360|545428,Adam10|Ccr6|Ccr8|Csf1|Cttn|Edn3|Efnb2|Ephb6|Fgf2|Itgav|Lbp|Xcl1|Nrp1|Pax6|Plxna3|Ccl1|Sema7a|Snai2|Spp1|Vcam1|Wnt3|Ppbp|2610528A11Rik|Ttc8|Sema6d|Prex1|Ccdc141,-3.5,Geneid
GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-6.9,3.2,6.5,20504,628,277,27,9.7,1.8,11487|12458|12776|12977|13043|13616|13642|13848|14173|16410|16803|16963|18186|18508|18846|20290|20361|20583|20750|22329|22415|57349|70045|76260|214968|277360|545428,Adam10|Ccr6|Ccr8|Csf1|Cttn|Edn3|Efnb2|Ephb6|Fgf2|Itgav|Lbp|Xcl1|Nrp1|Pax6|Plxna3|Ccl1|Sema7a|Snai2|Spp1|Vcam1|Wnt3|Ppbp|2610528A11Rik|Ttc8|Sema6d|Prex1|Ccdc141,-3.5,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.9,3.6,6.7,20504,472,277,23,8.3,1.7,11492|12520|12522|12977|13642|13848|16196|16410|16412|16878|16963|18186|19247|20371|20750|22164|22329|54371|54446|60505|94214|277360|320404,Adam19|Cd81|Cd83|Csf1|Efnb2|Ephb6|Il7|Itgav|Itgb1|Lif|Xcl1|Nrp1|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|Spock2|Prex1|Itpkb,-3.5,Geneid
GO Biological Processes,19,GO:0002521,leukocyte differentiation,19_GO:0002376 immune system process,-6.8,3.2,6.5,20504,633,277,27,9.7,1.8,12192|12458|12477|12520|12522|12977|16153|16196|16364|16768|16878|17068|18018|18987|20371|21949|22164|22402|30925|59009|60505|74039|97086|234515|252838|277360|320404,Zfp36l1|Ccr6|Ctla4|Cd81|Cd83|Csf1|Il10|Il7|Irf4|Lag3|Lif|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf8|Tnfsf4|Ccn4|Slamf6|Sh3rf1|Il21|Nfam1|Slc9b2|Inpp4b|Tox|Prex1|Itpkb,-3.5,Geneid
GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-6.6,4.1,6.8,20504,342,277,19,6.9,1.5,12367|12458|12477|12520|12522|13642|13848|16196|16768|16963|19122|20371|22164|22329|59009|60505|252838|320404|100043314,Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Sh3rf1|Il21|Tox|Itpkb|Tigit,-3.4,Geneid
