_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.1,WP3675,Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling,M1,1,0
1,-2.4,GO:1903038,negative regulation of leukocyte cell-cell adhesion,M1,1,0
1,-2.3,GO:0072089,stem cell proliferation,M1,1,0
1,-4.6,GO:0120035,regulation of plasma membrane bounded cell projection organization,M1,1,0
1,-2.2,WP441,Matrix metalloproteinases,M1,1,0
1,-4.6,GO:1903039,positive regulation of leukocyte cell-cell adhesion,M1,1,0
1,-3,ko04670,Leukocyte transendothelial migration,M1,1,0
1,-5.5,GO:0030335,positive regulation of cell migration,M1,1,0
1,-2.8,GO:0070848,response to growth factor,M1,1,0
1,-2.7,GO:0070849,response to epidermal growth factor,M1,1,0
1,-2.4,GO:0051302,regulation of cell division,M1,1,0
1,-6.3,GO:0035710,"CD4-positive, alpha-beta T cell activation",M1,1,0
1,-2.5,GO:0010811,positive regulation of cell-substrate adhesion,M1,1,0
1,-2.5,GO:0046633,alpha-beta T cell proliferation,M1,1,0
1,-5.7,GO:0034330,cell junction organization,M1,1,0
1,-3.8,GO:0042593,glucose homeostasis,M1,1,0
1,-2.3,R-MMU-9013404,RAC2 GTPase cycle,M1,1,0
1,-2.7,GO:0032675,regulation of interleukin-6 production,M1,1,0
1,-4.3,GO:0002360,T cell lineage commitment,M1,1,0
1,-2.7,GO:0046640,regulation of alpha-beta T cell proliferation,M1,1,0
1,-3.1,mmu05418,Fluid shear stress and atherosclerosis,M1,1,0
1,-2.7,GO:0007229,integrin-mediated signaling pathway,M1,1,0
1,-2.6,GO:1901214,regulation of neuron death,M1,1,0
1,-2.7,GO:0032700,negative regulation of interleukin-17 production,M1,1,0
1,-3.9,GO:0033619,membrane protein proteolysis,M1,1,0
1,-5.4,GO:0040017,positive regulation of locomotion,M1,1,0
1,-2.2,GO:0050798,activated T cell proliferation,M1,1,0
1,-3.6,GO:0032733,positive regulation of interleukin-10 production,M1,1,0
1,-5.4,mmu04060,Cytokine-cytokine receptor interaction,M1,1,0
1,-3.7,GO:0014032,neural crest cell development,M1,1,0
1,-5.9,GO:0032944,regulation of mononuclear cell proliferation,M1,1,0
1,-3.9,ko05205,Proteoglycans in cancer,M1,1,0
1,-2.3,WP222,Cytokines and inflammatory response,M1,1,0
1,-2.9,GO:0040001,establishment of mitotic spindle localization,M1,1,0
1,-3.7,GO:0001818,negative regulation of cytokine production,M1,1,0
1,-4.6,GO:0048843,negative regulation of axon extension involved in axon guidance,M1,1,0
1,-2,GO:1904705,regulation of vascular associated smooth muscle cell proliferation,M1,1,0
1,-4.3,GO:0048864,stem cell development,M1,1,0
1,-2.7,GO:0045579,positive regulation of B cell differentiation,M1,1,0
1,-3.8,GO:0045165,cell fate commitment,M1,1,0
1,-4.1,GO:0007162,negative regulation of cell adhesion,M1,1,0
1,-3.6,GO:0007160,cell-matrix adhesion,M1,1,0
1,-2.6,R-MMU-1474244,Extracellular matrix organization,M1,1,0
1,-3.1,WP2292,Chemokine signaling pathway,M1,1,0
1,-3.8,GO:0046634,regulation of alpha-beta T cell activation,M1,1,0
1,-3.7,GO:0002363,alpha-beta T cell lineage commitment,M1,1,0
1,-2.1,R-MMU-388396,GPCR downstream signalling,M1,1,0
1,-2.5,GO:0002700,regulation of production of molecular mediator of immune response,M1,1,0
1,-3.9,GO:0048846,axon extension involved in axon guidance,M1,1,0
1,-2,GO:0021872,forebrain generation of neurons,M1,1,0
1,-2.7,GO:0007044,cell-substrate junction assembly,M1,1,0
1,-2.6,GO:0061035,regulation of cartilage development,M1,1,0
1,-3.7,R-MMU-422475,Axon guidance,M1,1,0
1,-5.3,GO:0022407,regulation of cell-cell adhesion,M1,1,0
1,-2.4,ko05144,Malaria,M1,1,0
1,-3.4,GO:0050864,regulation of B cell activation,M1,1,0
1,-4.4,GO:2000404,regulation of T cell migration,M1,1,0
1,-2.7,GO:0051129,negative regulation of cellular component organization,M1,1,0
1,-2,GO:0002088,lens development in camera-type eye,M1,1,0
1,-2.9,R-MMU-3000170,Syndecan interactions,M1,1,0
1,-2,GO:0007015,actin filament organization,M1,1,0
1,-4.4,GO:0022409,positive regulation of cell-cell adhesion,M1,1,0
1,-3.6,GO:0030595,leukocyte chemotaxis,M1,1,0
1,-2,GO:0010171,body morphogenesis,M1,1,0
1,-2.8,GO:0050672,negative regulation of lymphocyte proliferation,M1,1,0
1,-2.1,GO:0010453,regulation of cell fate commitment,M1,1,0
1,-2.2,GO:0035272,exocrine system development,M1,1,0
1,-3.6,GO:0032613,interleukin-10 production,M1,1,0
1,-2.3,GO:0045581,negative regulation of T cell differentiation,M1,1,0
1,-3.1,GO:0032673,regulation of interleukin-4 production,M1,1,0
1,-5.2,mmu04360,Axon guidance,M1,1,0
1,-2.4,GO:0071331,cellular response to hexose stimulus,M1,1,0
1,-3.4,GO:0014033,neural crest cell differentiation,M1,1,0
1,-3.5,GO:0014031,mesenchymal cell development,M1,1,0
1,-4.5,GO:0006509,membrane protein ectodomain proteolysis,M1,1,0
1,-4.3,GO:0042098,T cell proliferation,M1,1,0
1,-2.4,R-MMU-373755,Semaphorin interactions,M1,1,0
1,-3.1,GO:0000132,establishment of mitotic spindle orientation,M1,1,0
1,-4.6,GO:1990138,neuron projection extension,M1,1,0
