_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-10.027539617996231,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-8.073591455477825,GO:0002376,immune system process,M1,1,GO:0042110 T cell activation
1,-7.822846573893007,GO:0048519,negative regulation of biological process,M1,1,GO:0045596 negative regulation of cell differentiation
1,-7.664395039036297,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-6.984770676755877,GO:0040011,locomotion,M1,1,GO:0050920 regulation of chemotaxis
1,-6.108655083577422,GO:0009987,cellular process,M1,1,GO:0032943 mononuclear cell proliferation
1,-5.995408446047485,GO:0032502,developmental process,M1,1,GO:0061564 axon development
1,-5.878317501652815,GO:0050789,regulation of biological process,M1,1,GO:0032944 regulation of mononuclear cell proliferation
1,-5.854274938287051,GO:0048518,positive regulation of biological process,M1,1,GO:0001819 positive regulation of cytokine production
1,-5.837363714848805,GO:0040007,growth,M1,1,GO:0060560 developmental growth involved in morphogenesis
1,-4.951324204468377,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-4.520899761664152,GO:0008152,metabolic process,M1,1,GO:0006509 membrane protein ectodomain proteolysis
1,-3.842663887302085,GO:0065007,biological regulation,M1,1,GO:0042593 glucose homeostasis
1,-3.669499428131098,GO:0050896,response to stimulus,M1,1,GO:0009611 response to wounding
1,-3.660111069843339,GO:0023052,signaling,M1,1,GO:0007169 transmembrane receptor protein tyrosine kinase signaling pathway
1,-3.0381290975665087,GO:0022414,reproductive process,M1,1,GO:0001892 embryonic placenta development
1,-2.0538408352944932,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045089 positive regulation of innate immune response
