Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-13,5.3,10,20504,772,146,29,20,3.3,11487|12367|12477|12520|12522|12977|13642|13848|16153|16196|16410|16412|16878|16963|18186|18846|19122|19247|20371|20750|21923|22164|22329|54446|60505|218397|277360|320404|100043314,Adam10|Casp3|Ctla4|Cd81|Cd83|Csf1|Efnb2|Ephb6|Il10|Il7|Itgav|Itgb1|Lif|Xcl1|Nrp1|Plxna3|Prnp|Ptpn11|Foxp3|Spp1|Tnc|Tnfsf4|Vcam1|Nfat5|Il21|Rasa1|Prex1|Itpkb|Tigit,-9
Geneid,GO Biological Processes,19,GO:0050863,regulation of T cell activation,19_GO:0002376 immune system process,-10,7.4,10,20504,342,146,18,12,2.7,12367|12458|12477|12520|12522|13642|13848|16196|16963|19122|20371|22164|22329|59009|60505|252838|320404|100043314,Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Sh3rf1|Il21|Tox|Itpkb|Tigit,-6.9
Geneid,GO Biological Processes,19,GO:0045596,negative regulation of cell differentiation,19_GO:0048519 negative regulation of biological process,-10,4.9,8.9,20504,723,146,25,17,3.1,11839|12316|12477|16410|16412|17385|18018|18186|18508|18846|19247|19280|20361|20371|20481|22164|22415|24063|66042|74498|106042|214968|234515|320404|434246,Areg|Aspm|Ctla4|Itgav|Itgb1|Mmp11|Nfatc1|Nrp1|Pax6|Plxna3|Ptpn11|Ptprs|Sema7a|Foxp3|Ski|Tnfsf4|Wnt3|Spry1|Sostdc1|Gorasp1|Prickle1|Sema6d|Inpp4b|Itpkb|Trim72,-6.9
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-10,5.6,9.3,20504,550,146,22,15,3,12367|12458|12477|12520|12522|13642|13848|16196|16364|16410|16963|17886|19122|20371|22164|22329|59009|60505|252838|277360|320404|100043314,Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Irf4|Itgav|Xcl1|Myh9|Prnp|Foxp3|Tnfsf4|Vcam1|Sh3rf1|Il21|Tox|Prex1|Itpkb|Tigit,-6.9
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-9.8,6,9.2,20504,472,146,20,14,2.8,12520|12522|12977|13642|13848|16196|16410|16412|16878|16963|18186|19247|20371|20750|22164|22329|54446|60505|277360|320404,Cd81|Cd83|Csf1|Efnb2|Ephb6|Il7|Itgav|Itgb1|Lif|Xcl1|Nrp1|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Nfat5|Il21|Prex1|Itpkb,-6.5
Geneid,GO Biological Processes,19,GO:0006935,chemotaxis,19_GO:0040011 locomotion,-9.2,5,8.5,20504,623,146,22,15,3,11487|12458|12776|12977|13043|13616|13642|13848|14173|16410|16963|18186|18508|18846|20290|20361|20750|22329|22415|57349|214968|277360,Adam10|Ccr6|Ccr8|Csf1|Cttn|Edn3|Efnb2|Ephb6|Fgf2|Itgav|Xcl1|Nrp1|Pax6|Plxna3|Ccl1|Sema7a|Spp1|Vcam1|Wnt3|Ppbp|Sema6d|Prex1,-6.1
Geneid,GO Biological Processes,19,GO:0042330,taxis,19_GO:0040011 locomotion,-9.2,4.9,8.4,20504,628,146,22,15,3,11487|12458|12776|12977|13043|13616|13642|13848|14173|16410|16963|18186|18508|18846|20290|20361|20750|22329|22415|57349|214968|277360,Adam10|Ccr6|Ccr8|Csf1|Cttn|Edn3|Efnb2|Ephb6|Fgf2|Itgav|Xcl1|Nrp1|Pax6|Plxna3|Ccl1|Sema7a|Spp1|Vcam1|Wnt3|Ppbp|Sema6d|Prex1,-6.1
Geneid,GO Biological Processes,19,GO:0050920,regulation of chemotaxis,19_GO:0040011 locomotion,-9,8.5,9.7,20504,230,146,14,9.6,2.4,11487|12458|12977|13043|13616|13642|14173|16963|18186|18846|20290|20361|22415|214968,Adam10|Ccr6|Csf1|Cttn|Edn3|Efnb2|Fgf2|Xcl1|Nrp1|Plxna3|Ccl1|Sema7a|Wnt3|Sema6d,-5.9
Geneid,GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-8.8,6.4,8.9,20504,373,146,17,12,2.7,12367|12477|12520|12522|13642|13848|16196|16412|16963|19122|20371|22164|22329|54446|60505|320404|100043314,Casp3|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Itgb1|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Nfat5|Il21|Itpkb|Tigit,-5.9
Geneid,GO Biological Processes,19,GO:0060560,developmental growth involved in morphogenesis,19_GO:0040007 growth,-8.8,7.5,9.3,20504,280,146,15,10,2.5,11839|12977|13043|13616|16412|18186|18846|19280|20361|21923|22415|24063|68404|71653|214968,Areg|Csf1|Cttn|Edn3|Itgb1|Nrp1|Plxna3|Ptprs|Sema7a|Tnc|Wnt3|Spry1|Nrn1|Shtn1|Sema6d,-5.9
