Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
13642,3.0,1,1,1
14678,3.0,1,1,1
12977,3.0,1,1,1
94190,3.0,1,1,1
18260,3.0,1,1,1
20750,3.0,1,1,1
11839,3.0,1,1,1
13848,3.0,1,1,1
16412,3.0,1,1,1
59009,3.0,1,1,1
20371,3.0,1,1,1
21809,3.0,1,1,1
66066,3.0,1,1,1
12520,3.0,1,1,1
17357,3.0,1,1,1
20511,3.0,1,1,1
22415,3.0,1,1,1
19122,3.0,1,1,1
15251,3.0,1,1,1
52163,3.0,1,1,1
21923,3.0,1,1,1
16001,3.0,1,1,1
18018,3.0,1,1,1
100043314,3.0,1,1,1
320404,3.0,1,1,1
57349,3.0,1,1,1
11487,3.0,1,1,1
12615,3.0,1,1,1
13616,3.0,1,1,1
112407,3.0,1,1,1
18710,3.0,1,1,1
12522,3.0,1,1,1
18846,3.0,1,1,1
12458,3.0,1,1,1
17384,3.0,1,1,1
16364,3.0,1,1,1
18508,3.0,1,1,1
19247,3.0,1,1,1
17385,3.0,1,1,1
252838,3.0,1,1,1
14866,3.0,1,1,1
277360,3.0,1,1,1
15442,3.0,1,1,1
14865,3.0,1,1,1
24063,3.0,1,1,1
66313,3.0,1,1,1
107065,3.0,1,1,1
54446,3.0,1,1,1
21858,3.0,1,1,1
20361,3.0,1,1,1
20481,3.0,1,1,1
218397,3.0,1,1,1
17470,3.0,1,1,1
66042,3.0,1,1,1
17886,3.0,1,1,1
12316,3.0,1,1,1
71653,3.0,1,1,1
12315,3.0,1,1,1
214968,3.0,1,1,1
16153,3.0,1,1,1
19280,3.0,1,1,1
22164,3.0,1,1,1
71602,3.0,1,1,1
14173,3.0,1,1,1
77057,3.0,1,1,1
83453,3.0,1,1,1
16963,3.0,1,1,1
236915,3.0,1,1,1
29817,3.0,1,1,1
12776,3.0,1,1,1
17970,3.0,1,1,1
18987,3.0,1,1,1
16410,3.0,1,1,1
18186,3.0,1,1,1
13043,3.0,1,1,1
12367,3.0,1,1,1
20290,3.0,1,1,1
27027,3.0,1,1,1
17132,3.0,1,1,1
16878,3.0,1,1,1
22329,3.0,1,1,1
60505,3.0,1,1,1
12477,3.0,1,1,1
16196,3.0,1,1,1
380797,2.0,1,1,0
57916,2.0,1,1,0
114642,2.0,1,0,1
22051,2.0,1,0,1
18575,2.0,1,0,1
114255,2.0,1,0,1
16517,2.0,1,1,0
226757,2.0,1,0,1
19894,2.0,1,0,1
207742,2.0,1,1,0
104027,2.0,1,1,0
13401,2.0,1,0,1
14230,2.0,1,0,1
21949,2.0,1,1,0
12337,2.0,1,0,1
243659,2.0,1,0,1
234515,2.0,1,0,1
18423,2.0,1,0,1
269823,2.0,1,1,0
218215,2.0,1,0,1
56175,2.0,1,1,0
11492,2.0,1,1,0
93690,2.0,1,0,1
17760,2.0,1,0,1
64011,2.0,1,0,1
70045,2.0,1,1,0
108154,2.0,1,0,1
20974,2.0,1,1,0
30925,2.0,1,1,0
210789,2.0,1,0,1
59125,2.0,1,0,1
381845,2.0,1,0,1
58220,2.0,1,0,1
22129,2.0,1,1,0
50997,2.0,1,0,1
26563,2.0,1,0,1
74498,2.0,1,0,1
108800,2.0,1,0,1
54371,2.0,1,1,0
109979,2.0,1,0,1
11979,2.0,1,1,0
218232,2.0,1,0,1
97086,2.0,1,0,1
68404,2.0,1,0,1
107528,2.0,1,0,1
216238,2.0,1,0,1
12192,2.0,1,1,0
12810,2.0,1,0,1
107575,2.0,1,0,1
64931,2.0,1,0,1
223838,2.0,1,0,1
99543,2.0,1,0,1
22402,2.0,1,1,0
69890,2.0,1,1,0
14758,2.0,1,1,0
18619,2.0,1,0,1
17937,2.0,1,0,1
74039,2.0,1,1,0
225010,2.0,1,0,1
269389,2.0,1,0,1
16803,2.0,1,1,0
26909,2.0,1,1,0
16178,2.0,1,0,1
77864,2.0,1,0,1
381067,2.0,1,0,1
26549,2.0,1,0,1
16768,2.0,1,1,0
330938,2.0,1,1,0
20540,2.0,1,1,0
226841,2.0,1,1,0
66889,2.0,1,0,1
21353,2.0,1,0,1
13196,2.0,1,0,1
16637,2.0,1,0,1
20741,2.0,1,0,1
67088,2.0,1,0,1
75424,2.0,1,0,1
20583,2.0,1,1,0
17068,2.0,1,0,1
50784,2.0,1,0,1
22393,2.0,1,0,1
70099,2.0,1,0,1
258998,2.0,1,0,1
70122,2.0,1,0,1
72584,2.0,1,0,1
76260,2.0,1,1,0
106042,2.0,1,0,1
66991,2.0,1,0,1
434246,2.0,1,0,1
14570,2.0,1,0,1
14569,2.0,1,0,1
14069,2.0,1,0,1
77633,1.0,1,0,0
241041,1.0,1,0,0
545471,1.0,1,0,0
100042926,1.0,1,0,0
18146,1.0,1,0,0
69202,1.0,1,0,0
13821,1.0,1,0,0
237926,1.0,1,0,0
195733,1.0,1,0,0
103765,1.0,1,0,0
66337,1.0,1,0,0
59049,1.0,1,0,0
381101,1.0,1,0,0
20257,1.0,1,0,0
94353,1.0,1,0,0
