,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000080984,ENSMUSG00000080984,Up,49.8352710758864,2.03019196424379e-97,4818.69509939481
2,2,ENSMUSG00000003555,Cyp17a1,Up,39.3721625967772,4.52878705833573e-80,3123.94558168259
3,3,ENSMUSG00000076940,Iglv2,Up,46.8157637174917,5.34082149087863e-57,2634.43500476147
4,4,ENSMUSG00000025257,Ribc1,Up,47.4282540819863,2.07822435007325e-50,2356.3451068547
5,5,ENSMUSG00000040488,Ltbp4,Up,42.1367315988172,1.60285798872227e-55,2308.88663037179
6,6,ENSMUSG00000118478,ENSMUSG00000118478,Up,46.5967884781671,2.71312325821147e-36,1657.28609747514
7,7,ENSMUSG00000043542,Zc2hc1a,Up,38.579922258495,6.99831092156776e-40,1510.5971170844
8,8,ENSMUSG00000034591,Slc41a2,Up,48.1602950392472,7.27539198905352e-32,1499.62218286922
9,9,ENSMUSG00000034981,Parm1,Up,41.9717419168307,3.14974840016067e-32,1322.1822353707
10,10,ENSMUSG00000029727,Cyp3a13,Up,41.4314147056493,2.63917952616106e-32,1308.34321641369
11,11,ENSMUSG00000087066,ENSMUSG00000087066,Up,41.9387953472275,1.49243918681755e-29,1208.9320493161
12,12,ENSMUSG00000035448,Ccr3,Up,39.4576475623655,8.6814562641774e-31,1186.15241914076
13,13,ENSMUSG00000078926,Cdc20b,Up,33.6547071671545,3.2364117102228e-35,1160.74870423979
14,14,ENSMUSG00000084320,Gm14125,Up,26.593914395356,4.11642069354854e-43,1127.19583330103
15,15,ENSMUSG00000118445,ENSMUSG00000118445,Up,47.4294747517969,2.1963936498562e-23,1074.67078496406
16,16,ENSMUSG00000044320,1700001O22Rik,Up,24.6318817394185,7.17926852776624e-44,1062.71593034646
17,17,ENSMUSG00000026656,Fcgr2b,Up,27.2155175977601,6.44098611194676e-39,1039.38912904898
18,18,ENSMUSG00000104435,ENSMUSG00000104435,Up,46.1612271746904,3.88586785965021e-22,988.335507057931
19,19,ENSMUSG00000041696,Rasl12,Up,41.4688282078441,1.52644296599541e-24,987.63485848977
20,20,ENSMUSG00002075065,ENSMUSG00002075065,Up,41.68835370404,3.69062044929078e-24,976.879049200248
21,21,ENSMUSG00000111087,ENSMUSG00000111087,Up,44.0170639248057,5.48097584421652e-22,935.853051456009
22,22,ENSMUSG00000097177,9330159M07Rik,Up,47.7364605844614,3.74256338252617e-19,879.63168389393
23,23,ENSMUSG00000041567,Serpina12,Up,45.2371046471049,6.43037962069101e-19,822.942704076887
24,24,ENSMUSG00000025983,Ccdc150,Up,46.5762711272918,2.51997140173903e-18,819.677369430188
25,25,ENSMUSG00000073489,Ifi204,Up,37.9179553513799,3.61650124880127e-22,813.025854786846
26,26,ENSMUSG00000060470,Adgrg3,Up,26.1905815335613,1.09839625736583e-31,810.840524463961
27,27,ENSMUSG00000106005,ENSMUSG00000106005,Up,41.5409001194122,6.51987127670153e-18,713.911980286369
28,28,ENSMUSG00000036611,Eepd1,Up,41.646341862204,6.75188993226579e-17,673.445279819436
29,29,ENSMUSG00000117380,ENSMUSG00000117380,Up,43.1280122950552,9.88552549488496e-15,604.007822521636
30,30,ENSMUSG00000023913,Pla2g7,Up,40.094524311849,4.17269082759367e-15,576.542571975534
31,31,ENSMUSG00000047798,Cd300lf,Up,41.3776707572487,2.16364687416784e-14,565.4181588608
32,32,ENSMUSG00000113587,ENSMUSG00000113587,Up,37.3120143124192,5.46897292674554e-15,532.147463905124
33,33,ENSMUSG00000028217,Cdh17,Up,33.2919070462478,3.15820385635055e-16,516.043197374699
34,34,ENSMUSG00000032607,Amt,Up,23.9393180903519,3.88586785965021e-22,512.553056570853
35,35,ENSMUSG00000076760,ENSMUSG00000076760,Up,24.0992954277187,5.68577940549174e-22,511.994592066814
36,36,ENSMUSG00000032802,Srxn1,Up,38.1450279473505,8.05552902536318e-14,499.467407761036
37,37,ENSMUSG00000085111,Ascl4,Up,36.3311688328377,1.09054820751547e-13,470.937512762456
38,38,ENSMUSG00000080783,ENSMUSG00000080783,Up,23.3361565760244,2.14611303578945e-20,458.983634692459
39,39,ENSMUSG00000085379,ENSMUSG00000085379,Up,22.9707788445384,2.3502033867047e-20,450.89099572223
40,40,ENSMUSG00000100798,Gm19589,Up,25.2528013317326,1.99089259161607e-18,446.998628518093
41,41,ENSMUSG00000074569,Gcnt7,Up,23.1342436893995,7.69476905018685e-20,442.183409063931
42,42,ENSMUSG00000021760,Gpx8,Up,22.2612500830593,2.18885014527335e-20,437.651367544309
43,43,ENSMUSG00000102960,ENSMUSG00000102960,Up,36.6738635893041,3.08481990118643e-12,422.144415608895
44,44,ENSMUSG00000060397,Zfp128,Up,23.4827577583138,7.55009347441927e-18,402.072897796762
45,45,ENSMUSG00000036353,P2ry12,Up,33.6161446854495,1.17487620329325e-12,401.040871415909
46,46,ENSMUSG00000021069,Pygl,Up,24.7575280553052,7.51040544905644e-17,399.198716168213
47,47,ENSMUSG00000021850,ccdc198,Up,37.2404248363112,3.12664924063917e-11,391.20771483519
48,48,ENSMUSG00000070524,Fcrlb,Up,32.5283429044247,1.84324628516262e-12,381.70112801157
49,49,ENSMUSG00000091735,Gpr62,Up,40.6036877982363,4.91411951861989e-10,377.961632042961
50,50,ENSMUSG00000097055,Gm4419,Up,35.0538586569908,1.7180389884318e-11,377.353631128927
51,51,ENSMUSG00000042379,Esm1,Up,23.9227915634087,2.05128618532011e-16,375.300125948669
52,52,ENSMUSG00000039055,Eme1,Up,22.8359253363289,3.5754136116604e-16,352.739087554965
53,53,ENSMUSG00000082287,ENSMUSG00000082287,Up,39.205526933098,1.13865007147093e-09,350.638931845131
54,54,ENSMUSG00000022783,Spag6l,Up,33.1388965358764,3.60900010612449e-11,346.056675256411
55,55,ENSMUSG00000036223,Ska1,Up,21.9765699425835,9.60349948585408e-16,330.034688077172
56,56,ENSMUSG00000044177,Wfikkn2,Up,24.0829454567204,2.0039184134954e-14,329.891075954726
57,57,ENSMUSG00000109629,ENSMUSG00000109629,Up,32.2177878579358,5.85189523383005e-11,329.675069211031
58,58,ENSMUSG00000030346,Rad51ap1,Up,20.5821124586996,1.11038693932691e-15,307.795728800785
59,59,ENSMUSG00000086372,ENSMUSG00000086372,Up,34.1168832222862,1.7347667152516e-09,298.889788984824
60,60,ENSMUSG00000108269,ENSMUSG00000108269,Up,23.7486939490536,7.73172368406033e-13,287.637618756877
61,61,ENSMUSG00000114907,ENSMUSG00000114907,Up,30.2320077233074,3.73194609943361e-10,285.029322933823
62,62,ENSMUSG00000037095,Lrg1,Up,33.275927792094,5.04552282897091e-09,276.093494987531
63,63,ENSMUSG00000073985,ENSMUSG00000073985,Up,29.8678491160379,6.17533901557235e-10,275.063153546262
64,64,ENSMUSG00000028678,Kif2c,Up,22.0250409056483,3.33141927589682e-13,274.814600188439
65,65,ENSMUSG00000059674,Cdh24,Up,22.2915784383046,5.98615105167494e-13,272.466671422314
66,66,ENSMUSG00000024033,Rsph1,Up,22.4637874130644,8.69446258908195e-13,270.930287059184
67,67,ENSMUSG00000016150,Tenm1,Up,24.1132556168861,7.73928310487328e-12,267.929599447654
68,68,ENSMUSG00000058287,Gm12253,Up,22.1768736129242,1.84324628516262e-12,260.232674584593
69,69,ENSMUSG00000102620,ENSMUSG00000102620,Up,24.6352866463392,3.60900010612449e-11,257.256767182677
70,70,ENSMUSG00000024140,Epas1,Up,23.5903622019143,1.25564891395669e-11,257.161646974741
71,71,ENSMUSG00000000617,Grm6,Up,21.5123865215626,1.85488118217799e-12,252.376518706462
72,72,ENSMUSG00000000303,Cdh1,Up,24.3567395466194,6.3652751869741e-11,248.345769217899
73,73,ENSMUSG00000002108,Nr1h3,Up,34.2913442167763,6.02125635375346e-08,247.59423440323
74,74,ENSMUSG00000026365,Cfh,Up,35.4807202610688,1.1132347245417e-07,246.712110574765
75,75,ENSMUSG00000111947,ENSMUSG00000111947,Up,23.6186816005318,6.0593456937858e-11,241.325633406182
76,76,ENSMUSG00000023809,Rps6ka2,Up,23.4462260928771,7.81706930168873e-11,236.969976373451
77,77,ENSMUSG00000027827,Kcnab1,Up,21.988945611757,2.30557398958235e-11,233.901272622202
78,78,ENSMUSG00000028825,Rhd,Up,22.7544040659226,7.19401318828952e-11,230.798575092926
79,79,ENSMUSG00000094174,Ighv6-4,Up,34.4746406645759,3.0143066504118e-07,224.80267013238
80,80,ENSMUSG00000048368,Omd,Up,34.3015523834998,3.48444621331255e-07,221.514836944069
81,81,ENSMUSG00000114086,Gm18968,Up,28.7683412166895,2.00264398695089e-08,221.470090113418
82,82,ENSMUSG00000026649,Cfap126,Up,24.7261871327155,1.26277771371132e-09,220.030256091115
83,83,ENSMUSG00000108891,ENSMUSG00000108891,Up,31.6118682862988,1.12184821440525e-07,219.704567779245
84,84,ENSMUSG00000015709,Arnt2,Up,23.6899020475856,5.63064797463788e-10,219.118366060058
85,85,ENSMUSG00000089679,Gm16299,Up,23.8513785758185,7.05311152059293e-10,218.278735295232
86,86,ENSMUSG00000026546,Cfap45,Up,23.359420400293,5.87012349092944e-10,215.639050038411
87,87,ENSMUSG00000029607,Ankrd61,Up,23.764348856719,9.05184949588916e-10,214.907249026477
88,88,ENSMUSG00000102401,ENSMUSG00000102401,Up,24.4560892081715,1.92446365167713e-09,213.151699175352
89,89,ENSMUSG00000074272,Ceacam1,Up,32.3266886055424,2.64553145678808e-07,212.628376322326
90,90,ENSMUSG00000100426,ENSMUSG00000100426,Up,21.7780734799823,2.53790763503708e-10,208.972030839275
91,91,ENSMUSG00000106087,ENSMUSG00000106087,Up,25.5837167412807,7.12232014032554e-09,208.440223962647
92,92,ENSMUSG00000112297,ENSMUSG00000112297,Up,21.6893132275792,3.47140802572885e-10,205.169935645403
93,93,ENSMUSG00000052534,Pbx1,Up,23.1947357848219,1.89059853375496e-09,202.336973993289
94,94,ENSMUSG00000021874,4933413J09Rik,Up,25.2923494000127,1.46503406797263e-08,198.144116619715
95,95,ENSMUSG00000056367,Actr3b,Up,24.0388842962278,1.12248430395845e-08,191.104796500789
96,96,ENSMUSG00000110580,ENSMUSG00000110580,Up,23.6167439993109,8.9486860664121e-09,190.073240903017
97,97,ENSMUSG00000110751,ENSMUSG00000110751,Up,23.4020503445001,8.33485023533329e-09,189.067556408289
98,98,ENSMUSG00000117698,BC037704,Up,21.612596985865,2.13412295990563e-09,187.398085835561
99,99,ENSMUSG00000098062,ENSMUSG00000098062,Up,32.1769265781265,2.44112405187458e-06,180.590109331015
100,100,ENSMUSG00000073802,Cdkn2b,Up,28.7999263375423,5.78764124921357e-07,179.639494356955
101,101,ENSMUSG00000094098,Vmn2r44,Up,30.0218002466462,1.20720545119941e-06,177.675582994268
102,102,ENSMUSG00000117704,ENSMUSG00000117704,Up,22.1843655661561,2.38722266684143e-08,169.09160963707
103,103,ENSMUSG00000011148,Adssl1,Up,23.6503040073064,7.90774645998377e-08,167.963211827676
104,104,ENSMUSG00000032845,Alpk2,Up,22.5211394584669,3.89466373359173e-08,166.871059205828
105,105,ENSMUSG00000047343,Mettl21c,Up,22.6641310990556,4.61386968392569e-08,166.262585231823
106,106,ENSMUSG00000087004,ENSMUSG00000087004,Up,22.2996763842807,3.64136140026012e-08,165.881410319903
107,107,ENSMUSG00000044309,Apol7c,Up,31.3776159048463,5.43744390742591e-06,165.190760175941
108,108,ENSMUSG00000071324,Armc2,Up,25.3059227246492,4.01381477557135e-07,161.867883986895
109,109,ENSMUSG00000107136,ENSMUSG00000107136,Up,21.7351528219607,3.58243873776288e-08,161.836062267103
110,110,ENSMUSG00000090941,ENSMUSG00000090941,Up,21.9300379683078,5.78948989350114e-08,158.715573008328
111,111,ENSMUSG00000112669,ENSMUSG00000112669,Up,21.1067766852393,3.40398438467872e-08,157.625670871621
112,112,ENSMUSG00000033060,Lmo7,Up,22.6557130341532,1.1132347245417e-07,157.534535322417
113,113,ENSMUSG00000019852,Arfgef3,Up,23.9830512827018,4.42448002273865e-07,152.39161179066
114,114,ENSMUSG00000055216,ENSMUSG00000055216,Up,29.244718392994,9.05425886297408e-06,147.48541655221
115,115,ENSMUSG00000062524,Ncr1,Up,30.1963864867686,1.36657590932488e-05,146.886282981236
116,116,ENSMUSG00000068744,Psrc1,Up,23.7523074515648,6.64947369022154e-07,146.72305590922
117,117,ENSMUSG00000107128,ENSMUSG00000107128,Up,24.1977341536571,9.64254605796846e-07,145.56892943123
118,118,ENSMUSG00000108053,ENSMUSG00000108053,Up,23.8587591769677,7.92156030573018e-07,145.566805419705
119,119,ENSMUSG00000039529,Atp8b1,Up,23.9189925477212,9.59796192944513e-07,143.940215103341
120,120,ENSMUSG00000049897,Stkld1,Up,30.0030725410628,1.61961244216796e-05,143.73238614786
121,121,ENSMUSG00000085846,ENSMUSG00000085846,Up,25.1711644510932,2.08451737221109e-06,142.997246330654
122,122,ENSMUSG00000030465,Psd3,Up,23.0399184971022,6.79217581787733e-07,142.110011791381
123,123,ENSMUSG00000024124,Prss30,Up,22.9080609072969,7.19735929151394e-07,140.720250862936
124,124,ENSMUSG00000043126,D830039M14Rik,Up,29.7597929858987,1.97403061920101e-05,140.009294462341
125,125,ENSMUSG00000083307,AA414768,Up,20.9320766081216,2.05824502849634e-07,139.962391464729
126,126,ENSMUSG00000103454,ENSMUSG00000103454,Up,22.2441789539772,5.19303283241772e-07,139.795298405215
127,127,ENSMUSG00000118028,ENSMUSG00000118028,Up,29.7205829561337,2.04542753633099e-05,139.366230205964
128,128,ENSMUSG00000028575,Eqtn,Up,29.6670638811413,2.13433211390854e-05,138.567082648463
129,129,ENSMUSG00000086889,ENSMUSG00000086889,Up,22.1742860875236,5.98492435089787e-07,137.989281461077
130,130,ENSMUSG00000113898,ENSMUSG00000113898,Up,25.0425771734865,3.23271493025452e-06,137.494581875663
131,131,ENSMUSG00000102202,ENSMUSG00000102202,Up,21.6491202317041,4.57731561338927e-07,137.242197713967
132,132,ENSMUSG00000024600,Slc27a6,Up,24.1356965517949,2.087277965052e-06,137.100886446491
133,133,ENSMUSG00000107583,ENSMUSG00000107583,Up,29.3696790196855,2.70156710267246e-05,134.17197879088
134,134,ENSMUSG00000028194,Ddah1,Up,29.3551493679132,2.75089786462938e-05,133.874908240939
