Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-8.3,3.8,7.5,20504,599,233,26,11,2.1,12772|12774|14130|14131|15951|16641|16642|16643|17059|17228|17916|19376|19883|20304|22165|22259|26365|27007|30955|52392|58992|71648|74603|210029|243655|329731,Ccr2|Ccr5|Fcgr2b|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Cma1|Myo1f|Rab34|Rora|Ccl5|Txk|Nr1h3|Ceacam1|Klrk1|Pik3cg|Macir|F12|Optn|Cd200r3|Metrnl|Klre1|Tafa3,-4,Geneid
GO Biological Processes,19,GO:1990840,response to lectin,19_GO:0050896 response to stimulus,-7.4,44,15,20504,10,233,5,2.1,0.95,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.7,Geneid
GO Biological Processes,19,GO:0002223,stimulatory C-type lectin receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.4,44,15,20504,10,233,5,2.1,0.95,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.7,Geneid
GO Biological Processes,19,GO:1990858,cellular response to lectin,19_GO:0050896 response to stimulus,-7.4,44,15,20504,10,233,5,2.1,0.95,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.7,Geneid
GO Biological Processes,19,GO:0001909,leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-7.2,6.8,8.1,20504,168,233,13,5.6,1.5,14131|15007|16641|16642|16643|16904|17059|17101|18646|26365|27007|140474|243655,Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Lyst|Prf1|Ceacam1|Klrk1|Muc4|Klre1,-3.6,Geneid
GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-7,5.2,7.4,20504,273,233,16,6.9,1.7,12772|12774|14131|15951|16641|16642|16643|17059|19376|20304|22165|27007|30955|71648|243655|329731,Ccr2|Ccr5|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pik3cg|Optn|Klre1|Tafa3,-3.5,Geneid
GO Biological Processes,19,GO:0002220,innate immune response activating cell surface receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.9,37,13,20504,12,233,5,2.1,0.95,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.4,Geneid
GO Biological Processes,19,GO:0002758,innate immune response-activating signal transduction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.7,34,13,20504,13,233,5,2.1,0.95,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.3,Geneid
KEGG Pathway,24,mmu04650,Natural killer cell mediated cytotoxicity,,-6.6,7.5,7.9,20504,129,233,11,4.7,1.4,15007|15979|16640|16641|16642|16643|17059|17086|18646|23900|27007,H2-Q10|Ifngr1|Klra9|Klrc1|Klrc2|Klrd1|Klrb1c|Ncr1|Prf1|Hcst|Klrk1,-3.3,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-6.3,3.9,6.5,20504,427,233,19,8.2,1.8,12273|12772|12774|14131|15951|16641|16642|16643|17059|19376|20304|22165|27007|27226|30955|70839|71648|243655|329731,C5ar1|Ccr2|Ccr5|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pla2g7|Pik3cg|P2ry12|Optn|Klre1|Tafa3,-3,Geneid
GO Biological Processes,19,GO:0031341,regulation of cell killing,19_GO:0050789 regulation of biological process,-6.3,7,7.6,20504,139,233,11,4.7,1.4,12628|15007|16641|16642|16643|17059|18646|26365|27007|140474|243655,Cfh|H2-Q10|Klrc1|Klrc2|Klrd1|Klrb1c|Prf1|Ceacam1|Klrk1|Muc4|Klre1,-3,Geneid
KEGG Pathway,24,ko04650,Natural killer cell mediated cytotoxicity,,-6,7.5,7.5,20504,118,233,10,4.3,1.3,15979|16640|16641|16642|16643|17059|17086|18646|23900|27007,Ifngr1|Klra9|Klrc1|Klrc2|Klrd1|Klrb1c|Ncr1|Prf1|Hcst|Klrk1,-2.8,Geneid
GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-5.7,4.7,6.5,20504,260,233,14,6,1.6,12628|14131|15007|16641|16642|16643|16904|17059|17101|18646|26365|27007|140474|243655,Cfh|Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Lyst|Prf1|Ceacam1|Klrk1|Muc4|Klre1,-2.6,Geneid
GO Biological Processes,19,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.7,16,9.1,20504,34,233,6,2.6,1,16641|16642|16643|17059|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Klrk1|Klre1,-2.5,Geneid
