_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,GiniIndex
1,-2.3,ko05203,Viral carcinogenesis,M1,1,0
1,-5,GO:0002449,lymphocyte mediated immunity,M1,1,0
1,-2,GO:0033028,myeloid cell apoptotic process,M1,1,0
1,-2.9,GO:0001913,T cell mediated cytotoxicity,M1,1,0
1,-3,WP2292,Chemokine signaling pathway,M1,1,0
1,-5.4,GO:0042267,natural killer cell mediated cytotoxicity,M1,1,0
1,-3.2,R-MMU-388396,GPCR downstream signalling,M1,1,0
1,-7.2,GO:0001909,leukocyte mediated cytotoxicity,M1,1,0
1,-3.2,GO:0031342,negative regulation of cell killing,M1,1,0
1,-5.3,GO:0002715,regulation of natural killer cell mediated immunity,M1,1,0
1,-2.2,mmu04062,Chemokine signaling pathway,M1,1,0
1,-3.8,GO:0002858,regulation of natural killer cell mediated cytotoxicity directed against tumor cell target,M1,1,0
1,-3.5,GO:0002837,regulation of immune response to tumor cell,M1,1,0
1,-2.4,GO:1904018,positive regulation of vasculature development,M1,1,0
1,-2.3,ko04062,Chemokine signaling pathway,M1,1,0
1,-2.9,GO:0002697,regulation of immune effector process,M1,1,0
1,-3,mmu05332,Graft-versus-host disease,M1,1,0
1,-2.6,GO:0045765,regulation of angiogenesis,M1,1,0
1,-3.5,GO:0034112,positive regulation of homotypic cell-cell adhesion,M1,1,0
1,-4,GO:0002347,response to tumor cell,M1,1,0
1,-3.5,GO:0001911,negative regulation of leukocyte mediated cytotoxicity,M1,1,0
1,-2.4,GO:0002460,adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains,M1,1,0
1,-2.8,GO:0033033,negative regulation of myeloid cell apoptotic process,M1,1,0
1,-2.9,GO:0002705,positive regulation of leukocyte mediated immunity,M1,1,0
1,-3.2,GO:0002694,regulation of leukocyte activation,M1,1,0
1,-2.2,GO:0050778,positive regulation of immune response,M1,1,0
1,-7,GO:0031349,positive regulation of defense response,M1,1,0
1,-2.3,GO:0097722,sperm motility,M1,1,0
1,-2.4,GO:0019216,regulation of lipid metabolic process,M1,1,0
