Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-8.5,5,8.2,20504,599,136,20,15,3,12772|12774|14130|14131|16641|16642|16643|17059|17228|17916|19376|19883|20304|22165|22259|26365|27007|30955|58992|243655,Ccr2|Ccr5|Fcgr2b|Fcgr3|Klrc1|Klrc2|Klrd1|Klrb1c|Cma1|Myo1f|Rab34|Rora|Ccl5|Txk|Nr1h3|Ceacam1|Klrk1|Pik3cg|F12|Klre1,-5.9
Geneid,GO Biological Processes,19,GO:1990840,response to lectin,19_GO:0050896 response to stimulus,-8.5,75,19,20504,10,136,5,3.7,1.6,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-5.9
Geneid,GO Biological Processes,19,GO:0002223,stimulatory C-type lectin receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8.5,75,19,20504,10,136,5,3.7,1.6,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-5.9
Geneid,GO Biological Processes,19,GO:1990858,cellular response to lectin,19_GO:0050896 response to stimulus,-8.5,75,19,20504,10,136,5,3.7,1.6,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-5.9
Geneid,GO Biological Processes,19,GO:0002220,innate immune response activating cell surface receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-8,63,18,20504,12,136,5,3.7,1.6,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-5.5
Geneid,GO Biological Processes,19,GO:0002758,innate immune response-activating signal transduction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.8,58,17,20504,13,136,5,3.7,1.6,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-5.3
Geneid,GO Biological Processes,19,GO:0001909,leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-7.8,9.9,9.4,20504,168,136,11,8.1,2.3,14131|15007|16641|16642|16643|16904|17059|18646|26365|27007|243655,Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Prf1|Ceacam1|Klrk1|Klre1,-5.3
Geneid,GO Biological Processes,19,GO:0031341,regulation of cell killing,19_GO:0050789 regulation of biological process,-7.5,11,9.5,20504,139,136,10,7.4,2.2,12628|15007|16641|16642|16643|17059|18646|26365|27007|243655,Cfh|H2-Q10|Klrc1|Klrc2|Klrd1|Klrb1c|Prf1|Ceacam1|Klrk1|Klre1,-5.1
Geneid,GO Biological Processes,19,GO:0031349,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-7.5,7.2,8.4,20504,273,136,13,9.6,2.5,12772|12774|14131|16641|16642|16643|17059|19376|20304|22165|27007|30955|243655,Ccr2|Ccr5|Fcgr3|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pik3cg|Klre1,-5
Geneid,GO Biological Processes,19,GO:0042269,regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.1,19,11,20504,56,136,7,5.1,1.9,16641|16642|16643|17059|26365|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-4.7
Geneid,GO Biological Processes,19,GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.1,27,12,20504,34,136,6,4.4,1.8,16641|16642|16643|17059|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Klrk1|Klre1,-4.7
Geneid,GO Biological Processes,19,GO:0002449,lymphocyte mediated immunity,19_GO:0002376 immune system process,-6.9,5,7.3,20504,479,136,16,12,2.8,12557|12628|12772|14130|14131|15007|16641|16642|16643|16904|17059|18646|26365|27007|243655|628398,Cdh17|Cfh|Ccr2|Fcgr2b|Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Prf1|Ceacam1|Klrk1|Klre1|Ighv6-4,-4.6
Geneid,GO Biological Processes,19,GO:0002715,regulation of natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.9,18,11,20504,59,136,7,5.1,1.9,16641|16642|16643|17059|26365|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-4.6
Geneid,GO Biological Processes,19,GO:0002717,positive regulation of natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.9,25,12,20504,36,136,6,4.4,1.8,16641|16642|16643|17059|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Klrk1|Klre1,-4.6
Geneid,GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-6.8,5.3,7.3,20504,427,136,15,11,2.7,12273|12772|12774|14131|16641|16642|16643|17059|19376|20304|22165|27007|30955|70839|243655,C5ar1|Ccr2|Ccr5|Fcgr3|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pik3cg|P2ry12|Klre1,-4.5
Geneid,GO Biological Processes,19,GO:0001906,cell killing,19_GO:0009987 cellular process,-6.8,7,7.9,20504,260,136,12,8.8,2.4,12628|14131|15007|16641|16642|16643|16904|17059|18646|26365|27007|243655,Cfh|Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Prf1|Ceacam1|Klrk1|Klre1,-4.5
Geneid,KEGG Pathway,24,mmu04650,Natural killer cell mediated cytotoxicity,,-6.7,11,8.9,20504,129,136,9,6.6,2.1,15007|16640|16641|16642|16643|17059|18646|23900|27007,H2-Q10|Klra9|Klrc1|Klrc2|Klrd1|Klrb1c|Prf1|Hcst|Klrk1,-4.4
Geneid,GO Biological Processes,19,GO:0002706,regulation of lymphocyte mediated immunity,19_GO:0002376 immune system process,-6.5,7.3,7.8,20504,226,136,11,8.1,2.3,12772|14130|14131|15007|16641|16642|16643|17059|26365|27007|243655,Ccr2|Fcgr2b|Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-4.3
Geneid,GO Biological Processes,19,GO:0031343,positive regulation of cell killing,19_GO:0048518 positive regulation of biological process,-6.5,12,9.1,20504,100,136,8,5.9,2,15007|16641|16642|16643|17059|18646|27007|243655,H2-Q10|Klrc1|Klrc2|Klrd1|Klrb1c|Prf1|Klrk1|Klre1,-4.3
Geneid,GO Biological Processes,19,GO:0002443,leukocyte mediated immunity,19_GO:0002376 immune system process,-6.3,4.3,6.7,20504,598,136,17,12,2.8,12557|12628|12772|14130|14131|15007|16641|16642|16643|16904|17059|17916|18646|26365|27007|243655|628398,Cdh17|Cfh|Ccr2|Fcgr2b|Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Myo1f|Prf1|Ceacam1|Klrk1|Klre1|Ighv6-4,-4.1
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.2,4.8,6.8,20504,472,136,15,11,2.7,11735|12550|12571|12772|12774|14538|16480|16852|20304|20739|26365|70839|110351|320832|330662,Ank3|Cdh1|Cdk6|Ccr2|Ccr5|Gcnt2|Jup|Lgals1|Ccl5|Spta1|Ceacam1|P2ry12|Rap1gap|Sirpb1a|Dock1,-4.1
Geneid,Reactome Gene Sets,6,R-MMU-388396,GPCR downstream signalling,,-6.1,4.4,6.6,20504,549,136,16,12,2.8,12273|12771|12774|14064|14163|20304|20305|20308|30955|70839|71729|80901|94226|108072|319229|545156,C5ar1|Ccr3|Ccr5|F2rl2|Fgd1|Ccl5|Ccl6|Ccl9|Pik3cg|P2ry12|Rgs12|Cxcr6|S1pr5|Grm6|Sctr|Kalrn,-4
Geneid,GO Biological Processes,19,GO:0034109,homotypic cell-cell adhesion,19_GO:0022610 biological adhesion,-6,13,9,20504,79,136,7,5.1,1.9,11735|12628|16480|16852|20304|26365|70839,Ank3|Cfh|Jup|Lgals1|Ccl5|Ceacam1|P2ry12,-3.9
Geneid,GO Biological Processes,19,GO:0042267,natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6,13,8.9,20504,81,136,7,5.1,1.9,16641|16642|16643|17059|26365|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-3.8
Geneid,KEGG Pathway,24,ko04650,Natural killer cell mediated cytotoxicity,,-5.9,10,8.2,20504,118,136,8,5.9,2,16640|16641|16642|16643|17059|18646|23900|27007,Klra9|Klrc1|Klrc2|Klrd1|Klrb1c|Prf1|Hcst|Klrk1,-3.8
Geneid,GO Biological Processes,19,GO:0002673,regulation of acute inflammatory response,19_GO:0050896 response to stimulus,-5.9,17,9.6,20504,53,136,6,4.4,1.8,12774|14130|14131|20304|30955|58992,Ccr5|Fcgr2b|Fcgr3|Ccl5|Pik3cg|F12,-3.8
Geneid,GO Biological Processes,19,GO:0001910,regulation of leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-5.9,10,8.1,20504,120,136,8,5.9,2,15007|16641|16642|16643|17059|26365|27007|243655,H2-Q10|Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-3.8
Geneid,GO Biological Processes,19,GO:0002228,natural killer cell mediated immunity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-5.8,13,8.7,20504,84,136,7,5.1,1.9,16641|16642|16643|17059|26365|27007|243655,Klrc1|Klrc2|Klrd1|Klrb1c|Ceacam1|Klrk1|Klre1,-3.8
Geneid,Reactome Gene Sets,6,R-MMU-372790,Signaling by GPCR,,-5.8,4.2,6.3,20504,578,136,16,12,2.8,12273|12771|12774|14064|14163|20304|20305|20308|30955|70839|71729|80901|94226|108072|319229|545156,C5ar1|Ccr3|Ccr5|F2rl2|Fgd1|Ccl5|Ccl6|Ccl9|Pik3cg|P2ry12|Rgs12|Cxcr6|S1pr5|Grm6|Sctr|Kalrn,-3.8
