Cluster,Score,Type,Gene,Symbol,Network
2,5.0,Clustered,20308,Ccl9,Geneid_SUB1
2,5.0,Clustered,94226,S1pr5,Geneid_SUB1
2,5.0,Clustered,12774,Ccr5,Geneid_SUB1
2,5.0,Clustered,12771,Ccr3,Geneid_SUB1
2,5.0,Clustered,12273,C5ar1,Geneid_SUB1
2,5.0,Clustered,80901,Cxcr6,Geneid_SUB1
2,5.0,Clustered,20305,Ccl6,Geneid_SUB1
2,5.0,Clustered,12772,Ccr2,Geneid_SUB1
2,5.0,Clustered,70839,P2ry12,Geneid_SUB1
2,5.0,Clustered,20304,Ccl5,Geneid_SUB1
2,5.0,Seed,108072,Grm6,Geneid_SUB1
1,1.7692307692307692,Clustered,70784,Rasl12,Geneid_SUB1
1,1.7692307692307692,Clustered,16643,Klrd1,Geneid_SUB1
1,1.7692307692307692,Clustered,27007,Klrk1,Geneid_SUB1
1,1.7692307692307692,Clustered,73296,Rhobtb3,Geneid_SUB1
1,1.7692307692307692,Clustered,30955,Pik3cg,Geneid_SUB1
1,1.7692307692307692,Clustered,72685,Dnajc6,Geneid_SUB1
1,1.7692307692307692,Clustered,242894,Actr3b,Geneid_SUB1
1,1.7692307692307692,Clustered,17916,Myo1f,Geneid_SUB1
1,1.7692307692307692,Clustered,545156,Kalrn,Geneid_SUB1
1,1.7692307692307692,Clustered,78767,Efcab11,Geneid_SUB1
1,1.7692307692307692,Clustered,16642,Klrc2,Geneid_SUB1
1,1.7692307692307692,Clustered,404710,Iqgap3,Geneid_SUB1
1,1.7692307692307692,Clustered,16641,Klrc1,Geneid_SUB1
3,1.5,Clustered,14131,Fcgr3,Geneid_SUB1
3,1.5,Seed,14130,Fcgr2b,Geneid_SUB1
3,1.5,Clustered,15007,H2-Q10,Geneid_SUB1
3,1.5,Clustered,320832,Sirpb1a,Geneid_SUB1
4,1.5,Seed,329152,Hecw2,Geneid_SUB1
4,1.5,Clustered,380928,Lmo7,Geneid_SUB1
4,1.5,Clustered,69706,Lrr1,Geneid_SUB1
4,1.5,Clustered,80751,Rnf34,Geneid_SUB1
5,1.0,Seed,213402,Armc2,Geneid_SUB1
5,1.0,Clustered,239096,Cdh24,Geneid_SUB1
5,1.0,Clustered,12557,Cdh17,Geneid_SUB1
