Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
20304,3.0,1,1,1
15007,3.0,1,1,1
71870,3.0,1,1,1
243655,3.0,1,1,1
22259,3.0,1,1,1
110351,3.0,1,1,1
16852,3.0,1,1,1
320832,3.0,1,1,1
12628,3.0,1,1,1
14131,3.0,1,1,1
58992,3.0,1,1,1
20305,3.0,1,1,1
17057,3.0,1,1,1
16640,3.0,1,1,1
16643,3.0,1,1,1
70839,3.0,1,1,1
27007,3.0,1,1,1
239096,3.0,1,1,1
80901,3.0,1,1,1
271639,3.0,1,1,1
20112,3.0,1,1,1
213402,3.0,1,1,1
17059,3.0,1,1,1
16904,3.0,1,1,1
26365,3.0,1,1,1
14130,3.0,1,1,1
50525,3.0,1,1,1
211535,3.0,1,1,1
30955,3.0,1,1,1
12557,3.0,1,1,1
11735,3.0,1,1,1
110082,3.0,1,1,1
19883,3.0,1,1,1
16642,3.0,1,1,1
12772,3.0,1,1,1
12774,3.0,1,1,1
12273,3.0,1,1,1
20308,3.0,1,1,1
18646,3.0,1,1,1
12550,3.0,1,1,1
23900,3.0,1,1,1
16480,3.0,1,1,1
78801,3.0,1,1,1
15959,3.0,1,1,1
12771,3.0,1,1,1
16641,3.0,1,1,1
17228,3.0,1,1,1
77318,2.0,1,0,1
72349,2.0,1,0,1
80906,2.0,1,0,1
276905,2.0,1,0,1
72293,2.0,1,1,0
100048658,2.0,1,0,1
108072,2.0,1,0,1
13819,2.0,1,0,1
216188,2.0,1,0,1
18587,2.0,1,0,1
19376,2.0,1,0,1
27226,2.0,1,1,0
238896,2.0,1,0,1
667373,2.0,1,0,1
67484,2.0,1,0,1
381693,2.0,1,0,1
70784,2.0,1,0,1
320878,2.0,1,0,1
22630,2.0,1,0,1
234353,2.0,1,0,1
268465,2.0,1,0,1
102866,2.0,1,0,1
239081,2.0,1,0,1
434437,2.0,1,0,1
545156,2.0,1,0,1
30943,2.0,1,0,1
20739,2.0,1,0,1
109700,2.0,1,0,1
15951,2.0,1,1,0
14945,2.0,1,0,1
105988,2.0,1,0,1
12945,2.0,1,0,1
14064,2.0,1,0,1
231214,2.0,1,1,0
22092,2.0,1,1,0
26448,2.0,1,0,1
14538,2.0,1,0,1
69706,2.0,1,0,1
330662,2.0,1,0,1
73804,2.0,1,0,1
667370,2.0,1,0,1
54670,2.0,1,0,1
17101,2.0,1,1,0
11864,2.0,1,0,1
76905,2.0,1,0,1
72685,2.0,1,0,1
17916,2.0,1,0,1
13113,2.0,1,0,1
71233,2.0,1,0,1
14163,2.0,1,0,1
54613,2.0,1,0,1
74435,2.0,1,0,1
246746,2.0,1,1,0
105193,2.0,1,0,1
74616,2.0,1,0,1
56504,2.0,1,0,1
108075,2.0,1,0,1
320609,2.0,1,0,1
12571,2.0,1,0,1
14766,2.0,1,1,0
628398,2.0,1,0,1
50928,2.0,1,0,1
319156,2.0,1,0,1
279029,2.0,1,0,1
22094,2.0,1,0,1
380928,2.0,1,0,1
219132,2.0,1,0,1
110095,2.0,1,0,1
404710,2.0,1,0,1
140474,2.0,1,1,0
20200,2.0,1,0,1
22165,2.0,1,0,1
27047,2.0,1,0,1
71769,2.0,1,0,1
13074,2.0,1,0,1
27059,2.0,1,0,1
329152,2.0,1,0,1
54672,2.0,1,0,1
94226,2.0,1,0,1
14245,2.0,1,1,0
93843,2.0,1,0,1
12579,2.0,1,0,1
242894,2.0,1,0,1
75062,2.0,1,0,1
231470,2.0,1,0,1
67341,2.0,1,0,1
215095,2.0,1,1,0
78767,2.0,1,0,1
15902,2.0,1,0,1
192120,2.0,1,0,1
80751,2.0,1,0,1
242341,2.0,1,0,1
66442,2.0,1,0,1
108956,2.0,1,0,1
76650,2.0,1,0,1
436090,2.0,1,0,1
23963,2.0,1,0,1
73296,2.0,1,0,1
68054,2.0,1,1,0
66141,2.0,1,1,0
76072,2.0,1,0,1
66729,2.0,1,0,1
71729,2.0,1,0,1
