,gene,Geneid,genename,dfin_change,dfin_log2FC,dfin_padj,dfin_Change Metric
1,1,ENSMUSG00000032841,Prr5l,Up,22.4718388992328,4.02877854763888e-47,1042.57706920493
2,2,ENSMUSG00000032377,Plscr4,Up,23.1597365883242,9.14519404780742e-38,857.809015402485
3,3,ENSMUSG00000108090,ENSMUSG00000108090,Up,20.8640810408325,1.48510388788667e-31,643.202963740237
4,4,ENSMUSG00000003555,Cyp17a1,Up,23.2977344796867,3.99688961567527e-27,615.020067970736
5,5,ENSMUSG00000034035,Ccdc17,Up,22.033447157288,2.00866443923876e-28,610.262426410375
6,6,ENSMUSG00000102051,Ly6a2,Up,23.3056261924775,7.18252789884208e-23,516.073323253093
7,7,ENSMUSG00000109713,Pvrig,Up,21.8283171963606,3.10328791674969e-24,513.143964555502
8,8,ENSMUSG00000022015,Tnfsf11,Up,20.8287094446995,3.17735507371718e-25,510.260354477489
9,9,ENSMUSG00000028392,Bspry,Up,21.9564005117563,2.65500552974177e-22,473.729860835467
10,10,ENSMUSG00000113669,ENSMUSG00000113669,Up,20.3925353275482,5.97353009987603e-24,473.591528621374
11,11,ENSMUSG00000039208,Metrnl,Up,22.3366782110307,1.70616742116016e-20,441.550971399263
12,12,ENSMUSG00000022425,Enpp2,Up,20.349098214993,2.43275994633029e-22,439.823389031596
13,13,ENSMUSG00000110647,ENSMUSG00000110647,Up,19.9977651888692,1.34616158376757e-22,437.369178809533
14,14,ENSMUSG00000033910,Gucy1a1,Up,20.1531680855238,1.27778312527888e-21,421.071080989719
15,15,ENSMUSG00000026796,Niban2,Up,21.2325739600965,3.94703607918018e-20,411.991109051063
16,16,ENSMUSG00000043153,Crppa,Up,22.2226975398556,3.04294574979574e-19,411.491152211349
17,17,ENSMUSG00000038963,Slco4a1,Up,21.0819129855786,2.81260797801962e-19,391.088265559638
18,18,ENSMUSG00000105646,ENSMUSG00000105646,Up,20.6935546001653,3.77865405665582e-18,360.536825314239
19,19,ENSMUSG00000043953,Ccrl2,Up,22.2905251380884,1.29300912250232e-16,354.160744185535
20,20,ENSMUSG00000111611,Olfr157,Up,20.2038689657513,3.0378476046368e-18,353.919941486731
21,21,ENSMUSG00000010047,Hyal2,Up,20.4064011794386,5.29214515542258e-18,352.548501479942
