Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-14,3.3,9.7,20504,739,450,54,12,1.5,12362|12363|12505|12628|12766|12771|12772|12774|13011|13024|13051|13058|14056|14062|14130|14462|15368|15587|15978|16016|16173|16174|16182|16183|16412|16414|16963|17228|17948|17951|18129|19883|20303|20304|21898|21938|21943|21946|22038|22164|22174|22259|27226|30955|54199|70747|80901|83490|100340|210029|225192|268973|270151|329731,Casp1|Casp4|Cd44|Cfh|Cxcr3|Ccr3|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Cybb|Ezh2|F2r|Fcgr2b|Gata3|Hmox1|Hyal2|Ifng|Ighg2b|Il18|Il18rap|Il18r1|Il2|Itgb1|Itgb2|Xcl1|Cma1|Naip2|Naip5|Notch2|Rora|Ccl4|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Nr1h3|Pla2g7|Pik3cg|Ccrl2|Tspan2|Cxcr6|Pik3ap1|Smpdl3b|Metrnl|Hrh4|Nlrc4|Nlrx1|Tafa3,-10,Geneid
GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-14,3.3,9.6,20504,770,450,55,12,1.5,12142|12483|12494|12505|12519|12772|13011|13024|14130|14204|14462|15368|15902|15978|16016|16173|16183|16408|16414|16641|16642|16768|16852|16854|16963|18806|19122|19271|19883|20304|21898|21938|21943|21946|21950|22038|22164|22174|22259|22724|22780|27007|50930|56193|57765|72049|75345|110786|238447|240754|246746|320832|329731|380795|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Cst7|Ctla2a|Fcgr2b|Il4i1|Gata3|Hmox1|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Pld2|Prnp|Ptprj|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfsf4|Tyro3|Nr1h3|Zbtb7b|Ikzf3|Klrk1|Tnfsf14|Plek|Tbx21|Tnfrsf13c|Slamf7|Iglc2|Igha|Lax1|Cd300lf|Sirpb1a|Tafa3|Ighg3|Ighv6-4,-10,Geneid
GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-14,3.3,9.6,20504,725,450,53,12,1.5,12142|12483|12494|12505|12519|12772|13011|13024|14130|14204|14462|15368|15902|15978|16016|16173|16183|16408|16414|16641|16642|16768|16852|16854|16963|18806|19122|19883|20304|21898|21938|21943|21946|21950|22038|22164|22174|22259|22724|22780|27007|50930|57765|72049|75345|110786|238447|240754|246746|320832|329731|380795|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Cst7|Ctla2a|Fcgr2b|Il4i1|Gata3|Hmox1|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Pld2|Prnp|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfsf4|Tyro3|Nr1h3|Zbtb7b|Ikzf3|Klrk1|Tnfsf14|Tbx21|Tnfrsf13c|Slamf7|Iglc2|Igha|Lax1|Cd300lf|Sirpb1a|Tafa3|Ighg3|Ighv6-4,-10,Geneid
GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-11,3,8.3,20504,772,450,50,11,1.5,11735|12505|12519|12571|12766|12772|12774|13508|13837|14204|14462|15978|16173|16183|16401|16408|16412|16414|16728|16768|16852|16854|16963|17916|17931|18186|18606|18806|19122|19271|20194|20304|20908|21943|21950|22164|22724|50918|50930|56013|57765|58859|68169|68813|70546|70839|72049|107321|240754|320832,Ank3|Cd44|Cd80|Cdk6|Cxcr3|Ccr2|Ccr5|Dscam|Epha3|Il4i1|Gata3|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lag3|Lgals1|Lgals3|Xcl1|Myo1f|Ppp1r12a|Nrp1|Enpp2|Pld2|Prnp|Ptprj|S100a10|Ccl5|Stx3|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Myadm|Tnfsf14|Srcin1|Tbx21|Efemp2|Ndnf|Dock5|Zdhhc2|P2ry12|Tnfrsf13c|Lpxn|Lax1|Sirpb1a,-7.4,Geneid
GO Biological Processes,19,GO:0031347,regulation of defense response,19_GO:0050896 response to stimulus,-11,3.3,8.4,20504,599,450,43,9.6,1.4,12362|12363|12505|12772|12774|13011|13024|13051|14130|14462|15587|15951|15978|16016|16174|16183|16641|16642|16768|16963|17059|17228|17916|19883|20304|21898|21938|21943|21946|22038|22164|22174|22259|27007|30955|83490|100340|108086|210029|268973|270151|329731|381308,Casp1|Casp4|Cd44|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Fcgr2b|Gata3|Hyal2|Ifi204|Ifng|Ighg2b|Il18rap|Il2|Klrc1|Klrc2|Lag3|Xcl1|Klrb1c|Cma1|Myo1f|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Plscr1|Tnfsf4|Tyro3|Nr1h3|Klrk1|Pik3cg|Pik3ap1|Smpdl3b|Rnf216|Metrnl|Nlrc4|Nlrx1|Tafa3|Ifi211,-7.4,Geneid
GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-11,3.2,8.3,20504,611,450,43,9.6,1.4,12142|12483|12494|12505|12519|12772|13024|14130|14204|14462|15902|15978|16016|16173|16183|16408|16641|16642|16768|16852|16854|16963|19122|20304|21898|21938|21943|21946|21950|22164|22174|22724|22780|50930|57765|72049|75345|110786|238447|240754|320832|380795|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Ctla2a|Fcgr2b|Il4i1|Gata3|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Tnfsf4|Tyro3|Zbtb7b|Ikzf3|Tnfsf14|Tbx21|Tnfrsf13c|Slamf7|Iglc2|Igha|Lax1|Sirpb1a|Ighg3|Ighv6-4,-7.2,Geneid
GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-11,3.6,8.5,20504,472,450,37,8.2,1.3,11735|12505|12519|12571|12772|12774|14204|14462|15978|16173|16183|16401|16408|16412|16414|16728|16852|16963|18186|18606|18806|19271|20194|20304|20908|21943|21950|22164|22724|50918|50930|58859|68169|68813|70839|72049|320832,Ank3|Cd44|Cd80|Cdk6|Ccr2|Ccr5|Il4i1|Gata3|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lgals1|Xcl1|Nrp1|Enpp2|Pld2|Ptprj|S100a10|Ccl5|Stx3|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Myadm|Tnfsf14|Efemp2|Ndnf|Dock5|P2ry12|Tnfrsf13c|Sirpb1a,-7.2,Geneid
GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-11,4.1,8.7,20504,342,450,31,6.9,1.2,12362|12363|12505|12772|12774|13011|13024|13051|14130|14462|15587|15978|16016|16183|16963|17228|19883|20304|21898|21938|21943|21946|22164|22174|22259|30955|83490|100340|210029|270151|329731,Casp1|Casp4|Cd44|Ccr2|Ccr5|Cst7|Ctla2a|Cx3cr1|Fcgr2b|Gata3|Hyal2|Ifng|Ighg2b|Il2|Xcl1|Cma1|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf4|Tyro3|Nr1h3|Pik3cg|Pik3ap1|Smpdl3b|Metrnl|Nlrx1|Tafa3,-7.2,Geneid
GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-10,3.3,8.2,20504,550,450,40,8.9,1.3,12047|12142|12393|12505|12506|12519|12571|12772|13024|14204|14360|14462|15978|16173|16182|16183|16408|16411|16414|16768|16852|16854|16963|19122|19883|20304|20351|21938|21943|21950|22164|22724|50930|57765|72049|74732|75345|240754|320832|545030,Bcl2a1d|Prdm1|Runx2|Cd44|Cd48|Cd80|Cdk6|Ccr2|Ctla2a|Il4i1|Fyn|Gata3|Ifng|Il18|Il18r1|Il2|Itgal|Itgax|Itgb2|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Rora|Ccl5|Sema4a|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Tnfsf14|Tbx21|Tnfrsf13c|Stx11|Slamf7|Lax1|Sirpb1a|Wdfy4,-7.1,Geneid
GO Biological Processes,19,GO:0002683,negative regulation of immune system process,19_GO:0002376 immune system process,-10,3.6,8.3,20504,460,450,36,8,1.3,12142|12483|12505|12519|12571|12772|13011|13051|14130|14204|15368|15902|15951|15978|16183|16768|16854|18566|19122|19271|21946|22164|22174|22259|22724|57765|66058|100340|107321|170741|240754|246746|270151|329731|435653|102640920,Prdm1|Cd22|Cd44|Cd80|Cdk6|Ccr2|Cst7|Cx3cr1|Fcgr2b|Il4i1|Hmox1|Id2|Ifi204|Ifng|Il2|Lag3|Lgals3|Pdcd1|Prnp|Ptprj|Pglyrp1|Tnfsf4|Tyro3|Nr1h3|Zbtb7b|Tbx21|Tmem176a|Smpdl3b|Lpxn|Pilrb1|Lax1|Cd300lf|Nlrx1|Tafa3|Fcrlb|Pvrig,-7,Geneid
GO Biological Processes,19,GO:0002274,myeloid leukocyte activation,19_GO:0002376 immune system process,-9.7,4.5,8.5,20504,264,450,26,5.8,1.1,12362|12506|12772|13011|13051|14130|15368|15587|15978|16173|16174|16414|17916|18129|18806|19883|20304|21898|21950|22038|22259|27007|74732|170741|246746|329731,Casp1|Cd48|Ccr2|Cst7|Cx3cr1|Fcgr2b|Hmox1|Hyal2|Ifng|Il18|Il18rap|Itgb2|Myo1f|Notch2|Pld2|Rora|Ccl5|Tlr4|Tnfsf9|Plscr1|Nr1h3|Klrk1|Stx11|Pilrb1|Cd300lf|Tafa3,-6.5,Geneid
GO Biological Processes,19,GO:0007159,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-9.6,3.8,8.1,20504,373,450,31,6.9,1.2,12505|12519|12628|12772|13051|14204|14462|14537|15978|16173|16183|16401|16408|16412|16414|16728|16768|16852|16854|16963|19122|20304|21943|21950|22164|22724|50930|57765|72049|240754|320832,Cd44|Cd80|Cfh|Ccr2|Cx3cr1|Il4i1|Gata3|Gcnt1|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Tnfsf14|Tbx21|Tnfrsf13c|Lax1|Sirpb1a,-6.4,Geneid
GO Biological Processes,19,GO:0002695,negative regulation of leukocyte activation,19_GO:0002376 immune system process,-9.2,5,8.5,20504,200,450,22,4.9,1,12142|12505|12519|12772|13011|14130|14204|15368|15902|16183|16768|16854|19122|21946|22164|22174|22259|22724|57765|240754|246746|329731,Prdm1|Cd44|Cd80|Ccr2|Cst7|Fcgr2b|Il4i1|Hmox1|Id2|Il2|Lag3|Lgals3|Prnp|Pglyrp1|Tnfsf4|Tyro3|Nr1h3|Zbtb7b|Tbx21|Lax1|Cd300lf|Tafa3,-6.1,Geneid
KEGG Pathway,24,ko04060,Cytokine-cytokine receptor interaction,,-9.1,4.4,8.2,20504,261,450,25,5.6,1.1,12766|12771|12772|12774|13051|14103|15978|16154|16164|16173|16174|16182|16183|16185|16963|20303|20304|21938|21943|21950|22164|23832|50930|72049|80901,Cxcr3|Ccr3|Ccr2|Ccr5|Cx3cr1|Fasl|Ifng|Il10ra|Il13ra1|Il18|Il18rap|Il18r1|Il2|Il2rb|Xcl1|Ccl4|Ccl5|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfsf4|Xcr1|Tnfsf14|Tnfrsf13c|Cxcr6,-6,Geneid
KEGG Pathway,24,mmu04060,Cytokine-cytokine receptor interaction,,-8.9,4.3,8.1,20504,266,450,25,5.6,1.1,12766|12771|12772|12774|13051|14103|15978|16154|16164|16173|16174|16182|16183|16185|16963|20303|20304|21938|21943|21950|22164|23832|50930|72049|80901,Cxcr3|Ccr3|Ccr2|Ccr5|Cx3cr1|Fasl|Ifng|Il10ra|Il13ra1|Il18|Il18rap|Il18r1|Il2|Il2rb|Xcl1|Ccl4|Ccl5|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfsf4|Xcr1|Tnfsf14|Tnfrsf13c|Cxcr6,-5.8,Geneid
GO Biological Processes,19,GO:0032103,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-8.8,3.4,7.6,20504,427,450,32,7.1,1.2,12766|12772|12774|13051|13143|13508|15587|15951|15978|16016|16174|16641|16642|16768|16963|17059|18186|19271|20304|20908|21898|21943|22038|22164|27007|27226|30955|50930|70839|268973|329731|381308,Cxcr3|Ccr2|Ccr5|Cx3cr1|Dapk2|Dscam|Hyal2|Ifi204|Ifng|Ighg2b|Il18rap|Klrc1|Klrc2|Lag3|Xcl1|Klrb1c|Nrp1|Ptprj|Ccl5|Stx3|Tlr4|Tnfsf11|Plscr1|Tnfsf4|Klrk1|Pla2g7|Pik3cg|Tnfsf14|P2ry12|Nlrc4|Tafa3|Ifi211,-5.7,Geneid
GO Biological Processes,19,GO:0040017,positive regulation of locomotion,19_GO:0040011 locomotion,-8.5,2.9,7.1,20504,615,450,39,8.7,1.3,11853|12766|12772|13051|13143|13508|14062|14462|15185|15368|15978|16173|16401|16411|16412|16854|16963|17916|18186|18606|18806|19271|20195|20304|20351|20908|21898|22164|24064|27226|30955|50490|50918|50930|68813|70568|70839|212307|231637,Rhoc|Cxcr3|Ccr2|Cx3cr1|Dapk2|Dscam|F2r|Gata3|Hdac6|Hmox1|Ifng|Il18|Itga4|Itgax|Itgb1|Lgals3|Xcl1|Myo1f|Nrp1|Enpp2|Pld2|Ptprj|S100a11|Ccl5|Sema4a|Stx3|Tlr4|Tnfsf4|Spry2|Pla2g7|Pik3cg|Nox4|Myadm|Tnfsf14|Dock5|Cpne3|P2ry12|Mapre2|Ssh1,-5.4,Geneid
GO Biological Processes,19,GO:0050867,positive regulation of cell activation,19_GO:0048518 positive regulation of biological process,-8.4,3.1,7.2,20504,515,450,35,7.8,1.3,12142|12494|12519|12772|14204|14462|15978|16016|16173|16183|16408|16414|16641|16642|16852|16963|18806|19271|20304|21898|21943|21950|22164|22724|27007|50930|56193|57765|72049|110786|238447|320832|329731|380795|628398,Prdm1|Cd38|Cd80|Ccr2|Il4i1|Gata3|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lgals1|Xcl1|Pld2|Ptprj|Ccl5|Tlr4|Tnfsf11|Tnfsf9|Tnfsf4|Zbtb7b|Klrk1|Tnfsf14|Plek|Tbx21|Tnfrsf13c|Iglc2|Igha|Sirpb1a|Tafa3|Ighg3|Ighv6-4,-5.4,Geneid
