_MEMBER_Geneid,_LogP_Geneid,GO,Description,_PATTERN_,_RANK_,CHILD_GO_Geneid
1,-14.084502768712643,GO:0050896,response to stimulus,M1,1,GO:0006954 inflammatory response
1,-13.928583499965562,GO:0050789,regulation of biological process,M1,1,GO:0050865 regulation of cell activation
1,-13.833329383823067,GO:0002376,immune system process,M1,1,GO:0002694 regulation of leukocyte activation
1,-11.096865394113351,GO:0022610,biological adhesion,M1,1,GO:0030155 regulation of cell adhesion
1,-8.767498080747162,GO:0048518,positive regulation of biological process,M1,1,GO:0032103 positive regulation of response to external stimulus
1,-8.47851380296229,GO:0040011,locomotion,M1,1,GO:0040017 positive regulation of locomotion
1,-8.327620882791342,GO:0048519,negative regulation of biological process,M1,1,GO:0050866 negative regulation of cell activation
1,-8.024492150471847,GO:0032501,multicellular organismal process,M1,1,GO:0001817 regulation of cytokine production
1,-7.6472851526492365,GO:0023052,signaling,M1,1,GO:0019932 second-messenger-mediated signaling
1,-7.532655997343719,GO:0009987,cellular process,M1,1,GO:0032943 mononuclear cell proliferation
1,-7.0044369639639195,GO:0051179,localization,M1,1,GO:0051272 positive regulation of cellular component movement
1,-6.349998044330826,GO:0065007,biological regulation,M1,1,GO:0072507 divalent inorganic cation homeostasis
1,-5.432877591268091,GO:0032502,developmental process,M1,1,GO:0045765 regulation of angiogenesis
1,-4.982880580867928,GO:0008152,metabolic process,M1,1,GO:0018108 peptidyl-tyrosine phosphorylation
1,-4.587446752440445,GO:0044419,biological process involved in interspecies interaction between organisms,M1,1,GO:0045088 regulation of innate immune response
1,-3.878519396348062,GO:0040007,growth,M1,1,GO:0048588 developmental cell growth
1,-2.364775187085327,GO:0016032,viral process,M1,1,GO:0016032 viral process
1,-2.1347393802142727,GO:0048511,rhythmic process,M1,1,GO:0042752 regulation of circadian rhythm
