Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
Geneid,GO Biological Processes,19,GO:0006954,inflammatory response,19_GO:0050896 response to stimulus,-18,4.6,12,20504,739,288,48,17,2.2,12362|12363|12505|12628|12766|12771|12772|12774|13011|13051|13058|14056|14062|14130|14462|15368|15587|15978|16016|16173|16174|16182|16183|16412|16414|16963|17228|17948|17951|18129|19883|20303|20304|21898|21938|21943|21946|22174|22259|27226|30955|54199|70747|80901|83490|100340|225192|268973,Casp1|Casp4|Cd44|Cfh|Cxcr3|Ccr3|Ccr2|Ccr5|Cst7|Cx3cr1|Cybb|Ezh2|F2r|Fcgr2b|Gata3|Hmox1|Hyal2|Ifng|Ighg2b|Il18|Il18rap|Il18r1|Il2|Itgb1|Itgb2|Xcl1|Cma1|Naip2|Naip5|Notch2|Rora|Ccl4|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nr1h3|Pla2g7|Pik3cg|Ccrl2|Tspan2|Cxcr6|Pik3ap1|Smpdl3b|Hrh4|Nlrc4,-14
Geneid,GO Biological Processes,19,GO:0050865,regulation of cell activation,19_GO:0050789 regulation of biological process,-15,4.2,11,20504,770,288,45,16,2.1,12142|12483|12494|12505|12519|12772|13011|14130|14204|14462|15368|15902|15978|16016|16173|16183|16408|16414|16641|16642|16852|16854|16963|18806|19122|19271|19883|20304|21898|21938|21943|21946|22174|22259|22724|22780|27007|50930|56193|57765|72049|110786|246746|320832|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Cst7|Fcgr2b|Il4i1|Gata3|Hmox1|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lgals1|Lgals3|Xcl1|Pld2|Prnp|Ptprj|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nr1h3|Zbtb7b|Ikzf3|Klrk1|Tnfsf14|Plek|Tbx21|Tnfrsf13c|Iglc2|Cd300lf|Sirpb1a|Ighv6-4,-12
Geneid,GO Biological Processes,19,GO:0002694,regulation of leukocyte activation,19_GO:0002376 immune system process,-15,4.2,11,20504,725,288,43,15,2.1,12142|12483|12494|12505|12519|12772|13011|14130|14204|14462|15368|15902|15978|16016|16173|16183|16408|16414|16641|16642|16852|16854|16963|18806|19122|19883|20304|21898|21938|21943|21946|22174|22259|22724|22780|27007|50930|57765|72049|110786|246746|320832|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Cst7|Fcgr2b|Il4i1|Gata3|Hmox1|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Itgb2|Klrc1|Klrc2|Lgals1|Lgals3|Xcl1|Pld2|Prnp|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nr1h3|Zbtb7b|Ikzf3|Klrk1|Tnfsf14|Tbx21|Tnfrsf13c|Iglc2|Cd300lf|Sirpb1a|Ighv6-4,-12
Geneid,GO Biological Processes,19,GO:0045785,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-13,5,10,20504,472,288,33,11,1.9,11735|12505|12519|12571|12772|12774|14204|14462|15978|16173|16183|16401|16408|16412|16414|16728|16852|16963|18186|18606|18806|19271|20194|20304|20908|21943|22724|50930|58859|68813|70839|72049|320832,Ank3|Cd44|Cd80|Cdk6|Ccr2|Ccr5|Il4i1|Gata3|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lgals1|Xcl1|Nrp1|Enpp2|Pld2|Ptprj|S100a10|Ccl5|Stx3|Tnfsf11|Zbtb7b|Tnfsf14|Efemp2|Dock5|P2ry12|Tnfrsf13c|Sirpb1a,-10
Geneid,GO Biological Processes,19,GO:0030155,regulation of cell adhesion,19_GO:0022610 biological adhesion,-13,3.9,9.7,20504,772,288,42,15,2.1,11735|12505|12519|12571|12766|12772|12774|13837|14204|14462|15978|16173|16183|16401|16408|16412|16414|16728|16852|16854|16963|17916|17931|18186|18606|18806|19122|19271|20194|20304|20908|21943|22724|50930|56013|57765|58859|68813|70839|72049|107321|320832,Ank3|Cd44|Cd80|Cdk6|Cxcr3|Ccr2|Ccr5|Epha3|Il4i1|Gata3|Ifng|Il18|Il2|Itga4|Itgal|Itgb1|Itgb2|L1cam|Lgals1|Lgals3|Xcl1|Myo1f|Ppp1r12a|Nrp1|Enpp2|Pld2|Prnp|Ptprj|S100a10|Ccl5|Stx3|Tnfsf11|Zbtb7b|Tnfsf14|Srcin1|Tbx21|Efemp2|Dock5|P2ry12|Tnfrsf13c|Lpxn|Sirpb1a,-10
Geneid,GO Biological Processes,19,GO:0051249,regulation of lymphocyte activation,19_GO:0002376 immune system process,-12,4.1,9.2,20504,611,288,35,12,1.9,12142|12483|12494|12505|12519|12772|14130|14204|14462|15902|15978|16016|16173|16183|16408|16641|16642|16852|16854|16963|19122|20304|21898|21938|21943|21946|22174|22724|22780|50930|57765|72049|110786|320832|628398,Prdm1|Cd22|Cd38|Cd44|Cd80|Ccr2|Fcgr2b|Il4i1|Gata3|Id2|Ifng|Ighg2b|Il18|Il2|Itgal|Klrc1|Klrc2|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Zbtb7b|Ikzf3|Tnfsf14|Tbx21|Tnfrsf13c|Iglc2|Sirpb1a|Ighv6-4,-9
Geneid,GO Biological Processes,19,GO:0042110,T cell activation,19_GO:0002376 immune system process,-12,4.3,9.3,20504,550,288,33,11,1.9,12047|12142|12393|12505|12506|12519|12571|12772|14204|14360|14462|15978|16173|16182|16183|16408|16411|16414|16852|16854|16963|19122|19883|20304|21938|21943|22724|50930|57765|72049|74732|320832|545030,Bcl2a1d|Prdm1|Runx2|Cd44|Cd48|Cd80|Cdk6|Ccr2|Il4i1|Fyn|Gata3|Ifng|Il18|Il18r1|Il2|Itgal|Itgax|Itgb2|Lgals1|Lgals3|Xcl1|Prnp|Rora|Ccl5|Tnfrsf1b|Tnfsf11|Zbtb7b|Tnfsf14|Tbx21|Tnfrsf13c|Stx11|Sirpb1a|Wdfy4,-8.9
Geneid,GO Biological Processes,19,GO:0002697,regulation of immune effector process,19_GO:0002376 immune system process,-12,4.8,9.6,20504,426,288,29,10,1.8,12483|12628|12772|13051|14130|14204|14462|15007|15368|15978|16016|16173|16174|16182|16183|16414|16641|16642|16854|16963|17059|18806|19271|21898|21938|21946|22724|27007|57765,Cd22|Cfh|Ccr2|Cx3cr1|Fcgr2b|Il4i1|Gata3|H2-Q10|Hmox1|Ifng|Ighg2b|Il18|Il18rap|Il18r1|Il2|Itgb2|Klrc1|Klrc2|Lgals3|Xcl1|Klrb1c|Pld2|Ptprj|Tlr4|Tnfrsf1b|Pglyrp1|Zbtb7b|Klrk1|Tbx21,-8.9
Geneid,KEGG Pathway,24,ko04060,Cytokine-cytokine receptor interaction,,-12,6.3,10,20504,261,288,23,8,1.6,12766|12771|12772|12774|13051|14103|15978|16154|16164|16173|16174|16182|16183|16185|16963|20303|20304|21938|21943|23832|50930|72049|80901,Cxcr3|Ccr3|Ccr2|Ccr5|Cx3cr1|Fasl|Ifng|Il10ra|Il13ra1|Il18|Il18rap|Il18r1|Il2|Il2rb|Xcl1|Ccl4|Ccl5|Tnfrsf1b|Tnfsf11|Xcr1|Tnfsf14|Tnfrsf13c|Cxcr6,-8.8
Geneid,GO Biological Processes,19,GO:0050727,regulation of inflammatory response,19_GO:0050896 response to stimulus,-12,5.4,9.8,20504,342,288,26,9,1.7,12362|12363|12505|12772|12774|13011|13051|14130|14462|15587|15978|16016|16183|16963|17228|19883|20304|21898|21938|21943|21946|22174|22259|30955|83490|100340,Casp1|Casp4|Cd44|Ccr2|Ccr5|Cst7|Cx3cr1|Fcgr2b|Gata3|Hyal2|Ifng|Ighg2b|Il2|Xcl1|Cma1|Rora|Ccl5|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tyro3|Nr1h3|Pik3cg|Pik3ap1|Smpdl3b,-8.8
