Cluster,Score,Type,Gene,Symbol,Network
3,5.0,Clustered,13051,Cx3cr1,Geneid_SUB1
3,5.0,Clustered,94226,S1pr5,Geneid_SUB1
3,5.0,Clustered,12766,Cxcr3,Geneid_SUB1
3,5.0,Clustered,20304,Ccl5,Geneid_SUB1
3,5.0,Clustered,12774,Ccr5,Geneid_SUB1
3,5.0,Clustered,12771,Ccr3,Geneid_SUB1
3,5.0,Clustered,80901,Cxcr6,Geneid_SUB1
3,5.0,Clustered,20303,Ccl4,Geneid_SUB1
3,5.0,Clustered,12772,Ccr2,Geneid_SUB1
3,5.0,Seed,70839,P2ry12,Geneid_SUB1
3,5.0,Clustered,225192,Hrh4,Geneid_SUB1
2,2.736842105263158,Clustered,22153,Tubb4a,Geneid_SUB1
2,2.736842105263158,Clustered,12519,Cd80,Geneid_SUB1
2,2.736842105263158,Clustered,16412,Itgb1,Geneid_SUB1
2,2.736842105263158,Clustered,16408,Itgal,Geneid_SUB1
2,2.736842105263158,Clustered,16414,Itgb2,Geneid_SUB1
2,2.736842105263158,Clustered,233406,Prc1,Geneid_SUB1
2,2.736842105263158,Clustered,320832,Sirpb1a,Geneid_SUB1
2,2.736842105263158,Clustered,16004,Igf2r,Geneid_SUB1
2,2.736842105263158,Clustered,14130,Fcgr2b,Geneid_SUB1
2,2.736842105263158,Clustered,212307,Mapre2,Geneid_SUB1
2,2.736842105263158,Seed,16854,Lgals3,Geneid_SUB1
2,2.736842105263158,Clustered,16401,Itga4,Geneid_SUB1
2,2.736842105263158,Clustered,16580,Kifc5b,Geneid_SUB1
2,2.736842105263158,Clustered,16578,Kif9,Geneid_SUB1
2,2.736842105263158,Clustered,12505,Cd44,Geneid_SUB1
2,2.736842105263158,Clustered,109700,Itga1,Geneid_SUB1
2,2.736842105263158,Clustered,103768,Tubg2,Geneid_SUB1
2,2.736842105263158,Clustered,628398,Ighv6-4,Geneid_SUB1
2,2.736842105263158,Clustered,15007,H2-Q10,Geneid_SUB1
4,1.9,Clustered,21946,Pglyrp1,Geneid_SUB1
4,1.9,Clustered,13033,Ctsd,Geneid_SUB1
4,1.9,Clustered,20430,Cyfip1,Geneid_SUB1
4,1.9,Clustered,14062,F2r,Geneid_SUB1
4,1.9,Clustered,11853,Rhoc,Geneid_SUB1
4,1.9,Seed,70152,Mettl7a1,Geneid_SUB1
4,1.9,Clustered,23832,Xcr1,Geneid_SUB1
4,1.9,Clustered,14682,Gnaq,Geneid_SUB1
4,1.9,Clustered,14676,Gna15,Geneid_SUB1
4,1.9,Clustered,76905,Lrg1,Geneid_SUB1
1,1.653846153846154,Clustered,140721,Caskin2,Geneid_SUB1
1,1.653846153846154,Clustered,107321,Lpxn,Geneid_SUB1
1,1.653846153846154,Clustered,14360,Fyn,Geneid_SUB1
1,1.653846153846154,Clustered,16332,Inppl1,Geneid_SUB1
1,1.653846153846154,Clustered,68895,Rasl11a,Geneid_SUB1
1,1.653846153846154,Clustered,12506,Cd48,Geneid_SUB1
1,1.653846153846154,Clustered,12579,Cdkn2b,Geneid_SUB1
1,1.653846153846154,Clustered,12362,Casp1,Geneid_SUB1
1,1.653846153846154,Seed,50930,Tnfsf14,Geneid_SUB1
1,1.653846153846154,Clustered,16185,Il2rb,Geneid_SUB1
1,1.653846153846154,Clustered,72049,Tnfrsf13c,Geneid_SUB1
1,1.653846153846154,Clustered,244650,Phlpp2,Geneid_SUB1
1,1.653846153846154,Clustered,70784,Rasl12,Geneid_SUB1
1,1.653846153846154,Clustered,12363,Casp4,Geneid_SUB1
1,1.653846153846154,Clustered,16182,Il18r1,Geneid_SUB1
1,1.653846153846154,Clustered,71302,Arhgap26,Geneid_SUB1
1,1.653846153846154,Clustered,225187,Ankrd29,Geneid_SUB1
1,1.653846153846154,Clustered,16173,Il18,Geneid_SUB1
1,1.653846153846154,Clustered,16183,Il2,Geneid_SUB1
1,1.653846153846154,Clustered,233328,Lrrk1,Geneid_SUB1
1,1.653846153846154,Clustered,226970,Arhgef4,Geneid_SUB1
1,1.653846153846154,Clustered,320292,Rasgef1b,Geneid_SUB1
1,1.653846153846154,Clustered,21943,Tnfsf11,Geneid_SUB1
1,1.653846153846154,Clustered,11735,Ank3,Geneid_SUB1
1,1.653846153846154,Clustered,17931,Ppp1r12a,Geneid_SUB1
1,1.653846153846154,Clustered,16174,Il18rap,Geneid_SUB1
5,1.0,Seed,17948,Naip2,Geneid_SUB1
5,1.0,Clustered,268973,Nlrc4,Geneid_SUB1
5,1.0,Clustered,17951,Naip5,Geneid_SUB1
6,1.0,Clustered,19271,Ptprj,Geneid_SUB1
6,1.0,Seed,21938,Tnfrsf1b,Geneid_SUB1
6,1.0,Clustered,13058,Cybb,Geneid_SUB1
7,1.0,Clustered,12306,Anxa2,Geneid_SUB1
7,1.0,Seed,20194,S100a10,Geneid_SUB1
7,1.0,Clustered,13030,Ctsb,Geneid_SUB1
