_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff
1,-4.5,TRR00091,M1,1,0,TRRUST,34,Regulated by: Bcl6,,-4.5,13,7.4,20504,18,450,5,1.1,0.49,12142|12579|14462|15978|57765,Prdm1|Cdkn2b|Gata3|Ifng|Tbx21,-2,0
1,-3.5,TRR01369,M1,1,0,TRRUST,34,Regulated by: Stat4,,-3.5,20,7.3,20504,7,450,3,0.67,0.38,15978|16182|57765,Ifng|Il18r1|Tbx21,-1.2,0
1,-3.3,TRR01190,M1,1,0,TRRUST,34,Regulated by: Rela,,-3.3,3.6,4.4,20504,127,450,10,2.2,0.69,12047|12494|12519|14103|15978|16183|17059|20304|21946|26410,Bcl2a1d|Cd38|Cd80|Fasl|Ifng|Il2|Klrb1c|Ccl5|Pglyrp1|Map3k8,-1.2,0
1,-3.3,TRR01189,M1,1,0,TRRUST,34,Regulated by: Rel,,-3.3,7.3,5.3,20504,31,450,5,1.1,0.49,12047|14056|15978|16183|20304,Bcl2a1d|Ezh2|Ifng|Il2|Ccl5,-1.2,0
1,-3,TRR01366,M1,1,0,TRRUST,34,Regulated by: Stat1,,-3,6.5,4.9,20504,35,450,5,1.1,0.49,12393|15978|17748|18566|57765,Runx2|Ifng|Mt1|Pdcd1|Tbx21,-0.96,0
1,-2.9,TRR01453,M1,1,0,TRRUST,34,Regulated by: Tbx21,,-2.9,14,6,20504,10,450,3,0.67,0.38,14462|15978|94226,Gata3|Ifng|S1pr5,-0.93,0
1,-2.8,TRR01313,M1,1,0,TRRUST,34,Regulated by: Smad1,,-2.8,7.6,4.8,20504,24,450,4,0.89,0.44,12393|15902|15951|21943,Runx2|Id2|Ifi204|Tnfsf11,-0.79,0
1,-2.5,TRR00294,M1,1,0,TRRUST,34,Regulated by: Egr2,,-2.5,9.8,4.9,20504,14,450,3,0.67,0.38,14103|15902|16185,Fasl|Id2|Il2rb,-0.66,0
1,-2.5,TRR00652,M1,1,0,TRRUST,34,Regulated by: Jun,,-2.5,3,3.5,20504,137,450,9,2,0.66,12142|13807|15368|15978|16183|19258|20304|21943|76650,Prdm1|Eno2|Hmox1|Ifng|Il2|Ptpn4|Ccl5|Tnfsf11|Srxn1,-0.66,0
1,-2.4,TRR01347,M1,1,0,TRRUST,34,Regulated by: Sp1,,-2.4,2.3,3.2,20504,280,450,14,3.1,0.82,12393|12571|14103|16183|16852|17436|18186|18671|18806|20893|21943|22259|67749|234671,Runx2|Cdk6|Fasl|Il2|Lgals1|Me1|Nrp1|Abcb1a|Pld2|Bhlhe40|Tnfsf11|Nr1h3|Mgarp|Ces2c,-0.66,0
1,-2.3,TRR01595,M1,1,0,TRRUST,34,Regulated by: Zeb1,,-2.3,8.5,4.5,20504,16,450,3,0.67,0.38,14462|16183|16401,Gata3|Il2|Itga4,-0.61,0
1,-2.2,TRR00944,M1,1,0,TRRUST,34,Regulated by: Nfe2l2,,-2.2,4.3,3.6,20504,53,450,5,1.1,0.49,12393|15368|17748|21943|76650,Runx2|Hmox1|Mt1|Tnfsf11|Srxn1,-0.53,0
1,-2.1,TRR00979,M1,1,0,TRRUST,34,Regulated by: Nr1h3,,-2.1,7.2,4,20504,19,450,3,0.67,0.38,20893|22259|26410,Bhlhe40|Nr1h3|Map3k8,-0.46,0
