Gene,TotalEvidenceCounts,EvidenceHit:Geneid,EvidenceGO:Geneid,EvidencePPI:Geneid
13198,3.0,1,1,1
16854,3.0,1,1,1
70839,3.0,1,1,1
216033,3.0,1,1,1
12766,3.0,1,1,1
545428,3.0,1,1,1
20238,3.0,1,1,1
20320,3.0,1,1,1
27226,3.0,1,1,1
18566,3.0,1,1,1
18606,3.0,1,1,1
12774,3.0,1,1,1
12322,3.0,1,1,1
268566,3.0,1,1,1
109700,3.0,1,1,1
226641,3.0,1,1,1
69219,3.0,1,1,1
12047,3.0,1,1,1
12306,3.0,1,1,1
18129,3.0,1,1,1
27007,3.0,1,1,1
226970,3.0,1,1,1
83490,3.0,1,1,1
16154,3.0,1,1,1
14103,3.0,1,1,1
16174,3.0,1,1,1
22174,3.0,1,1,1
56193,3.0,1,1,1
20908,3.0,1,1,1
11735,3.0,1,1,1
18671,3.0,1,1,1
11554,3.0,1,1,1
68054,3.0,1,1,1
14360,3.0,1,1,1
20303,3.0,1,1,1
12362,3.0,1,1,1
381290,3.0,1,1,1
12506,3.0,1,1,1
67972,3.0,1,1,1
212307,3.0,1,1,1
20187,3.0,1,1,1
50527,3.0,1,1,1
22352,3.0,1,1,1
13051,3.0,1,1,1
21946,3.0,1,1,1
18752,3.0,1,1,1
21943,3.0,1,1,1
12771,3.0,1,1,1
17228,3.0,1,1,1
12393,3.0,1,1,1
20194,3.0,1,1,1
20195,3.0,1,1,1
17059,3.0,1,1,1
14204,3.0,1,1,1
14130,3.0,1,1,1
192654,3.0,1,1,1
12571,3.0,1,1,1
50490,3.0,1,1,1
53614,3.0,1,1,1
16642,3.0,1,1,1
60596,3.0,1,1,1
12579,3.0,1,1,1
14245,3.0,1,1,1
22724,3.0,1,1,1
19271,3.0,1,1,1
100340,3.0,1,1,1
16500,3.0,1,1,1
231637,3.0,1,1,1
18712,3.0,1,1,1
15902,3.0,1,1,1
19883,3.0,1,1,1
23900,3.0,1,1,1
246746,3.0,1,1,1
14462,3.0,1,1,1
74761,3.0,1,1,1
12227,3.0,1,1,1
51793,3.0,1,1,1
104445,3.0,1,1,1
17948,3.0,1,1,1
21938,3.0,1,1,1
16408,3.0,1,1,1
12628,3.0,1,1,1
12494,3.0,1,1,1
16852,3.0,1,1,1
22793,3.0,1,1,1
12845,3.0,1,1,1
54199,3.0,1,1,1
24136,3.0,1,1,1
16401,3.0,1,1,1
12557,3.0,1,1,1
22780,3.0,1,1,1
268973,3.0,1,1,1
16182,3.0,1,1,1
329165,3.0,1,1,1
15951,3.0,1,1,1
70747,3.0,1,1,1
16016,3.0,1,1,1
30955,3.0,1,1,1
72049,3.0,1,1,1
16728,3.0,1,1,1
68813,3.0,1,1,1
20660,3.0,1,1,1
15368,3.0,1,1,1
12519,3.0,1,1,1
232889,3.0,1,1,1
214230,3.0,1,1,1
12483,3.0,1,1,1
18806,3.0,1,1,1
11746,3.0,1,1,1
16164,3.0,1,1,1
16411,3.0,1,1,1
12363,3.0,1,1,1
107321,3.0,1,1,1
16332,3.0,1,1,1
15007,3.0,1,1,1
12495,3.0,1,1,1
19122,3.0,1,1,1
16641,3.0,1,1,1
16963,3.0,1,1,1
20304,3.0,1,1,1
16183,3.0,1,1,1
20430,3.0,1,1,1
12045,3.0,1,1,1
13837,3.0,1,1,1
12142,3.0,1,1,1
17931,3.0,1,1,1
233328,3.0,1,1,1
229658,3.0,1,1,1
11853,3.0,1,1,1
11937,3.0,1,1,1
97086,3.0,1,1,1
215114,3.0,1,1,1
76905,3.0,1,1,1
22240,3.0,1,1,1
50778,3.0,1,1,1
54195,3.0,1,1,1
14682,3.0,1,1,1
12772,3.0,1,1,1
16173,3.0,1,1,1
105245,3.0,1,1,1
208898,3.0,1,1,1
68616,3.0,1,1,1
16412,3.0,1,1,1
24057,3.0,1,1,1
71982,3.0,1,1,1
58859,3.0,1,1,1
69590,3.0,1,1,1
15978,3.0,1,1,1
20200,3.0,1,1,1
12505,3.0,1,1,1
12841,3.0,1,1,1
18186,3.0,1,1,1
13143,3.0,1,1,1
14062,3.0,1,1,1
16414,3.0,1,1,1
17916,3.0,1,1,1
320832,3.0,1,1,1
57765,3.0,1,1,1
71302,3.0,1,1,1
80901,3.0,1,1,1
22259,3.0,1,1,1
16185,3.0,1,1,1
74732,3.0,1,1,1
17951,3.0,1,1,1
104156,3.0,1,1,1
51813,3.0,1,1,1
225192,3.0,1,1,1
15587,3.0,1,1,1
13058,3.0,1,1,1
50930,3.0,1,1,1
21898,3.0,1,1,1
13011,3.0,1,1,1
192120,2.0,1,0,1
98366,2.0,1,0,1
170741,2.0,1,1,0
67753,2.0,1,0,1
13074,2.0,1,0,1
233406,2.0,1,0,1
22094,2.0,1,0,1
545622,2.0,1,0,1
70025,2.0,1,0,1
12467,2.0,1,0,1
338348,2.0,1,0,1
207521,2.0,1,0,1
24046,2.0,1,0,1
71690,2.0,1,0,1
140559,2.0,1,0,1
74103,2.0,1,0,1
66611,2.0,1,0,1
75345,2.0,1,1,0
50918,2.0,1,1,0
22038,2.0,1,1,0
57436,2.0,1,0,1
14945,2.0,1,0,1
54613,2.0,1,0,1
258831,2.0,1,0,1
17857,2.0,1,0,1
76650,2.0,1,0,1
19258,2.0,1,0,1
242705,2.0,1,0,1
68169,2.0,1,1,0
103768,2.0,1,0,1
236727,2.0,1,0,1
22164,2.0,1,1,0
329650,2.0,1,0,1
20715,2.0,1,0,1
71361,2.0,1,0,1
94226,2.0,1,0,1
68895,2.0,1,0,1
380686,2.0,1,0,1
329877,2.0,1,0,1
20198,2.0,1,0,1
24064,2.0,1,1,0
231717,2.0,1,0,1
216238,2.0,1,0,1
140721,2.0,1,0,1
12521,2.0,1,0,1
269224,2.0,1,0,1
27047,2.0,1,0,1
66141,2.0,1,1,0
70546,2.0,1,1,0
67071,2.0,1,0,1
69863,2.0,1,0,1
14676,2.0,1,0,1
282663,2.0,1,1,0
75219,2.0,1,0,1
74114,2.0,1,0,1
16904,2.0,1,0,1
27984,2.0,1,0,1
17540,2.0,1,1,0
13508,2.0,1,1,0
381308,2.0,1,1,0
107885,2.0,1,0,1
212517,2.0,1,0,1
13033,2.0,1,0,1
245944,2.0,1,0,1
14537,2.0,1,1,0
17086,2.0,1,0,1
238896,2.0,1,0,1
50525,2.0,1,0,1
56461,2.0,1,0,1
71586,2.0,1,1,0
22153,2.0,1,0,1
15185,2.0,1,0,1
545030,2.0,1,0,1
20351,2.0,1,1,0
12925,2.0,1,0,1
381693,2.0,1,0,1
13024,2.0,1,1,0
68151,2.0,1,0,1
232035,2.0,1,0,1
21950,2.0,1,1,0
13030,2.0,1,0,1
68119,2.0,1,1,0
69553,2.0,1,0,1
12124,2.0,1,0,1
13113,2.0,1,0,1
12700,2.0,1,0,1
72747,2.0,1,0,1
70784,2.0,1,0,1
19249,2.0,1,0,1
66395,2.0,1,0,1
14652,2.0,1,0,1
235527,2.0,1,1,0
71720,2.0,1,0,1
71519,2.0,1,0,1
210853,2.0,1,0,1
380711,2.0,1,0,1
56791,2.0,1,0,1
67306,2.0,1,0,1
56013,2.0,1,0,1
76072,2.0,1,1,0
214531,2.0,1,0,1
94275,2.0,1,0,1
194126,2.0,1,0,1
60409,2.0,1,0,1
100039707,2.0,1,0,1
100101919,2.0,1,0,1
110786,2.0,1,0,1
13807,2.0,1,0,1
26943,2.0,1,1,0
244650,2.0,1,0,1
225362,2.0,1,0,1
54426,2.0,1,0,1
16580,2.0,1,0,1
74318,2.0,1,0,1
108075,2.0,1,0,1
628398,2.0,1,0,1
26410,2.0,1,0,1
23832,2.0,1,0,1
320292,2.0,1,0,1
236451,2.0,1,0,1
100041546,2.0,1,1,0
16578,2.0,1,0,1
436090,2.0,1,0,1
269941,2.0,1,0,1
231474,2.0,1,1,0
260409,2.0,1,1,0
22755,2.0,1,0,1
245945,2.0,1,1,0
227737,2.0,1,1,0
80749,2.0,1,0,1
16004,2.0,1,0,1
110454,2.0,1,1,0
240754,2.0,1,1,0
207215,2.0,1,0,1
16210,2.0,1,1,0
232941,2.0,1,0,1
225187,2.0,1,0,1
18223,2.0,1,0,1
17748,2.0,1,1,0
30939,2.0,1,0,1
56795,2.0,1,0,1
77300,2.0,1,0,1
380712,2.0,1,1,0
20893,2.0,1,0,1
210029,2.0,1,1,0
52589,2.0,1,0,1
216021,2.0,1,1,0
102640920,2.0,1,1,0
14056,2.0,1,0,1
207175,2.0,1,0,1
270151,2.0,1,1,0
16768,2.0,1,1,0
