_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-5.201548346321633,WP163,M1,1,0,WikiPathways,27,Cytoplasmic ribosomal proteins,,-5.201548346321633,10.072140350877193,7.608344177010907,20504,95,150,7,4.666666666666667,1.7221863795553392,19981|20088|20112|56040|67427|114641|269261,Rpl37a|Rps24|Rps6ka2|Rplp1|Rps20|Rpl31|Rpl12,-1.1757721118228186,0,1,1,1,-5.201548346321633,10.072140350877193,
1,-4.338508815025621,R-MMU-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-4.338508815025621,9.32,6.714424335226613,20504,88,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.0567030453990185,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-4.283440365554804,R-MMU-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-4.283440365554804,9.112888888888888,6.6215883465665675,20504,90,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-1.0439517641018097,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-4.101042231238715,R-MMU-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-4.101042231238715,8.455257731958763,6.318127663943874,20504,97,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.9331798139189488,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.8648572622705686,R-MMU-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-3.8648572622705686,7.665046728971962,5.9339159400463775,20504,107,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.782901489093466,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.842632171390525,R-MMU-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-3.842632171390525,7.594074074074074,5.898242821757077,20504,108,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.782901489093466,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.7988797363316444,R-MMU-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-3.7988797363316444,7.4559999999999995,5.828249124248147,20504,110,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.782901489093466,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.7988797363316444,R-MMU-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-3.7988797363316444,7.4559999999999995,5.828249124248147,20504,110,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.782901489093466,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.693372555760286,R-MMU-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-3.693372555760286,7.131826086956521,5.660701265231703,20504,115,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.773294622151276,0,1,0,0,-5.201548346321633,10.072140350877193,
1,-3.693372555760286,R-MMU-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-3.693372555760286,7.131826086956521,5.660701265231703,20504,115,150,6,4.0,1.6,19981|20088|56040|67427|114641|269261,Rpl37a|Rps24|Rplp1|Rps20|Rpl31|Rpl12,-0.773294622151276,0,1,0,0,-5.201548346321633,10.072140350877193,
