_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-22.2246632155229,R-MMU-1799339,M1,1,0,Reactome Gene Sets,6,SRP-dependent cotranslational protein targeting to membrane,,-22.2246632155229,20.26086956521739,20.238467670466974,20504,88,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-18.008275803723347,0,1,1,1,-22.2246632155229,20.26086956521739,
1,-21.98905157768597,R-MMU-975956,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),,-21.98905157768597,19.810628019323673,19.989697608361826,20504,90,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-18.008275803723347,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-21.426343748555926,WP163,M1,1,0,WikiPathways,27,Cytoplasmic ribosomal proteins,,-21.426343748555926,18.76796338672769,19.40145585922082,20504,95,253,22,8.695652173913043,1.7714812036228427,11837|16898|19896|19933|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67186|67427|67891|114641|269261|270106,Rplp0|Rps2|Rpl10a|Rpl21|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rplp2|Rps20|Rpl4|Rpl31|Rpl12|Rpl13,-17.621659233648984,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-21.211032569044942,R-MMU-72689,M1,1,0,Reactome Gene Sets,6,Formation of a pool of free 40S subunits,,-21.211032569044942,18.38099506947557,19.17858893863659,20504,97,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-17.5312867907463,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-20.20789243889901,R-MMU-156827,M1,1,0,Reactome Gene Sets,6,L13a-mediated translational silencing of Ceruloplasmin expression,,-20.20789243889901,16.66314506298253,18.156554626875703,20504,107,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.625056673608423,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-20.113687875255007,R-MMU-72706,M1,1,0,Reactome Gene Sets,6,GTP hydrolysis and joining of the 60S ribosomal subunit,,-20.113687875255007,16.50885668276973,18.061960508616714,20504,108,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.610033356012046,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-19.928312445243968,R-MMU-927802,M1,1,0,Reactome Gene Sets,6,Nonsense-Mediated Decay (NMD),,-19.928312445243968,16.208695652173912,17.876514019396847,20504,110,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.549596662609307,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-19.928312445243968,R-MMU-975957,M1,1,0,Reactome Gene Sets,6,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),,-19.928312445243968,16.208695652173912,17.876514019396847,20504,110,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.549596662609307,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-19.481641584049314,R-MMU-72613,M1,1,0,Reactome Gene Sets,6,Eukaryotic Translation Initiation,,-19.481641584049314,15.503969754253308,17.43345930395209,20504,115,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.199835814422713,0,1,0,0,-22.2246632155229,20.26086956521739,
1,-19.481641584049314,R-MMU-72737,M1,1,0,Reactome Gene Sets,6,Cap-dependent Translation Initiation,,-19.481641584049314,15.503969754253308,17.43345930395209,20504,115,253,22,8.695652173913043,1.7714812036228427,11837|16898|19951|20055|20085|20088|20103|20115|26961|27050|27367|54127|56040|66489|67115|67186|67427|67891|76846|114641|269261|270106,Rplp0|Rps2|Rpl32|Rps16|Rps19|Rps24|Rps5|Rps7|Rpl8|Rps3|Rpl3|Rps28|Rplp1|Rpl35|Rpl14|Rplp2|Rps20|Rpl4|Rps9|Rpl31|Rpl12|Rpl13,-16.199835814422713,0,1,0,0,-22.2246632155229,20.26086956521739,
