_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-4.69246480956034,GO:0032970,M1,1,0,GO Biological Processes,19,regulation of actin filament-based process,19_GO:0050789 regulation of biological process,-4.69246480956034,4.381196581196582,5.672042452166655,20504,416,135,12,8.88888888888889,2.449303065212295,13609|14159|15901|18479|18578|20971|22351|50490|50874|66214|216033|237860,S1pr1|Fes|Id1|Pak1|Pde4b|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ctnna3|Ssh2,-0.636732225773228,0,1,1,1,-4.69246480956034,11.167755991285404,
1,-4.313756225781861,GO:0007015,M1,1,0,GO Biological Processes,19,actin filament organization,19_GO:0009987 cellular process,-4.313756225781861,4.0056654456654455,5.278259219368966,20504,455,135,12,8.88888888888889,2.449303065212295,12043|13609|15901|18479|20971|22351|50490|50874|66214|194401|216033|237860,Bcl2|S1pr1|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Mical3|Ctnna3|Ssh2,-0.636732225773228,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-4.06627115566014,GO:0032233,M1,1,0,GO Biological Processes,19,positive regulation of actin filament bundle assembly,19_GO:0048518 positive regulation of biological process,-4.06627115566014,11.167755991285404,6.83710674947133,20504,68,135,5,3.7037037037037037,1.625384169393539,15901|18479|20971|50490|66214,Id1|Pak1|Sdc4|Nox4|Rgcc,-0.636732225773228,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-4.035702547831447,GO:0030036,M1,1,0,GO Biological Processes,19,actin cytoskeleton organization,19_GO:0009987 cellular process,-4.035702547831447,3.1294261294261294,4.7626621810613115,20504,728,135,15,11.11111111111111,2.7048027531119314,12043|12775|13609|14159|15901|18479|20971|22351|29856|50490|50874|66214|194401|216033|237860,Bcl2|Ccr7|S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Smtn|Nox4|Tmod4|Rgcc|Mical3|Ctnna3|Ssh2,-0.636732225773228,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.994337407822165,GO:0110053,M1,1,0,GO Biological Processes,19,regulation of actin filament organization,19_GO:0050789 regulation of biological process,-3.994337407822165,4.881904761904762,5.324527809311801,20504,280,135,9,6.666666666666667,2.146870629065102,13609|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.636732225773228,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.964295485960506,GO:0032231,M1,1,0,GO Biological Processes,19,regulation of actin filament bundle assembly,19_GO:0050789 regulation of biological process,-3.964295485960506,7.993762183235868,6.096006328727478,20504,114,135,6,4.444444444444445,1.7736577773894293,13609|15901|18479|20971|50490|66214,S1pr1|Id1|Pak1|Sdc4|Nox4|Rgcc,-0.636732225773228,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.771046758722143,GO:0032956,M1,1,0,GO Biological Processes,19,regulation of actin cytoskeleton organization,19_GO:0050789 regulation of biological process,-3.771046758722143,4.116029308441233,4.917333186005912,20504,369,135,10,7.407407407407407,2.254002294259943,13609|14159|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.48924098909554015,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.58714418772668,GO:1902903,M1,1,0,GO Biological Processes,19,regulation of supramolecular fiber organization,19_GO:0050789 regulation of biological process,-3.58714418772668,3.9044082643054363,4.708289754471653,20504,389,135,10,7.407407407407407,2.254002294259943,13609|14159|15901|18479|20971|22351|50490|50874|66214|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Ssh2,-0.34673110325830203,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.3207781016468667,GO:0051492,M1,1,0,GO Biological Processes,19,regulation of stress fiber assembly,19_GO:0050789 regulation of biological process,-3.3207781016468667,7.749055177626606,5.4521501983407665,20504,98,135,5,3.7037037037037037,1.625384169393539,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.18433623433037744,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.2373494622718852,GO:0051496,M1,1,0,GO Biological Processes,19,positive regulation of stress fiber assembly,19_GO:0048518 positive regulation of biological process,-3.2373494622718852,10.474584929757343,5.882483906514918,20504,58,135,4,2.962962962962963,1.4593685767441318,18479|20971|50490|66214,Pak1|Sdc4|Nox4|Rgcc,-0.18433623433037744,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.092254632763522,GO:0110020,M1,1,0,GO Biological Processes,19,regulation of actomyosin structure organization,19_GO:0050789 regulation of biological process,-3.092254632763522,6.9037037037037035,5.054293109536238,20504,110,135,5,3.7037037037037037,1.625384169393539,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.1326681578708385,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-3.0244523181095837,GO:0051493,M1,1,0,GO Biological Processes,19,regulation of cytoskeleton organization,19_GO:0050789 regulation of biological process,-3.0244523181095837,3.0767887592933634,3.992931207328939,20504,543,135,11,8.148148148148149,2.3545424916462516,13609|14159|15901|18479|20971|22351|50490|50874|66214|213582|237860,S1pr1|Fes|Id1|Pak1|Sdc4|Vill|Nox4|Tmod4|Rgcc|Map9|Ssh2,-0.12930039592675868,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-2.9884581014266547,GO:0030038,M1,1,0,GO Biological Processes,19,contractile actin filament bundle assembly,19_GO:0009987 cellular process,-2.9884581014266547,6.546615581098339,4.877086804998204,20504,116,135,5,3.7037037037037037,1.625384169393539,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.12930039592675868,0,1,0,0,-4.69246480956034,11.167755991285404,
1,-2.9884581014266547,GO:0043149,M1,1,0,GO Biological Processes,19,stress fiber assembly,19_GO:0009987 cellular process,-2.9884581014266547,6.546615581098339,4.877086804998204,20504,116,135,5,3.7037037037037037,1.625384169393539,13609|18479|20971|50490|66214,S1pr1|Pak1|Sdc4|Nox4|Rgcc,-0.12930039592675868,0,1,0,0,-4.69246480956034,11.167755991285404,
