_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.713604805,GO:0033625,M1,1,0,GO Biological Processes,19,positive regulation of integrin activation,19_GO:0048518 positive regulation of biological process,-3.713604805,25.57671518,8.457798628,20504,13,185,3,1.621621622,0.928621488,12557|55985|70839,Cdh17|Cxcl13|P2ry12,-0.074908384,0,3,1,1,-3.713604805,25.57671518,
1,-3.458608784,GO:0070613,M1,1,0,GO Biological Processes,19,regulation of protein processing,19_GO:0008152 metabolic process,-3.458608784,8.271077047,5.688149213,20504,67,185,5,2.702702703,1.192239928,13024|20112|58992|72293|215095,Ctla2a|Rps6ka2|F12|Nkd2|Astl,-0.04581491,0,4,1,1,-3.458608784,12.31471471,
1,-3.402172392,GO:0006954,M1,1,0,GO Biological Processes,19,inflammatory response,19_GO:0050896 response to stimulus,-3.402172392,2.549595875,4.093885258,20504,739,185,17,9.189189189,2.123838596,12628|12771|13024|14130|14728|15937|16016|17228|20304|20305|20308|22259|27226|55985|58992|78801|269060,Cfh|Ccr3|Ctla2a|Fcgr2b|Lilrb4a|Ier3|Ighg2b|Cma1|Ccl5|Ccl6|Ccl9|Nr1h3|Pla2g7|Cxcl13|F12|Ak7|Dagla,-0.04581491,0,5,1,1,-3.402172392,2.916642959,
1,-2.962663748,GO:0030595,M1,1,0,GO Biological Processes,19,leukocyte chemotaxis,19_GO:0040011 locomotion,-2.962663748,3.905988808,4.20095878,20504,227,185,8,4.324324324,1.495457359,11629|12771|20304|20305|20308|27226|55985|109700,Aif1|Ccr3|Ccl5|Ccl6|Ccl9|Pla2g7|Cxcl13|Itga1,0,0,2,0,0,-3.946704631,30.22702703,
1,-2.906061879,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-2.906061879,2.817773706,3.812343859,20504,472,185,12,6.486486486,1.810739944,11629|11735|14538|14728|14766|15205|20304|20739|55985|70839|110351|330662,Aif1|Ank3|Gcnt2|Lilrb4a|Adgrg1|Hes1|Ccl5|Spta1|Cxcl13|P2ry12|Rap1gap|Dock1,0,0,9,1,1,-2.906061879,3.463513514,
1,-2.649331073,GO:0070098,M1,1,0,GO Biological Processes,19,chemokine-mediated signaling pathway,19_GO:0023052 signaling,-2.649331073,7.267700487,4.677827933,20504,61,185,4,2.162162162,1.069329851,20304|20305|20308|55985,Ccl5|Ccl6|Ccl9|Cxcl13,0,0,2,0,0,-3.946704631,30.22702703,
1,-2.453398171,GO:2000406,M1,1,0,GO Biological Processes,19,positive regulation of T cell migration,19_GO:0040011 locomotion,-2.453398171,9.779332273,4.88861041,20504,34,185,3,1.621621622,0.928621488,11629|20304|55985,Aif1|Ccl5|Cxcl13,0,0,2,0,0,-3.946704631,30.22702703,
1,-2.453398171,GO:0045954,M1,1,0,GO Biological Processes,19,positive regulation of natural killer cell mediated cytotoxicity,19_GO:0044419 biological process involved in interspecies interaction between organisms,-2.453398171,9.779332273,4.88861041,20504,34,185,3,1.621621622,0.928621488,20400|27007|243655,Sh2d1a|Klrk1|Klre1,0,0,13,1,1,-2.453398171,9.779332273,
1,-2.369387098,GO:0002449,M1,1,0,GO Biological Processes,19,lymphocyte mediated immunity,19_GO:0002376 immune system process,-2.369387098,2.545212436,3.265224856,20504,479,185,11,5.945945946,1.738654841,12260|12262|12557|12628|14130|14728|16016|20400|27007|243655|628398,C1qb|C1qc|Cdh17|Cfh|Fcgr2b|Lilrb4a|Ighg2b|Sh2d1a|Klrk1|Klre1|Ighv6-4,0,0,8,0,0,-2.907035222,10.39054054,
1,-2.356422811,GO:0002250,M1,1,0,GO Biological Processes,19,adaptive immune response,19_GO:0002376 immune system process,-2.356422811,2.312715284,3.174964379,20504,623,185,13,7.027027027,1.879222947,12260|12262|12557|12628|14130|14728|16016|20400|27007|75345|110612|385253|628398,C1qb|C1qc|Cdh17|Cfh|Fcgr2b|Lilrb4a|Ighg2b|Sh2d1a|Klrk1|Slamf7|Iglv2|Igkv4-55|Ighv6-4,0,0,8,0,0,-2.907035222,10.39054054,
