_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-19.1310094599165,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-19.1310094599165,3.1338743943631835,11.176297424081385,20504,772,678,80,11.799410029498524,1.2389421967236613,11492|11534|11629|11735|12053|12367|12477|12487|12505|12519|12527|12571|12766|12772|12774|13508|13837|14204|14758|15978|16153|16173|16401|16408|16410|16412|16414|16452|16728|16768|16852|16854|16878|16963|17916|17931|18015|18186|18606|18750|18806|19046|19122|19219|19247|19271|20194|20304|20371|20737|20750|21943|21950|22164|22329|50918|50930|54167|54215|54371|54446|54698|54712|55985|57765|58205|58859|60505|65113|68169|70546|70839|72049|94214|107321|171285|218397|237256|240754|100043314,Adam19|Adk|Aif1|Ank3|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Cd9|Cdk6|Cxcr3|Ccr2|Ccr5|Dscam|Epha3|Il4i1|Gpm6b|Ifng|Il10|Il18|Itga4|Itgal|Itgav|Itgb1|Itgb2|Jak2|L1cam|Lag3|Lgals1|Lgals3|Lif|Xcl1|Myo1f|Ppp1r12a|Nf1|Nrp1|Enpp2|Prkca|Pld2|Ppp1cb|Prnp|Ptger4|Ptpn11|Ptprj|S100a10|Ccl5|Foxp3|Spn|Spp1|Tnfsf11|Tnfsf9|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Cd160|Chst2|Nfat5|Crtam|Plxnc1|Cxcl13|Tbx21|Pdcd1lg2|Efemp2|Il21|Ndfip1|Ndnf|Zdhhc2|P2ry12|Tnfrsf13c|Spock2|Lpxn|Havcr2|Rasa1|Zc3h12d|Lax1|Tigit,-14.849203690289896,0,1,1,1,-19.1310094599165,17.281078803202696,
1,-18.629360745150482,GO:0050865,M1,1,0,GO Biological Processes,19,regulation of cell activation,19_GO:0050789 regulation of biological process,-18.629360745150482,3.102739148756848,10.998392213173831,20504,770,678,79,11.651917404129794,1.2322034375598823,11534|11622|11629|12053|12142|12367|12458|12477|12483|12487|12494|12505|12519|12527|12772|13011|13024|14204|15368|15902|15978|16016|16153|16173|16408|16414|16452|16641|16642|16768|16852|16854|16963|17470|18750|18806|19122|19271|20304|20371|20737|21898|21938|21943|21946|21950|22038|22163|22164|22174|22259|22320|22329|22780|27007|50930|54167|54215|54698|56193|57765|58205|60505|65113|67742|72049|75345|107823|110786|171285|229521|231130|237256|240754|246746|252838|380795|628398|100043314,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ccr6|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Cd9|Ccr2|Cst7|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Itgb2|Jak2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Prkca|Pld2|Prnp|Ptprj|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Vamp8|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Cd160|Crtam|Plek|Tbx21|Pdcd1lg2|Il21|Ndfip1|Samsn1|Tnfrsf13c|Slamf7|Nsd2|Iglc2|Havcr2|Syt11|Tnip2|Zc3h12d|Lax1|Cd300lf|Tox|Ighg3|Ighv6-4|Tigit,-14.769033810340757,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-18.48118068757958,GO:0002683,M1,1,0,GO Biological Processes,19,negative regulation of immune system process,19_GO:0002376 immune system process,-18.48118068757958,3.8788508400666926,11.548135853449063,20504,460,678,59,8.702064896755163,1.082497219578666,11622|12053|12142|12262|12367|12477|12483|12505|12514|12519|12571|12772|13011|13051|14204|15368|15902|15951|15978|16153|16768|16854|17470|18015|18566|19122|19219|19271|20371|20400|20737|21873|21946|22163|22164|22174|22259|54215|54698|57765|57781|58205|65113|66058|67742|100340|104418|107321|170741|171285|229521|237256|240754|243655|246746|270151|434341|100043314|102640920,Ahr|Bcl6|Prdm1|C1qc|Casp3|Ctla4|Cd22|Cd44|Cd68|Cd80|Cdk6|Ccr2|Cst7|Cx3cr1|Il4i1|Hmox1|Id2|Ifi204|Ifng|Il10|Lag3|Lgals3|Cd200|Nf1|Pdcd1|Prnp|Ptger4|Ptprj|Foxp3|Sh2d1a|Spn|Tjp2|Pglyrp1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Cd160|Crtam|Tbx21|Cd200r1|Pdcd1lg2|Ndfip1|Tmem176a|Samsn1|Smpdl3b|Dgkz|Lpxn|Pilrb1|Havcr2|Syt11|Zc3h12d|Lax1|Klre1|Cd300lf|Nlrx1|Nlrc5|Tigit|Pvrig,-14.769033810340757,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-17.321171536028626,GO:0002694,M1,1,0,GO Biological Processes,19,regulation of leukocyte activation,19_GO:0002376 immune system process,-17.321171536028626,3.0867582138134475,10.57900863313807,20504,725,678,74,10.914454277286136,1.1975393377356143,11534|11622|11629|12053|12142|12367|12458|12477|12483|12487|12494|12505|12519|12772|13011|13024|14204|15368|15902|15978|16016|16153|16173|16408|16414|16641|16642|16768|16852|16854|16963|17470|18806|19122|20304|20371|20737|21898|21938|21943|21946|21950|22038|22163|22164|22174|22259|22320|22329|22780|27007|50930|54167|54215|54698|57765|58205|60505|65113|67742|72049|75345|107823|110786|171285|229521|231130|237256|240754|246746|252838|380795|628398|100043314,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ccr6|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Ccr2|Cst7|Ctla2a|Il4i1|Hmox1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Itgb2|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Cd200|Pld2|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Plscr1|Tnfrsf4|Tnfsf4|Tyro3|Nr1h3|Vamp8|Vcam1|Ikzf3|Klrk1|Tnfsf14|Icos|Cd160|Crtam|Tbx21|Pdcd1lg2|Il21|Ndfip1|Samsn1|Tnfrsf13c|Slamf7|Nsd2|Iglc2|Havcr2|Syt11|Tnip2|Zc3h12d|Lax1|Cd300lf|Tox|Ighg3|Ighv6-4|Tigit,-13.817517016785667,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-17.20759921573374,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-17.20759921573374,3.464070796460177,10.832421344940089,20504,550,678,63,9.29203539823009,1.1149702814809086,11534|11629|12047|12053|12142|12367|12393|12458|12477|12487|12505|12506|12519|12571|12772|13024|13813|14204|14360|15978|16173|16364|16408|16410|16411|16414|16768|16852|16854|16963|17085|18021|19122|19219|20304|20371|20737|21938|21943|21950|22163|22164|22329|30925|50930|53314|54167|54215|54698|56501|57765|58205|58206|60505|65113|72049|74732|75345|171285|237256|240754|252838|100043314,Adk|Aif1|Bcl2a1d|Bcl6|Prdm1|Casp3|Runx2|Ccr6|Ctla4|Cd28|Cd44|Cd48|Cd80|Cdk6|Ccr2|Ctla2a|Eomes|Il4i1|Fyn|Ifng|Il18|Irf4|Itgal|Itgav|Itgax|Itgb2|Lag3|Lgals1|Lgals3|Xcl1|Ly9|Nfatc3|Prnp|Ptger4|Ccl5|Foxp3|Spn|Tnfrsf1b|Tnfsf11|Tnfsf9|Tnfrsf4|Tnfsf4|Vcam1|Slamf6|Tnfsf14|Batf|Icos|Cd160|Crtam|Elf4|Tbx21|Pdcd1lg2|Zbtb32|Il21|Ndfip1|Tnfrsf13c|Stx11|Slamf7|Havcr2|Zc3h12d|Lax1|Tox|Tigit,-13.770891486121394,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-15.383078328194902,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-15.383078328194902,3.5239488025598726,10.25877220736936,20504,472,678,55,8.112094395280236,1.0485299190887767,11492|11534|11629|11735|12053|12487|12505|12519|12571|12772|12774|14204|15978|16173|16401|16408|16410|16412|16414|16452|16728|16852|16878|16963|18186|18606|18750|18806|19219|19247|19271|20194|20304|20371|20737|20750|21943|21950|22164|22329|50918|50930|54167|54215|54371|54446|55985|58205|58859|60505|68169|70839|72049|94214|171285,Adam19|Adk|Aif1|Ank3|Bcl6|Cd28|Cd44|Cd80|Cdk6|Ccr2|Ccr5|Il4i1|Ifng|Il18|Itga4|Itgal|Itgav|Itgb1|Itgb2|Jak2|L1cam|Lgals1|Lif|Xcl1|Nrp1|Enpp2|Prkca|Pld2|Ptger4|Ptpn11|Ptprj|S100a10|Ccl5|Foxp3|Spn|Spp1|Tnfsf11|Tnfsf9|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Cd160|Chst2|Nfat5|Cxcl13|Pdcd1lg2|Efemp2|Il21|Ndnf|P2ry12|Tnfrsf13c|Spock2|Havcr2,-12.101272558568299,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-14.982021826884582,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-14.982021826884582,4.768430458145143,10.882361691455845,20504,241,678,38,5.6047197640118,0.8833590129022444,11534|11622|11629|12053|12142|12367|12477|12483|12487|12494|12505|12519|12772|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|21950|22163|22164|22329|22780|54698|58205|60505|65113|72049|171285|237256,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Ccr2|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf9|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Pdcd1lg2|Il21|Ndfip1|Tnfrsf13c|Havcr2|Zc3h12d,-11.773885772673111,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-14.976510296252089,GO:0051249,M1,1,0,GO Biological Processes,19,regulation of lymphocyte activation,19_GO:0002376 immune system process,-14.976510296252089,3.1182306678446765,9.829913974148695,20504,611,678,63,9.29203539823009,1.1149702814809086,11534|11622|11629|12053|12142|12367|12458|12477|12483|12487|12494|12505|12519|12772|13024|14204|15902|15978|16016|16153|16173|16408|16641|16642|16768|16852|16854|16963|19122|20304|20371|20737|21898|21938|21943|21946|21950|22163|22164|22174|22329|22780|50930|54167|54215|54698|57765|58205|60505|65113|67742|72049|75345|107823|110786|171285|231130|237256|240754|252838|380795|628398|100043314,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ccr6|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Ccr2|Ctla2a|Il4i1|Id2|Ifng|Ighg2b|Il10|Il18|Itgal|Klrc1|Klrc2|Lag3|Lgals1|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf11|Pglyrp1|Tnfsf9|Tnfrsf4|Tnfsf4|Tyro3|Vcam1|Ikzf3|Tnfsf14|Icos|Cd160|Crtam|Tbx21|Pdcd1lg2|Il21|Ndfip1|Samsn1|Tnfrsf13c|Slamf7|Nsd2|Iglc2|Havcr2|Tnip2|Zc3h12d|Lax1|Tox|Ighg3|Ighv6-4|Tigit,-11.773885772673111,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-14.749855942016985,GO:0022407,M1,1,0,GO Biological Processes,19,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-14.749855942016985,3.5072648993370894,10.023966982366677,20504,457,678,53,7.817109144542773,1.0309400291824793,11492|11534|11629|11735|12053|12367|12477|12487|12505|12519|12527|12772|12774|14204|15978|16153|16173|16401|16408|16414|16452|16728|16768|16852|16854|16963|18750|19122|20304|20371|20737|21943|21950|22164|22329|50918|50930|54167|54215|54371|54446|54698|55985|57765|58205|60505|65113|70546|72049|171285|237256|240754|100043314,Adam19|Adk|Aif1|Ank3|Bcl6|Casp3|Ctla4|Cd28|Cd44|Cd80|Cd9|Ccr2|Ccr5|Il4i1|Ifng|Il10|Il18|Itga4|Itgal|Itgb2|Jak2|L1cam|Lag3|Lgals1|Lgals3|Xcl1|Prkca|Prnp|Ccl5|Foxp3|Spn|Tnfsf11|Tnfsf9|Tnfsf4|Vcam1|Myadm|Tnfsf14|Icos|Cd160|Chst2|Nfat5|Crtam|Cxcl13|Tbx21|Pdcd1lg2|Il21|Ndfip1|Zdhhc2|Tnfrsf13c|Havcr2|Zc3h12d|Lax1|Tigit,-11.605598912226194,0,1,0,0,-19.1310094599165,17.281078803202696,
1,-14.741276646174558,GO:0032944,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-14.741276646174558,4.6905785322978755,10.746684349026982,20504,245,678,38,5.6047197640118,0.8833590129022444,11534|11622|11629|12053|12142|12367|12477|12483|12487|12494|12505|12519|12772|14204|15978|16153|16173|16408|16854|16963|19122|20304|20371|20737|21898|21938|21950|22163|22164|22329|22780|54698|58205|60505|65113|72049|171285|237256,Adk|Ahr|Aif1|Bcl6|Prdm1|Casp3|Ctla4|Cd22|Cd28|Cd38|Cd44|Cd80|Ccr2|Il4i1|Ifng|Il10|Il18|Itgal|Lgals3|Xcl1|Prnp|Ccl5|Foxp3|Spn|Tlr4|Tnfrsf1b|Tnfsf9|Tnfrsf4|Tnfsf4|Vcam1|Ikzf3|Crtam|Pdcd1lg2|Il21|Ndfip1|Tnfrsf13c|Havcr2|Zc3h12d,-11.605598912226194,0,1,0,0,-19.1310094599165,17.281078803202696,
