_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-3.819306575540113,GO:0030217,M1,1,0,GO Biological Processes,19,T cell differentiation,19_GO:0002376 immune system process,-3.819306575540113,6.093054848021736,5.5099668336756835,20504,302,78,7,8.974358974358974,3.236206980550628,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0.0,0,1,1,1,-3.819306575540113,8.13005551149881,
1,-3.62509998143955,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-3.62509998143955,4.3015384615384615,4.850059485349973,20504,550,78,9,11.538461538461538,3.6174613197152317,12192|16197|20677|21414|21417|21949|30925|54167|328833,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6|Icos|Treml2,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.9824605849448744,GO:0045619,M1,1,0,GO Biological Processes,19,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-2.9824605849448744,6.506727595836508,4.860312682124172,20504,202,78,5,6.410256410256411,2.7733490209594085,12192|16197|20677|21414|21417,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.839553049110083,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-2.839553049110083,4.8830673969992855,4.346795330732691,20504,323,78,6,7.6923076923076925,3.017171309818216,12192|16197|20677|21414|21417|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Inpp4b,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.8243052315989328,GO:0030098,M1,1,0,GO Biological Processes,19,lymphocyte differentiation,19_GO:0002376 immune system process,-2.8243052315989328,4.144375144375145,4.139279177049725,20504,444,78,7,8.974358974358974,3.236206980550628,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.5730948897842336,GO:1903131,M1,1,0,GO Biological Processes,19,mononuclear cell differentiation,19_GO:0002376 immune system process,-2.5730948897842336,3.7400458619970816,3.8015392571074687,20504,492,78,7,8.974358974358974,3.236206980550628,12192|16197|20677|21414|21417|21949|30925,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.5574236903676293,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0002376 immune system process,-2.5574236903676293,3.3222343743670764,3.6674346682993857,20504,633,78,8,10.256410256410257,3.435200651574788,12192|16197|20677|21414|21417|21949|30925|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Tnfsf8|Slamf6|Inpp4b,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.41190428481012,GO:0045580,M1,1,0,GO Biological Processes,19,regulation of T cell differentiation,19_GO:0002376 immune system process,-2.41190428481012,6.25885225885226,4.229384678517041,20504,168,78,4,5.128205128205129,2.4974911128497803,16197|20677|21414|21417,Il7r|Sox4|Tcf7|Zeb1,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.373019232813724,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-2.373019232813724,3.9332438135430654,3.665677524861383,20504,401,78,6,7.6923076923076925,3.017171309818216,12192|16197|20677|21414|21417|234515,Zfp36l1|Il7r|Sox4|Tcf7|Zeb1|Inpp4b,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.2188250052357352,GO:0033077,M1,1,0,GO Biological Processes,19,T cell differentiation in thymus,19_GO:0002376 immune system process,-2.2188250052357352,8.13005551149881,4.349642258851628,20504,97,78,3,3.8461538461538463,2.177455834893453,12192|16197|21417,Zfp36l1|Il7r|Zeb1,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
1,-2.0083379509954202,GO:0050863,M1,1,0,GO Biological Processes,19,regulation of T cell activation,19_GO:0002376 immune system process,-2.0083379509954202,3.8431548957864754,3.2765070898495456,20504,342,78,5,6.410256410256411,2.7733490209594085,16197|20677|21414|21417|54167,Il7r|Sox4|Tcf7|Zeb1|Icos,0.0,0,1,0,0,-3.819306575540113,8.13005551149881,
