_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-10.027539617996231,GO:0030155,M1,1,0,GO Biological Processes,19,regulation of cell adhesion,19_GO:0022610 biological adhesion,-10.027539617996231,3.4517872841884736,8.126223040447995,20504,772,277,36,12.99638989169675,2.0204128317399603,11487|11492|12367|12477|12520|12522|12977|13642|13848|14758|16153|16196|16410|16412|16768|16878|16963|18186|18846|19122|19247|20371|20583|20750|21923|22164|22329|54371|54446|60505|75697|94214|218397|277360|320404|100043314,Adam10|Adam19|Casp3|Ctla4|Cd81|Cd83|Csf1|Efnb2|Ephb6|Gpm6b|Il10|Il7|Itgav|Itgb1|Lag3|Lif|Xcl1|Nrp1|Plxna3|Prnp|Ptpn11|Foxp3|Snai2|Spp1|Tnc|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|C2cd4b|Spock2|Rasa1|Prex1|Itpkb|Tigit,-5.745733848369628,0,1,1,1,-10.027539617996231,12.336943441636585,
1,-8.073591455477825,GO:0042110,M1,1,0,GO Biological Processes,19,T cell activation,19_GO:0002376 immune system process,-8.073591455477825,3.6337906137184115,7.327072006195798,20504,550,277,27,9.747292418772563,1.7821006672958057,12192|12367|12458|12477|12520|12522|13642|13848|16196|16364|16410|16768|16963|17886|19122|20371|21949|22164|22329|30925|58206|59009|60505|252838|277360|320404|100043314,Zfp36l1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Irf4|Itgav|Lag3|Xcl1|Myh9|Prnp|Foxp3|Tnfsf8|Tnfsf4|Vcam1|Slamf6|Zbtb32|Sh3rf1|Il21|Tox|Prex1|Itpkb|Tigit,-4.092815681515203,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.889334572131473,GO:0045785,M1,1,0,GO Biological Processes,19,positive regulation of cell adhesion,19_GO:0022610 biological adhesion,-6.889334572131473,3.606987701156459,6.705492468049631,20504,472,277,23,8.303249097472925,1.6579106552210028,11492|12520|12522|12977|13642|13848|16196|16410|16412|16878|16963|18186|19247|20371|20750|22164|22329|54371|54446|60505|94214|277360|320404,Adam19|Cd81|Cd83|Csf1|Efnb2|Ephb6|Il7|Itgav|Itgb1|Lif|Xcl1|Nrp1|Ptpn11|Foxp3|Spp1|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|Spock2|Prex1|Itpkb,-3.5106187894968133,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.821540433745408,GO:0002521,M1,1,0,GO Biological Processes,19,leukocyte differentiation,19_GO:0002376 immune system process,-6.821540433745408,3.157322018238746,6.451932609174731,20504,633,277,27,9.747292418772563,1.7821006672958057,12192|12458|12477|12520|12522|12977|16153|16196|16364|16768|16878|17068|18018|18987|20371|21949|22164|22402|30925|59009|60505|74039|97086|234515|252838|277360|320404,Zfp36l1|Ccr6|Ctla4|Cd81|Cd83|Csf1|Il10|Il7|Irf4|Lag3|Lif|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf8|Tnfsf4|Ccn4|Slamf6|Sh3rf1|Il21|Nfam1|Slc9b2|Inpp4b|Tox|Prex1|Itpkb,-3.49397717355813,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.639965219514949,GO:0050863,M1,1,0,GO Biological Processes,19,regulation of T cell activation,19_GO:0002376 immune system process,-6.639965219514949,4.112314480545527,6.7922329821226555,20504,342,277,19,6.859205776173285,1.5186825396019539,12367|12458|12477|12520|12522|13642|13848|16196|16768|16963|19122|20371|22164|22329|59009|60505|252838|320404|100043314,Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Sh3rf1|Il21|Tox|Itpkb|Tigit,-3.358159449888346,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.3385642533558375,GO:1902105,M1,1,0,GO Biological Processes,19,regulation of leukocyte differentiation,19_GO:0002376 immune system process,-6.3385642533558375,4.125046104324306,6.6247455493302425,20504,323,277,18,6.498194945848375,1.4810389526179917,12192|12458|12477|12522|12977|16153|16196|16768|16878|20371|22164|59009|60505|74039|97086|234515|252838|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Csf1|Il10|Il7|Lag3|Lif|Foxp3|Tnfsf4|Sh3rf1|Il21|Nfam1|Slc9b2|Inpp4b|Tox|Itpkb,-3.0981511688874597,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.162527311950886,GO:0045619,M1,1,0,GO Biological Processes,19,regulation of lymphocyte differentiation,19_GO:0002376 immune system process,-6.162527311950886,5.130214104442935,6.9033785948165605,20504,202,277,14,5.054151624548736,1.316201066864392,12192|12458|12477|12522|16153|16196|16768|20371|22164|59009|60505|74039|252838|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Il10|Il7|Lag3|Foxp3|Tnfsf4|Sh3rf1|Il21|Nfam1|Tox|Itpkb,-3.030969296606744,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.146218045316587,GO:1903037,M1,1,0,GO Biological Processes,19,regulation of leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.146218045316587,4.001170845936189,6.461479550171415,20504,333,277,18,6.498194945848375,1.4810389526179917,12367|12477|12520|12522|13642|13848|16196|16768|16963|19122|20371|22164|22329|54371|54446|60505|320404|100043314,Casp3|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|Itpkb|Tigit,-3.030969296606744,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.1245810988251534,GO:0030098,M1,1,0,GO Biological Processes,19,lymphocyte differentiation,19_GO:0002376 immune system process,-6.1245810988251534,3.501024490194166,6.234861610056548,20504,444,277,21,7.581227436823105,1.5904132176918429,12192|12458|12477|12522|16153|16196|16364|16768|17068|18018|18987|20371|21949|22164|30925|59009|60505|74039|252838|277360|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Il10|Il7|Irf4|Lag3|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf8|Tnfsf4|Slamf6|Sh3rf1|Il21|Nfam1|Tox|Prex1|Itpkb,-3.030969296606744,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.108655083577422,GO:0032943,M1,1,0,GO Biological Processes,19,mononuclear cell proliferation,19_GO:0009987 cellular process,-6.108655083577422,3.977283258796271,6.4295892482292425,20504,335,277,18,6.498194945848375,1.4810389526179917,12367|12477|12520|12977|13848|16153|16196|16963|19122|20371|22164|22329|30925|57916|58206|59009|60505|380797,Casp3|Ctla4|Cd81|Csf1|Ephb6|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Slamf6|Tnfrsf13b|Zbtb32|Sh3rf1|Il21|Ighd,-3.030969296606744,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-6.067835141491352,GO:0007159,M1,1,0,GO Biological Processes,19,leukocyte cell-cell adhesion,19_GO:0022610 biological adhesion,-6.067835141491352,3.770540354816543,6.319301478186303,20504,373,277,19,6.859205776173285,1.5186825396019539,12367|12477|12520|12522|13642|13848|16196|16412|16768|16963|19122|20371|22164|22329|54371|54446|60505|320404|100043314,Casp3|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il7|Itgb1|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|Itpkb|Tigit,-3.0164782932430225,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.984044578241689,GO:1903131,M1,1,0,GO Biological Processes,19,mononuclear cell differentiation,19_GO:0002376 immune system process,-5.984044578241689,3.30991165507323,6.068977502819169,20504,492,277,22,7.9422382671480145,1.624657340181603,12192|12458|12477|12522|12977|16153|16196|16364|16768|17068|18018|18987|20371|21949|22164|30925|59009|60505|74039|252838|277360|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Csf1|Il10|Il7|Irf4|Lag3|Ly6d|Nfatc1|Pou2f2|Foxp3|Tnfsf8|Tnfsf4|Slamf6|Sh3rf1|Il21|Nfam1|Tox|Prex1|Itpkb,-2.9809924095679152,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.878317501652815,GO:0032944,M1,1,0,GO Biological Processes,19,regulation of mononuclear cell proliferation,19_GO:0050789 regulation of biological process,-5.878317501652815,4.531938407131806,6.508336730145001,20504,245,277,15,5.415162454873646,1.3598049619580277,12367|12477|12520|12977|16153|16196|16963|19122|20371|22164|22329|57916|59009|60505|380797,Casp3|Ctla4|Cd81|Csf1|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Tnfrsf13b|Sh3rf1|Il21|Ighd,-2.9187310267601316,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.680300197798756,GO:0002694,M1,1,0,GO Biological Processes,19,regulation of leukocyte activation,19_GO:0002376 immune system process,-5.680300197798756,2.7566687414415534,5.635592268351131,20504,725,277,27,9.747292418772563,1.7821006672958057,12192|12367|12458|12477|12520|12522|13642|13848|16153|16196|16768|16803|16963|17470|19122|20371|22164|22329|27027|57916|59009|60505|74039|252838|320404|380797|100043314,Zfp36l1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il10|Il7|Lag3|Lbp|Xcl1|Cd200|Prnp|Foxp3|Tnfsf4|Vcam1|Tspan32|Tnfrsf13b|Sh3rf1|Il21|Nfam1|Tox|Itpkb|Ighd|Tigit,-2.8451642725438675,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.679812010828251,GO:0070661,M1,1,0,GO Biological Processes,19,leukocyte proliferation,19_GO:0009987 cellular process,-5.679812010828251,3.7113924559798073,6.065111998048288,20504,359,277,18,6.498194945848375,1.4810389526179917,12367|12477|12520|12977|13848|16153|16196|16963|19122|20371|22164|22329|30925|57916|58206|59009|60505|380797,Casp3|Ctla4|Cd81|Csf1|Ephb6|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Slamf6|Tnfrsf13b|Zbtb32|Sh3rf1|Il21|Ighd,-2.8451642725438675,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.603000530094968,GO:1903706,M1,1,0,GO Biological Processes,19,regulation of hemopoiesis,19_GO:0002376 immune system process,-5.603000530094968,3.5072607290438165,5.933679729345308,20504,401,277,19,6.859205776173285,1.5186825396019539,12192|12458|12477|12522|12977|15251|16153|16196|16768|16878|20371|22164|59009|60505|74039|97086|234515|252838|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Csf1|Hif1a|Il10|Il7|Lag3|Lif|Foxp3|Tnfsf4|Sh3rf1|Il21|Nfam1|Slc9b2|Inpp4b|Tox|Itpkb,-2.783592758367321,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.537918106929783,GO:0070663,M1,1,0,GO Biological Processes,19,regulation of leukocyte proliferation,19_GO:0050789 regulation of biological process,-5.537918106929783,4.254118428150545,6.191544855340521,20504,261,277,15,5.415162454873646,1.3598049619580277,12367|12477|12520|12977|16153|16196|16963|19122|20371|22164|22329|57916|59009|60505|380797,Casp3|Ctla4|Cd81|Csf1|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Tnfrsf13b|Sh3rf1|Il21|Ighd,-2.757728607473951,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.534384398780648,GO:0046651,M1,1,0,GO Biological Processes,19,lymphocyte proliferation,19_GO:0002376 immune system process,-5.534384398780648,3.801716710111575,6.013617847240047,20504,331,277,17,6.137184115523466,1.4420870639264782,12367|12477|12520|13848|16153|16196|16963|19122|20371|22164|22329|30925|57916|58206|59009|60505|380797,Casp3|Ctla4|Cd81|Ephb6|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Slamf6|Tnfrsf13b|Zbtb32|Sh3rf1|Il21|Ighd,-2.757728607473951,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.493039892529687,GO:0051249,M1,1,0,GO Biological Processes,19,regulation of lymphocyte activation,19_GO:0002376 immune system process,-5.493039892529687,2.9075611384544486,5.601853967652396,20504,611,277,24,8.664259927797834,1.6902316427274224,12192|12367|12458|12477|12520|12522|13642|13848|16153|16196|16768|16963|19122|20371|22164|22329|57916|59009|60505|74039|252838|320404|380797|100043314,Zfp36l1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il10|Il7|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Tnfrsf13b|Sh3rf1|Il21|Nfam1|Tox|Itpkb|Ighd|Tigit,-2.729748062780972,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.412795235297211,GO:0030217,M1,1,0,GO Biological Processes,19,T cell differentiation,19_GO:0002376 immune system process,-5.412795235297211,3.9216773854209004,5.9857889507189235,20504,302,277,16,5.776173285198556,1.4017178098350307,12192|12458|12477|12522|16196|16364|16768|20371|21949|22164|30925|59009|60505|252838|277360|320404,Zfp36l1|Ccr6|Ctla4|Cd83|Il7|Irf4|Lag3|Foxp3|Tnfsf8|Tnfsf4|Slamf6|Sh3rf1|Il21|Tox|Prex1|Itpkb,-2.6991911897376033,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.347527671778238,GO:0022407,M1,1,0,GO Biological Processes,19,regulation of cell-cell adhesion,19_GO:0022610 biological adhesion,-5.347527671778238,3.2394599846748133,5.665778143772794,20504,457,277,20,7.2202166064981945,1.5551128353608987,11492|12367|12477|12520|12522|13642|13848|16153|16196|16768|16963|19122|20371|22164|22329|54371|54446|60505|320404|100043314,Adam19|Casp3|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il10|Il7|Lag3|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Chst2|Nfat5|Il21|Itpkb|Tigit,-2.645505498768445,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.291640855489104,GO:0030888,M1,1,0,GO Biological Processes,19,regulation of B cell proliferation,19_GO:0002376 immune system process,-5.291640855489104,8.340468805613463,7.250530059766603,20504,71,277,8,2.888086642599278,1.0062397741342277,12367|12477|12520|16153|16196|57916|60505|380797,Casp3|Ctla4|Cd81|Il10|Il7|Tnfrsf13b|Il21|Ighd,-2.6201531990122877,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.259551202546495,GO:0050670,M1,1,0,GO Biological Processes,19,regulation of lymphocyte proliferation,19_GO:0002376 immune system process,-5.259551202546495,4.300013481732252,6.030526307315474,20504,241,277,14,5.054151624548736,1.316201066864392,12367|12477|12520|16153|16196|16963|19122|20371|22164|22329|57916|59009|60505|380797,Casp3|Ctla4|Cd81|Il10|Il7|Xcl1|Prnp|Foxp3|Tnfsf4|Vcam1|Tnfrsf13b|Sh3rf1|Il21|Ighd,-2.600994723317793,0,1,0,0,-10.027539617996231,12.336943441636585,
1,-5.197321864821381,GO:0050865,M1,1,0,GO Biological Processes,19,regulation of cell activation,19_GO:0050789 regulation of biological process,-5.197321864821381,2.5955647240845794,5.281229978346633,20504,770,277,27,9.747292418772563,1.7821006672958057,12192|12367|12458|12477|12520|12522|13642|13848|16153|16196|16768|16803|16963|17470|19122|20371|22164|22329|27027|57916|59009|60505|74039|252838|320404|380797|100043314,Zfp36l1|Casp3|Ccr6|Ctla4|Cd81|Cd83|Efnb2|Ephb6|Il10|Il7|Lag3|Lbp|Xcl1|Cd200|Prnp|Foxp3|Tnfsf4|Vcam1|Tspan32|Tnfrsf13b|Sh3rf1|Il21|Nfam1|Tox|Itpkb|Ighd|Tigit,-2.5782739268763524,0,1,0,0,-10.027539617996231,12.336943441636585,
