_MEMBER_Geneid,_LogP_Geneid,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-8.266712649935172,GO:0031347,M1,1,0,GO Biological Processes,19,regulation of defense response,19_GO:0050896 response to stimulus,-8.266712649935172,3.8196994991652753,7.509036700547587,20504,599,233,26,11.158798283261802,2.062709007955475,12772|12774|14130|14131|15951|16641|16642|16643|17059|17228|17916|19376|19883|20304|22165|22259|26365|27007|30955|52392|58992|71648|74603|210029|243655|329731,Ccr2|Ccr5|Fcgr2b|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Cma1|Myo1f|Rab34|Rora|Ccl5|Txk|Nr1h3|Ceacam1|Klrk1|Pik3cg|Macir|F12|Optn|Cd200r3|Metrnl|Klre1|Tafa3,-3.9849068803085697,0,1,1,1,-8.266712649935172,44.0,
1,-7.359772887921612,GO:0002223,M1,1,0,GO Biological Processes,19,stimulatory C-type lectin receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-7.359772887921612,44.0,14.581566042356947,20504,10,233,5,2.1459227467811157,0.9493329264987009,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.680027109622972,0,1,0,0,-8.266712649935172,44.0,
1,-7.359772887921612,GO:1990840,M1,1,0,GO Biological Processes,19,response to lectin,19_GO:0050896 response to stimulus,-7.359772887921612,44.0,14.581566042356947,20504,10,233,5,2.1459227467811157,0.9493329264987009,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.680027109622972,0,1,0,0,-8.266712649935172,44.0,
1,-7.359772887921612,GO:1990858,M1,1,0,GO Biological Processes,19,cellular response to lectin,19_GO:0050896 response to stimulus,-7.359772887921612,44.0,14.581566042356947,20504,10,233,5,2.1459227467811157,0.9493329264987009,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.680027109622972,0,1,0,0,-8.266712649935172,44.0,
1,-7.170728748200362,GO:0001909,M1,1,0,GO Biological Processes,19,leukocyte mediated cytotoxicity,19_GO:0002376 immune system process,-7.170728748200362,6.809523809523809,8.106091277356516,20504,168,233,13,5.579399141630901,1.5036582277947483,14131|15007|16641|16642|16643|16904|17059|17101|18646|26365|27007|140474|243655,Fcgr3|H2-Q10|Klrc1|Klrc2|Klrd1|Gzmm|Klrb1c|Lyst|Prf1|Ceacam1|Klrk1|Muc4|Klre1,-3.5878929829097777,0,1,0,0,-8.266712649935172,44.0,
1,-6.993883128678359,GO:0031349,M1,1,0,GO Biological Processes,19,positive regulation of defense response,19_GO:0048518 positive regulation of biological process,-6.993883128678359,5.157509157509158,7.414040302391176,20504,273,233,16,6.866952789699571,1.6567461754690445,12772|12774|14131|15951|16641|16642|16643|17059|19376|20304|22165|27007|30955|71648|243655|329731,Ccr2|Ccr5|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pik3cg|Optn|Klre1|Tafa3,-3.4902286094354,0,1,0,0,-8.266712649935172,44.0,
1,-6.870526381377843,GO:0002220,M1,1,0,GO Biological Processes,19,innate immune response activating cell surface receptor signaling pathway,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.870526381377843,36.666666666666664,13.249822243700681,20504,12,233,5,2.1459227467811157,0.9493329264987009,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.433818651765497,0,1,0,0,-8.266712649935172,44.0,
1,-6.663710689309072,GO:0002758,M1,1,0,GO Biological Processes,19,innate immune response-activating signal transduction,19_GO:0044419 biological process involved in interspecies interaction between organisms,-6.663710689309072,33.84615384615385,12.700584308426073,20504,13,233,5,2.1459227467811157,0.9493329264987009,16641|16642|16643|27007|243655,Klrc1|Klrc2|Klrd1|Klrk1|Klre1,-3.284994906674413,0,1,0,0,-8.266712649935172,44.0,
1,-6.577857797517822,mmu04650,M1,1,0,KEGG Pathway,24,Natural killer cell mediated cytotoxicity,,-6.577857797517822,7.503875968992249,7.944514764865264,20504,129,233,11,4.721030042918455,1.389437283240531,15007|15979|16640|16641|16642|16643|17059|17086|18646|23900|27007,H2-Q10|Ifngr1|Klra9|Klrc1|Klrc2|Klrd1|Klrb1c|Ncr1|Prf1|Hcst|Klrk1,-3.2502945373305443,0,1,0,0,-8.266712649935172,44.0,
1,-6.326143634701399,GO:0032103,M1,1,0,GO Biological Processes,19,positive regulation of response to external stimulus,19_GO:0048518 positive regulation of biological process,-6.326143634701399,3.915690866510539,6.527623300292132,20504,427,233,19,8.15450643776824,1.7928741503593322,12273|12772|12774|14131|15951|16641|16642|16643|17059|19376|20304|22165|27007|27226|30955|70839|71648|243655|329731,C5ar1|Ccr2|Ccr5|Fcgr3|Ifi204|Klrc1|Klrc2|Klrd1|Klrb1c|Rab34|Ccl5|Txk|Klrk1|Pla2g7|Pik3cg|P2ry12|Optn|Klre1|Tafa3,-3.0443378650747963,0,1,0,0,-8.266712649935172,44.0,
